Date,F1_raw,F2_raw,F1_continuous,Phase,is_roll_date,is_bridge_date,active_contract,Correct F1_continuos,,,,F1_Tracking
01-03-06,4584,4537,4584,F1_Tracking,FALSE,FALSE,—,4584,,,,F1_Direct_RollDay
01-04-06,4675.5,4634.5,4675.5,F1_Tracking,FALSE,FALSE,—,4675.5,,,,F2_Tracking
01-05-06,4638,4599,4638,F1_Tracking,FALSE,FALSE,—,4638,,,,Bridge
01-06-06,4634,4595,4634,F1_Tracking,FALSE,FALSE,—,4634,,,,
01-09-06,4693,4654,4693,F1_Tracking,FALSE,FALSE,—,4693,,,,
01-10-06,4689,4649,4689,F1_Tracking,FALSE,FALSE,—,4689,,,,
01-11-06,4681,4642,4681,F1_Tracking,FALSE,FALSE,—,4681,,,,
01-12-06,4659,4620,4659,F1_Tracking,FALSE,FALSE,—,4659,,,,
1/13/2006,4747,4700,4747,F1_Tracking,FALSE,FALSE,—,4747,,,,
1/16/2006,4711,4676,4711,F1_Direct_RollDay,TRUE,FALSE,LPF06,4711,,,,
1/17/2006,4663,4628,4663,F2_Tracking,FALSE,FALSE,LPF06,4663,,,,
1/18/2006,4703,4664,4699,F2_Tracking,FALSE,FALSE,LPF06,4699,,,,
1/19/2006,4695,4655,4730,Bridge,FALSE,TRUE,LPF06,4690,,,,
1/20/2006,4636,4598,4671,F1_Tracking,FALSE,FALSE,LPF06,4671,,,,
1/23/2006,4703,4664,4738,F1_Tracking,FALSE,FALSE,LPF06,4738,,,,
1/24/2006,4743,4706,4778,F1_Tracking,FALSE,FALSE,LPF06,4778,,,,
1/25/2006,4872,4837,4907,F1_Tracking,FALSE,FALSE,LPF06,4907,,,,
1/26/2006,4859,4828,4894,F1_Tracking,FALSE,FALSE,LPF06,4894,,,,
1/27/2006,4929,4898,4964,F1_Tracking,FALSE,FALSE,LPF06,4964,,,,
1/30/2006,4915,4887,4950,F1_Tracking,FALSE,FALSE,LPF06,4950,,,,
1/31/2006,4912,4886,4947,F1_Tracking,FALSE,FALSE,LPF06,4947,,,,
02-01-06,4937,4911,4972,F1_Tracking,FALSE,FALSE,LPF06,4972,,,,
02-02-06,5065.5,5039.5,5100.5,F1_Tracking,FALSE,FALSE,LPF06,5100.5,,,,
02-03-06,5092,5067,5127,F1_Tracking,FALSE,FALSE,LPF06,5127,,,,
02-06-06,5129.5,5107.5,5164.5,F1_Tracking,FALSE,FALSE,LPF06,5164.5,,,,
02-07-06,5035,5015,5070,F1_Tracking,FALSE,FALSE,LPF06,5070,,,,
02-08-06,5041,5022,5076,F1_Tracking,FALSE,FALSE,LPF06,5076,,,,
02-09-06,5081,5066,5116,F1_Tracking,FALSE,FALSE,LPF06,5116,,,,
02-10-06,4894,4881,4929,F1_Tracking,FALSE,FALSE,LPF06,4929,,,,
2/13/2006,4934,4915,4934,F1_Direct_RollDay,TRUE,FALSE,LPG06,4969,,,,
2/14/2006,4988,4965,4984,F2_Tracking,FALSE,FALSE,LPG06,5019,,,,
2/15/2006,4834,4809,4828,F2_Tracking,FALSE,FALSE,LPG06,4863,,,,
2/16/2006,4848,4822,4867,Bridge,FALSE,TRUE,LPG06,4876,,,,
2/17/2006,4864,4836,4883,F1_Tracking,FALSE,FALSE,LPG06,4918,,,,
2/20/2006,4966,4935,4985,F1_Tracking,FALSE,FALSE,LPG06,5020,,,,
2/21/2006,5015,4977,5034,F1_Tracking,FALSE,FALSE,LPG06,5069,,,,
2/22/2006,5035.5,4997.5,5054.5,F1_Tracking,FALSE,FALSE,LPG06,5089.5,,,,
2/23/2006,4959,4923,4978,F1_Tracking,FALSE,FALSE,LPG06,5013,,,,
2/24/2006,4922,4887,4941,F1_Tracking,FALSE,FALSE,LPG06,4976,,,,
2/27/2006,4734,4699,4753,F1_Tracking,FALSE,FALSE,LPG06,4788,,,,
2/28/2006,4881,4842,4900,F1_Tracking,FALSE,FALSE,LPG06,4935,,,,
