Variant,Sub-Variant,Timing,Sharpe,Sortino,Ann Ret %,Std Dev %,Max DD %,Calmar,Hit Rate %,PF,Total PnL,Active Days
V1 Roll Yield,(F1 - F2) / F1,Lag-1,0.10,0.15,2.64,25.83,-147.00,0.02,49.93,1.03,"7,053.83","4,983"
V1 Roll Yield,(F1 - F2) / F1,Same-Day,0.62,0.89,15.91,25.81,-71.44,0.22,51.56,1.14,"26,807.20","4,983"
V1 Roll Yield,(F1 - F3) / F1,Lag-1,0.03,0.04,0.75,25.85,-165.90,0.00,49.78,1.02,"4,177.78","5,016"
V1 Roll Yield,(F1 - F3) / F1,Same-Day,0.63,0.91,16.27,25.82,-79.71,0.20,51.52,1.14,"27,606.26","5,016"
V1 Roll Yield,(Cash - 3M) / Cash,Lag-1,0.12,0.17,3.12,25.82,-133.31,0.02,50.16,1.04,"7,756.47","5,038"
V1 Roll Yield,(Cash - 3M) / Cash,Same-Day,0.55,0.79,14.27,25.80,-85.82,0.17,51.23,1.13,"24,800.74","5,038"
V2 Annualized,(F1-F2)/F1 x 12  [~1-month annualized],Lag-1,0.10,0.15,2.64,25.83,-147.00,0.02,49.93,1.03,"7,053.83","4,983"
V2 Annualized,(F1-F2)/F1 x 12  [~1-month annualized],Same-Day,0.62,0.89,15.91,25.81,-71.44,0.22,51.56,1.14,"26,807.20","4,983"
V2 Annualized,(F1-F3)/F1 x 6   [~2-month annualized],Lag-1,0.03,0.04,0.75,25.85,-165.90,0.00,49.78,1.02,"4,177.78","5,016"
V2 Annualized,(F1-F3)/F1 x 6   [~2-month annualized],Same-Day,0.63,0.91,16.27,25.82,-79.71,0.20,51.52,1.14,"27,606.26","5,016"
V3 Long Slope,F3-F15,Lag-1,0.14,0.20,3.55,25.83,-100.54,0.04,49.97,1.03,"6,784.87","5,041"
V3 Long Slope,F3-F15,Same-Day,0.89,1.31,22.98,25.78,-62.19,0.37,52.11,1.18,"35,216.07","5,041"
V3 Long Slope,F4-F16,Lag-1,0.18,0.26,4.62,25.81,-75.42,0.06,50.14,1.04,"7,356.49","5,034"
V3 Long Slope,F4-F16,Same-Day,0.79,1.16,20.41,25.80,-62.19,0.33,52.15,1.16,"30,446.60","5,034"
V3 Long Slope,F5-F17,Lag-1,0.02,0.03,0.47,25.82,-102.15,0.00,50.01,1.00,847.50,"5,037"
V3 Long Slope,F5-F17,Same-Day,0.83,1.22,21.33,25.74,-60.73,0.35,52.21,1.16,"31,745.71","5,037"
V3 Long Slope,F6-F18,Lag-1,0.03,0.04,0.77,25.81,-101.64,0.01,49.93,1.01,"1,409.16","5,035"
V3 Long Slope,F6-F18,Same-Day,0.82,1.22,21.24,25.79,-53.08,0.40,52.00,1.16,"31,560.37","5,035"
V3 Long Slope,F7-F19,Lag-1,-0.03,-0.04,-0.71,25.82,-140.80,-0.01,49.93,1.00,-299.41,"5,033"
V3 Long Slope,F7-F19,Same-Day,0.79,1.16,20.36,25.80,-53.08,0.38,51.96,1.15,"29,427.39","5,033"
V3 Long Slope,F8-F20,Lag-1,0.06,0.08,1.51,25.83,-96.81,0.02,50.13,1.01,"2,167.71","5,033"
V3 Long Slope,F8-F20,Same-Day,0.77,1.13,19.93,25.74,-53.08,0.38,51.98,1.15,"28,491.01","5,033"
V3 Long Slope,F9-F21,Lag-1,0.07,0.11,1.90,25.82,-110.56,0.02,50.23,1.02,"3,216.92","5,033"
V3 Long Slope,F9-F21,Same-Day,0.67,0.97,17.27,25.79,-53.08,0.33,51.78,1.12,"23,954.58","5,033"
V3 Long Slope,F10-F22,Lag-1,0.06,0.08,1.53,25.84,-127.91,0.01,50.17,1.01,"2,702.10","5,027"
V3 Long Slope,F10-F22,Same-Day,0.68,0.99,17.53,25.80,-53.08,0.33,51.80,1.12,"23,896.24","5,027"
V3 Long Slope,F11-F23,Lag-1,-0.00,-0.00,-0.06,25.81,-118.63,-0.00,50.08,1.00,-81.49,"5,024"
V3 Long Slope,F11-F23,Same-Day,0.66,0.96,16.91,25.78,-53.08,0.32,51.69,1.12,"22,883.06","5,024"
V3 Long Slope,F12-F24,Lag-1,0.01,0.01,0.15,25.84,-112.45,0.00,50.01,1.00,-154.58,"5,025"
V3 Long Slope,F12-F24,Same-Day,0.63,0.92,16.25,25.78,-53.08,0.31,51.48,1.11,"22,081.22","5,025"
V4 Z-score,Z-score of (F1-F2)/F1  [252-day rolling],Lag-1,0.26,0.37,6.50,24.91,-80.10,0.08,50.86,1.07,"13,325.90","4,801"
V4 Z-score,Z-score of (F1-F2)/F1  [252-day rolling],Same-Day,0.78,1.11,19.46,24.89,-63.94,0.30,52.61,1.18,"31,503.36","4,801"
