S,L,sharpe,ann_return,max_drawdown,total_pnl,hit_rate,n_days
9,21,0.404,713.4414,-4038.34,13385.52,0.5061,4728
9,20,0.3742,660.9553,-4081.76,12400.78,0.5038,4728
10,19,0.3732,659.0568,-4456.77,12365.16,0.5049,4728
8,21,0.3722,657.3032,-4245.65,12332.26,0.5042,4728
14,15,0.365,644.7117,-4316.39,12096.02,0.5049,4728
8,24,0.3638,642.5872,-4200.1,12056.16,0.5055,4728
13,16,0.3598,635.4429,-4316.39,11922.12,0.5047,4728
9,22,0.3596,635.1818,-3942.64,11917.22,0.5053,4728
8,22,0.3583,632.7428,-4401.95,11871.46,0.504,4728
8,23,0.3558,628.3573,-4548.68,11789.18,0.504,4728
7,23,0.3511,620.1748,-4456.98,11635.66,0.5044,4728
11,18,0.3475,613.8279,-4293.93,11516.58,0.5047,4728
12,17,0.3448,608.9243,-4365.06,11424.58,0.5049,4728
1,49,0.3437,607.0908,-6064.17,11390.18,0.5015,4728
10,20,0.3435,606.7668,-4157.83,11384.1,0.5051,4728
11,17,0.3423,604.557,-4445.77,11342.64,0.5023,4728
6,25,0.3374,595.8425,-4501.26,11179.14,0.5038,4728
1,51,0.3323,586.9127,-4949.51,11011.6,0.5013,4728
11,19,0.3314,585.3446,-4040.83,10982.18,0.5042,4728
1,41,0.3312,584.9363,-4631.93,10974.52,0.5011,4728
1,50,0.3307,584.1518,-5612.81,10959.8,0.5015,4728
10,21,0.3302,583.2169,-4142.17,10942.26,0.5044,4728
9,24,0.3289,580.8547,-4158.0,10897.94,0.5059,4728
1,48,0.3284,580.101,-6078.15,10883.8,0.5019,4728
7,22,0.3261,575.9181,-4717.32,10805.32,0.5027,4728
2,50,0.3248,573.6582,-6029.05,10762.92,0.5053,4728
9,23,0.3245,573.1422,-4291.4,10753.24,0.5047,4728
11,22,0.3231,570.7086,-4312.43,10707.58,0.5053,4728
7,24,0.3215,567.808,-4475.48,10653.16,0.504,4728
7,25,0.3202,565.5865,-4328.94,10611.48,0.5044,4728
10,22,0.3182,562.0613,-4677.59,10545.34,0.5044,4728
2,53,0.3181,561.8449,-5769.71,10541.28,0.5057,4728
12,21,0.3179,561.5571,-4528.53,10535.88,0.5053,4728
13,15,0.3169,559.6766,-4481.54,10500.6,0.5027,4728
7,26,0.3161,558.374,-4423.0,10476.16,0.5051,4728
10,17,0.3157,557.6609,-4425.63,10462.78,0.5008,4728
11,78,0.3144,555.3061,-4679.85,10418.6,0.5036,4728
1,38,0.3136,553.947,-4508.35,10393.1,0.5019,4728
1,37,0.3122,551.3662,-4936.27,10344.68,0.5019,4728
10,23,0.312,551.0283,-4701.09,10338.34,0.5051,4728
1,61,0.3117,550.5987,-4332.74,10330.28,0.5034,4728
14,18,0.3112,549.5871,-4633.11,10311.3,0.5044,4728
12,15,0.3105,548.5083,-4157.87,10291.06,0.5,4728
1,70,0.31,547.454,-4792.96,10271.28,0.5047,4728
1,62,0.3093,546.2814,-4332.74,10249.28,0.5034,4728
2,52,0.3075,543.1421,-5750.59,10190.38,0.5053,4728
14,16,0.3073,542.8372,-5195.75,10184.66,0.5032,4728
10,18,0.3073,542.7519,-4607.37,10183.06,0.5011,4728
10,24,0.3072,542.5782,-4477.0,10179.8,0.5057,4728
6,26,0.3072,542.511,-4845.68,10178.54,0.504,4728
12,16,0.3067,541.7787,-4860.71,10164.8,0.5021,4728
8,20,0.3067,541.6827,-4671.41,10163.0,0.5025,4728
6,24,0.3067,541.6497,-4921.0,10162.38,0.5023,4728
1,40,0.3058,540.152,-4604.17,10134.28,0.5004,4728
5,28,0.3058,540.1797,-4856.82,10134.8,0.5047,4728
1,60,0.3057,539.9761,-4535.94,10130.98,0.5025,4728
13,19,0.3052,539.1233,-4687.43,10114.98,0.5051,4728
7,20,0.3051,538.8355,-4583.25,10109.58,0.5015,4728
8,25,0.3048,538.3878,-4107.79,10101.18,0.5049,4728
1,46,0.3048,538.294,-6665.03,10099.42,0.5008,4728
13,17,0.3035,536.0628,-4864.35,10057.56,0.5032,4728
2,56,0.303,535.2058,-5243.36,10041.48,0.5053,4728
9,19,0.3027,534.6792,-4966.31,10031.6,0.5013,4728
15,17,0.3023,533.997,-5134.61,10018.8,0.5047,4728
11,16,0.3022,533.7838,-4683.75,10014.8,0.5004,4728
1,71,0.3016,532.7711,-5049.44,9995.8,0.5036,4728
15,16,0.3013,532.1059,-5201.09,9983.32,0.5034,4728
13,18,0.3011,531.8095,-5040.15,9977.76,0.504,4728
11,20,0.3009,531.4929,-4837.69,9971.82,0.5042,4728
13,14,0.2997,529.4313,-4157.87,9933.14,0.4998,4728
6,27,0.2993,528.6361,-4729.78,9918.22,0.5044,4728
1,52,0.2992,528.4964,-4696.51,9915.6,0.5004,4728
1,39,0.2982,526.7738,-4343.17,9883.28,0.5015,4728
1,43,0.2978,525.9285,-5893.53,9867.42,0.5002,4728
4,27,0.2978,525.9882,-5132.48,9868.54,0.5017,4728
6,22,0.2971,524.6866,-4999.75,9844.12,0.5023,4728
12,18,0.2967,523.9809,-4857.63,9830.88,0.5027,4728
5,27,0.2964,523.5044,-5016.18,9821.94,0.5036,4728
1,72,0.2963,523.2838,-5049.44,9817.8,0.5042,4728
10,80,0.2962,523.1249,-4912.0,9814.82,0.5036,4728
2,29,0.2961,522.9394,-5498.0,9811.34,0.5006,4728
2,51,0.2957,522.222,-5991.59,9797.88,0.5049,4728
1,42,0.2954,521.7349,-5144.71,9788.74,0.5002,4728
14,19,0.2943,519.8257,-5141.39,9752.92,0.5051,4728
2,55,0.2939,519.056,-5243.36,9738.48,0.5051,4728
2,57,0.2938,518.8546,-5554.04,9734.7,0.5047,4728
1,53,0.2933,518.1009,-4714.05,9720.56,0.5006,4728
11,23,0.2929,517.2918,-4477.0,9705.38,0.5057,4728
1,63,0.2922,516.1032,-4546.74,9683.08,0.5036,4728
1,69,0.2921,515.8645,-5098.44,9678.6,0.5044,4728
14,17,0.2916,514.9701,-5201.09,9661.82,0.503,4728
11,21,0.2916,515.0053,-4675.53,9662.48,0.5038,4728
5,25,0.2909,513.7538,-5557.0,9639.0,0.5027,4728
9,18,0.2895,511.414,-4406.31,9595.1,0.5,4728
2,54,0.2889,510.3149,-5521.51,9574.48,0.5049,4728
1,66,0.2882,509.0155,-4398.44,9550.1,0.5044,4728
5,26,0.2878,508.3791,-5108.0,9538.16,0.5027,4728
7,21,0.2856,504.5437,-4898.0,9466.2,0.5008,4728
5,23,0.2856,504.5394,-4818.5,9466.12,0.5019,4728
1,59,0.2855,504.2377,-4535.94,9460.46,0.5015,4728
11,79,0.2854,504.1119,-4825.92,9458.1,0.5027,4728
10,83,0.2854,504.1556,-5202.38,9458.92,0.5036,4728
11,76,0.2853,503.8774,-4813.5,9453.7,0.5032,4728
13,20,0.2849,503.1483,-5074.39,9440.02,0.5044,4728
11,80,0.2834,500.6464,-5021.44,9393.08,0.5032,4728
10,81,0.2833,500.3671,-5216.96,9387.84,0.503,4728
1,68,0.2829,499.6881,-4713.94,9375.1,0.5042,4728
9,25,0.2825,498.9365,-4472.24,9361.0,0.5051,4728
9,17,0.2814,497.0519,-4525.5,9325.64,0.5002,4728
12,19,0.2814,497.0583,-4981.15,9325.76,0.5036,4728
11,77,0.2812,496.7289,-4722.92,9319.58,0.503,4728
1,58,0.2811,496.5786,-4478.0,9316.76,0.5006,4728
8,26,0.281,496.3601,-4494.0,9312.66,0.5047,4728
3,32,0.2808,496.0488,-5561.25,9306.82,0.5015,4728
6,28,0.2808,495.9251,-5239.5,9304.5,0.5042,4728
12,14,0.2797,493.9957,-4697.0,9268.3,0.4994,4728
12,71,0.2797,494.0618,-5082.92,9269.54,0.5032,4728
2,49,0.2791,493.0278,-6147.01,9250.14,0.5034,4728
6,23,0.279,492.837,-4913.25,9246.56,0.5015,4728
3,33,0.2788,492.4766,-5609.25,9239.8,0.503,4728
8,19,0.2787,492.1888,-4477.01,9234.4,0.5013,4728
2,58,0.2784,491.7934,-5993.76,9226.98,0.504,4728
1,57,0.2778,490.609,-4548.25,9204.76,0.5002,4728
10,15,0.2776,490.3671,-4917.0,9200.22,0.4989,4728
10,25,0.2767,488.7489,-4805.5,9169.86,0.5055,4728
11,81,0.2763,487.9878,-4970.44,9155.58,0.5023,4728
10,85,0.2762,487.8652,-5659.72,9153.28,0.5021,4728
7,28,0.2757,487.0348,-5359.5,9137.7,0.5049,4728
1,73,0.2756,486.7736,-5008.94,9132.8,0.504,4728
9,83,0.275,485.7854,-5476.72,9114.26,0.5032,4728
