Date,Strategy,F1_raw,F1_continuous,Signal,Position,F1_cont_daily_change,Daily_PnL,MTM,Cumulative_PnL,Equity
2006-01-03,"CTA(9,21)",4584.0000,4584.0000,,0.0000,,,0.0000,,
2006-01-04,"CTA(9,21)",4675.5000,4675.5000,,0.0000,91.5000,0.0000,0.0000,0.0000,0.0000
2006-01-05,"CTA(9,21)",4638.0000,4638.0000,,0.0000,-37.5000,-0.0000,0.0000,0.0000,0.0000
2006-01-06,"CTA(9,21)",4634.0000,4634.0000,,0.0000,-4.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-09,"CTA(9,21)",4693.0000,4693.0000,,0.0000,59.0000,0.0000,0.0000,0.0000,0.0000
2006-01-10,"CTA(9,21)",4689.0000,4689.0000,,0.0000,-4.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-11,"CTA(9,21)",4681.0000,4681.0000,,0.0000,-8.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-12,"CTA(9,21)",4659.0000,4659.0000,,0.0000,-22.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-13,"CTA(9,21)",4747.0000,4747.0000,,0.0000,88.0000,0.0000,0.0000,0.0000,0.0000
2006-01-16,"CTA(9,21)",4711.0000,4711.0000,,0.0000,-36.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-17,"CTA(9,21)",4663.0000,4663.0000,,0.0000,-48.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-18,"CTA(9,21)",4703.0000,4699.0000,,0.0000,36.0000,0.0000,0.0000,0.0000,0.0000
2006-01-19,"CTA(9,21)",4695.0000,4690.0000,,0.0000,-9.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-20,"CTA(9,21)",4636.0000,4671.0000,,0.0000,-19.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-23,"CTA(9,21)",4703.0000,4738.0000,,0.0000,67.0000,0.0000,0.0000,0.0000,0.0000
2006-01-24,"CTA(9,21)",4743.0000,4778.0000,,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000
2006-01-25,"CTA(9,21)",4872.0000,4907.0000,,0.0000,129.0000,0.0000,0.0000,0.0000,0.0000
2006-01-26,"CTA(9,21)",4859.0000,4894.0000,,0.0000,-13.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-27,"CTA(9,21)",4929.0000,4964.0000,,0.0000,70.0000,0.0000,0.0000,0.0000,0.0000
2006-01-30,"CTA(9,21)",4915.0000,4950.0000,,0.0000,-14.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-31,"CTA(9,21)",4912.0000,4947.0000,,0.0000,-3.0000,-0.0000,0.0000,0.0000,0.0000
2006-02-01,"CTA(9,21)",4937.0000,4972.0000,,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000
2006-02-02,"CTA(9,21)",5065.5000,5100.5000,,0.0000,128.5000,0.0000,0.0000,0.0000,0.0000
2006-02-03,"CTA(9,21)",5092.0000,5127.0000,,0.0000,26.5000,0.0000,0.0000,0.0000,0.0000
2006-02-06,"CTA(9,21)",5129.5000,5164.5000,,0.0000,37.5000,0.0000,0.0000,0.0000,0.0000
2006-02-07,"CTA(9,21)",5035.0000,5070.0000,,0.0000,-94.5000,-0.0000,0.0000,0.0000,0.0000
2006-02-08,"CTA(9,21)",5041.0000,5076.0000,,0.0000,6.0000,0.0000,0.0000,0.0000,0.0000
2006-02-09,"CTA(9,21)",5081.0000,5116.0000,,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000
2006-02-10,"CTA(9,21)",4894.0000,4929.0000,,0.0000,-187.0000,-0.0000,0.0000,0.0000,0.0000
2006-02-13,"CTA(9,21)",4934.0000,4969.0000,,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000
2006-02-14,"CTA(9,21)",4988.0000,5019.0000,,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000
2006-02-15,"CTA(9,21)",4834.0000,4863.0000,,0.0000,-156.0000,-0.0000,0.0000,0.0000,0.0000
2006-02-16,"CTA(9,21)",4848.0000,4876.0000,,0.0000,13.0000,0.0000,0.0000,0.0000,0.0000
2006-02-17,"CTA(9,21)",4864.0000,4918.0000,,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000
2006-02-20,"CTA(9,21)",4966.0000,5020.0000,,0.0000,102.0000,0.0000,0.0000,0.0000,0.0000
2006-02-21,"CTA(9,21)",5015.0000,5069.0000,,0.0000,49.0000,0.0000,0.0000,0.0000,0.0000
2006-02-22,"CTA(9,21)",5035.5000,5089.5000,,0.0000,20.5000,0.0000,0.0000,0.0000,0.0000
2006-02-23,"CTA(9,21)",4959.0000,5013.0000,,0.0000,-76.5000,-0.0000,0.0000,0.0000,0.0000
2006-02-24,"CTA(9,21)",4922.0000,4976.0000,,0.0000,-37.0000,-0.0000,0.0000,0.0000,0.0000
2006-02-27,"CTA(9,21)",4734.0000,4788.0000,,0.0000,-188.0000,-0.0000,0.0000,0.0000,0.0000
2006-02-28,"CTA(9,21)",4881.0000,4935.0000,,0.0000,147.0000,0.0000,0.0000,0.0000,0.0000
2006-03-01,"CTA(9,21)",4940.0000,4994.0000,,0.0000,59.0000,0.0000,0.0000,0.0000,0.0000
2006-03-02,"CTA(9,21)",5056.0000,5110.0000,,0.0000,116.0000,0.0000,0.0000,0.0000,0.0000
2006-03-03,"CTA(9,21)",5046.0000,5100.0000,,0.0000,-10.0000,-0.0000,0.0000,0.0000,0.0000
2006-03-06,"CTA(9,21)",4953.0000,5007.0000,,0.0000,-93.0000,-0.0000,0.0000,0.0000,0.0000
2006-03-07,"CTA(9,21)",4844.0000,4898.0000,,0.0000,-109.0000,-0.0000,0.0000,0.0000,0.0000
2006-03-08,"CTA(9,21)",4800.0000,4854.0000,,0.0000,-44.0000,-0.0000,0.0000,0.0000,0.0000
2006-03-09,"CTA(9,21)",4893.0000,4947.0000,,0.0000,93.0000,0.0000,0.0000,0.0000,0.0000
2006-03-10,"CTA(9,21)",4905.0000,4959.0000,,0.0000,12.0000,0.0000,0.0000,0.0000,0.0000
2006-03-13,"CTA(9,21)",4962.0000,5016.0000,,0.0000,57.0000,0.0000,0.0000,0.0000,0.0000
2006-03-14,"CTA(9,21)",4974.5000,5018.5000,,0.0000,2.5000,0.0000,0.0000,0.0000,0.0000
2006-03-15,"CTA(9,21)",5008.5000,5052.5000,,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000
2006-03-16,"CTA(9,21)",4981.0000,5027.5000,,0.0000,-25.0000,-0.0000,0.0000,0.0000,0.0000
2006-03-17,"CTA(9,21)",5189.0000,5264.5000,,0.0000,237.0000,0.0000,0.0000,0.0000,0.0000
2006-03-20,"CTA(9,21)",5164.0000,5239.5000,,0.0000,-25.0000,-0.0000,0.0000,0.0000,0.0000
2006-03-21,"CTA(9,21)",5161.0000,5236.5000,,0.0000,-3.0000,-0.0000,0.0000,0.0000,0.0000
2006-03-22,"CTA(9,21)",5163.0000,5238.5000,,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000
2006-03-23,"CTA(9,21)",5290.0000,5365.5000,,0.0000,127.0000,0.0000,0.0000,0.0000,0.0000
2006-03-24,"CTA(9,21)",5304.0000,5379.5000,,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000
2006-03-27,"CTA(9,21)",5360.5000,5436.0000,,0.0000,56.5000,0.0000,0.0000,0.0000,0.0000
2006-03-28,"CTA(9,21)",5365.5000,5441.0000,,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000
2006-03-29,"CTA(9,21)",5391.0000,5466.5000,,0.0000,25.5000,0.0000,0.0000,0.0000,0.0000
2006-03-30,"CTA(9,21)",5466.0000,5541.5000,,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000
2006-03-31,"CTA(9,21)",5440.0000,5515.5000,,0.0000,-26.0000,-0.0000,0.0000,0.0000,0.0000
2006-04-03,"CTA(9,21)",5661.5000,5737.0000,,0.0000,221.5000,0.0000,0.0000,0.0000,0.0000
2006-04-04,"CTA(9,21)",5588.0000,5663.5000,,0.0000,-73.5000,-0.0000,0.0000,0.0000,0.0000
2006-04-05,"CTA(9,21)",5742.5000,5818.0000,,0.0000,154.5000,0.0000,0.0000,0.0000,0.0000
2006-04-06,"CTA(9,21)",5802.5000,5878.0000,,0.0000,60.0000,0.0000,0.0000,0.0000,0.0000
2006-04-07,"CTA(9,21)",5751.0000,5826.5000,,0.0000,-51.5000,-0.0000,0.0000,0.0000,0.0000
2006-04-10,"CTA(9,21)",5937.5000,6013.0000,,0.0000,186.5000,0.0000,0.0000,0.0000,0.0000
2006-04-11,"CTA(9,21)",6010.0000,6085.5000,,0.0000,72.5000,0.0000,0.0000,0.0000,0.0000
2006-04-12,"CTA(9,21)",6168.0000,6243.5000,,0.0000,158.0000,0.0000,0.0000,0.0000,0.0000
2006-04-13,"CTA(9,21)",6259.0000,6334.5000,,0.0000,91.0000,0.0000,0.0000,0.0000,0.0000
2006-04-18,"CTA(9,21)",6555.0000,6630.5000,,0.0000,296.0000,0.0000,0.0000,0.0000,0.0000
2006-04-19,"CTA(9,21)",6479.0000,6554.5000,,0.0000,-76.0000,-0.0000,0.0000,0.0000,0.0000
2006-04-20,"CTA(9,21)",6370.0000,6445.5000,,0.0000,-109.0000,-0.0000,0.0000,0.0000,0.0000
2006-04-21,"CTA(9,21)",6857.0000,6932.5000,,0.0000,487.0000,0.0000,0.0000,0.0000,0.0000
2006-04-24,"CTA(9,21)",6884.0000,6959.5000,,0.0000,27.0000,0.0000,0.0000,0.0000,0.0000
2006-04-25,"CTA(9,21)",7327.0000,7402.5000,,0.0000,443.0000,0.0000,0.0000,0.0000,0.0000
2006-04-26,"CTA(9,21)",7427.0000,7502.5000,,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
2006-04-27,"CTA(9,21)",7182.0000,7257.5000,,0.0000,-245.0000,-0.0000,0.0000,0.0000,0.0000
2006-04-28,"CTA(9,21)",7118.0000,7193.5000,,0.0000,-64.0000,-0.0000,0.0000,0.0000,0.0000
2006-05-02,"CTA(9,21)",7269.0000,7344.5000,,0.0000,151.0000,0.0000,0.0000,0.0000,0.0000
2006-05-03,"CTA(9,21)",7226.0000,7301.5000,,0.0000,-43.0000,-0.0000,0.0000,0.0000,0.0000
2006-05-04,"CTA(9,21)",7776.0000,7851.5000,,0.0000,550.0000,0.0000,0.0000,0.0000,0.0000
2006-05-05,"CTA(9,21)",7769.0000,7844.5000,,0.0000,-7.0000,-0.0000,0.0000,0.0000,0.0000
2006-05-08,"CTA(9,21)",7748.0000,7823.5000,,0.0000,-21.0000,-0.0000,0.0000,0.0000,0.0000
2006-05-09,"CTA(9,21)",7942.0000,8017.5000,,0.0000,194.0000,0.0000,0.0000,0.0000,0.0000
2006-05-10,"CTA(9,21)",8237.0000,8312.5000,,0.0000,295.0000,0.0000,0.0000,0.0000,0.0000
2006-05-11,"CTA(9,21)",8796.0000,8871.5000,,0.0000,559.0000,0.0000,0.0000,0.0000,0.0000
2006-05-12,"CTA(9,21)",8634.0000,8709.5000,,0.0000,-162.0000,-0.0000,0.0000,0.0000,0.0000
2006-05-15,"CTA(9,21)",8345.0000,8420.5000,,0.0000,-289.0000,-0.0000,0.0000,0.0000,0.0000
2006-05-16,"CTA(9,21)",8435.0000,8520.5000,,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
2006-05-17,"CTA(9,21)",8231.0000,8318.5000,,0.0000,-202.0000,-0.0000,0.0000,0.0000,0.0000
2006-05-18,"CTA(9,21)",8200.0000,8290.5000,,0.0000,-28.0000,-0.0000,0.0000,0.0000,0.0000
2006-05-19,"CTA(9,21)",7646.0000,7771.5000,,0.0000,-519.0000,-0.0000,0.0000,0.0000,0.0000
2006-05-22,"CTA(9,21)",7673.0000,7798.5000,,0.0000,27.0000,0.0000,0.0000,0.0000,0.0000
2006-05-23,"CTA(9,21)",8600.0000,8725.5000,,0.0000,927.0000,0.0000,0.0000,0.0000,0.0000
2006-05-24,"CTA(9,21)",7955.0000,8080.5000,,0.0000,-645.0000,-0.0000,0.0000,0.0000,0.0000
2006-05-25,"CTA(9,21)",8230.0000,8355.5000,,0.0000,275.0000,0.0000,0.0000,0.0000,0.0000
2006-05-26,"CTA(9,21)",8349.0000,8474.5000,,0.0000,119.0000,0.0000,0.0000,0.0000,0.0000
2006-05-30,"CTA(9,21)",8060.0000,8185.5000,,0.0000,-289.0000,-0.0000,0.0000,0.0000,0.0000
2006-05-31,"CTA(9,21)",8001.0000,8126.5000,,0.0000,-59.0000,-0.0000,0.0000,0.0000,0.0000
2006-06-01,"CTA(9,21)",7807.0000,7932.5000,,0.0000,-194.0000,-0.0000,0.0000,0.0000,0.0000
2006-06-02,"CTA(9,21)",7967.0000,8092.5000,,0.0000,160.0000,0.0000,0.0000,0.0000,0.0000
2006-06-05,"CTA(9,21)",7855.0000,7980.5000,,0.0000,-112.0000,-0.0000,0.0000,0.0000,0.0000
2006-06-06,"CTA(9,21)",7603.0000,7728.5000,,0.0000,-252.0000,-0.0000,0.0000,0.0000,0.0000
2006-06-07,"CTA(9,21)",7890.0000,8015.5000,,0.0000,287.0000,0.0000,0.0000,0.0000,0.0000
2006-06-08,"CTA(9,21)",7407.0000,7532.5000,,0.0000,-483.0000,-0.0000,0.0000,0.0000,0.0000
2006-06-09,"CTA(9,21)",7311.0000,7436.5000,,0.0000,-96.0000,-0.0000,0.0000,0.0000,0.0000
2006-06-12,"CTA(9,21)",7137.0000,7262.5000,,0.0000,-174.0000,-0.0000,0.0000,0.0000,0.0000
2006-06-13,"CTA(9,21)",6677.5000,6803.0000,,0.0000,-459.5000,-0.0000,0.0000,0.0000,0.0000
2006-06-14,"CTA(9,21)",6766.0000,6891.5000,,0.0000,88.5000,0.0000,0.0000,0.0000,0.0000
2006-06-15,"CTA(9,21)",7140.0000,7265.5000,,0.0000,374.0000,0.0000,0.0000,0.0000,0.0000
2006-06-16,"CTA(9,21)",7109.0000,7234.5000,,0.0000,-31.0000,-0.0000,0.0000,0.0000,0.0000
2006-06-19,"CTA(9,21)",6893.0000,7018.5000,,0.0000,-216.0000,-0.0000,0.0000,0.0000,0.0000
2006-06-20,"CTA(9,21)",6827.5000,6938.5000,,0.0000,-80.0000,-0.0000,0.0000,0.0000,0.0000
2006-06-21,"CTA(9,21)",6888.0000,6998.5000,,0.0000,60.0000,0.0000,0.0000,0.0000,0.0000
2006-06-22,"CTA(9,21)",6812.0000,6916.5000,,0.0000,-82.0000,-0.0000,0.0000,0.0000,0.0000
2006-06-23,"CTA(9,21)",6885.0000,7035.5000,,0.0000,119.0000,0.0000,0.0000,0.0000,0.0000
2006-06-26,"CTA(9,21)",7110.0000,7260.5000,,0.0000,225.0000,0.0000,0.0000,0.0000,0.0000
2006-06-27,"CTA(9,21)",6855.0000,7005.5000,,0.0000,-255.0000,-0.0000,0.0000,0.0000,0.0000
2006-06-28,"CTA(9,21)",7010.0000,7160.5000,,0.0000,155.0000,0.0000,0.0000,0.0000,0.0000
2006-06-29,"CTA(9,21)",7413.0000,7563.5000,,0.0000,403.0000,0.0000,0.0000,0.0000,0.0000
2006-06-30,"CTA(9,21)",7425.0000,7575.5000,,0.0000,12.0000,0.0000,0.0000,0.0000,0.0000
2006-07-03,"CTA(9,21)",7381.0000,7531.5000,,0.0000,-44.0000,-0.0000,0.0000,0.0000,0.0000
2006-07-04,"CTA(9,21)",7518.0000,7668.5000,,0.0000,137.0000,0.0000,0.0000,0.0000,0.0000
2006-07-05,"CTA(9,21)",7477.0000,7627.5000,,0.0000,-41.0000,-0.0000,0.0000,0.0000,0.0000
2006-07-06,"CTA(9,21)",7954.0000,8104.5000,,0.0000,477.0000,0.0000,0.0000,0.0000,0.0000
2006-07-07,"CTA(9,21)",7840.0000,7990.5000,,0.0000,-114.0000,-0.0000,0.0000,0.0000,0.0000
2006-07-10,"CTA(9,21)",7851.0000,8001.5000,,0.0000,11.0000,0.0000,0.0000,0.0000,0.0000
2006-07-11,"CTA(9,21)",8022.0000,8172.5000,,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000
2006-07-12,"CTA(9,21)",8159.0000,8309.5000,,0.0000,137.0000,0.0000,0.0000,0.0000,0.0000
2006-07-13,"CTA(9,21)",8035.0000,8185.5000,,0.0000,-124.0000,-0.0000,0.0000,0.0000,0.0000
2006-07-14,"CTA(9,21)",8196.0000,8346.5000,,0.0000,161.0000,0.0000,0.0000,0.0000,0.0000
2006-07-17,"CTA(9,21)",7838.0000,7988.5000,,0.0000,-358.0000,-0.0000,0.0000,0.0000,0.0000
2006-07-18,"CTA(9,21)",7890.5000,8030.0000,,0.0000,41.5000,0.0000,0.0000,0.0000,0.0000
2006-07-19,"CTA(9,21)",7870.0000,8014.5000,,0.0000,-15.5000,-0.0000,0.0000,0.0000,0.0000
2006-07-20,"CTA(9,21)",7430.0000,7578.5000,,0.0000,-436.0000,-0.0000,0.0000,0.0000,0.0000
2006-07-21,"CTA(9,21)",7102.0000,7272.5000,,0.0000,-306.0000,-0.0000,0.0000,0.0000,0.0000
2006-07-24,"CTA(9,21)",7223.0000,7393.5000,,0.0000,121.0000,0.0000,0.0000,0.0000,0.0000
2006-07-25,"CTA(9,21)",7516.0000,7686.5000,,0.0000,293.0000,0.0000,0.0000,0.0000,0.0000
2006-07-26,"CTA(9,21)",7537.0000,7707.5000,,0.0000,21.0000,0.0000,0.0000,0.0000,0.0000
2006-07-27,"CTA(9,21)",7601.0000,7771.5000,,0.0000,64.0000,0.0000,0.0000,0.0000,0.0000
2006-07-28,"CTA(9,21)",7743.0000,7913.5000,,0.0000,142.0000,0.0000,0.0000,0.0000,0.0000
2006-07-31,"CTA(9,21)",8032.0000,8202.5000,,0.0000,289.0000,0.0000,0.0000,0.0000,0.0000
2006-08-01,"CTA(9,21)",7849.0000,8019.5000,,0.0000,-183.0000,-0.0000,0.0000,0.0000,0.0000
2006-08-02,"CTA(9,21)",7884.0000,8054.5000,,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000
2006-08-03,"CTA(9,21)",7550.0000,7720.5000,,0.0000,-334.0000,-0.0000,0.0000,0.0000,0.0000
2006-08-04,"CTA(9,21)",7915.0000,8085.5000,,0.0000,365.0000,0.0000,0.0000,0.0000,0.0000
2006-08-07,"CTA(9,21)",7966.0000,8136.5000,,0.0000,51.0000,0.0000,0.0000,0.0000,0.0000
2006-08-08,"CTA(9,21)",7955.0000,8125.5000,,0.0000,-11.0000,-0.0000,0.0000,0.0000,0.0000
2006-08-09,"CTA(9,21)",8102.0000,8272.5000,,0.0000,147.0000,0.0000,0.0000,0.0000,0.0000
2006-08-10,"CTA(9,21)",7943.0000,8113.5000,,0.0000,-159.0000,-0.0000,0.0000,0.0000,0.0000
2006-08-11,"CTA(9,21)",7618.0000,7788.5000,,0.0000,-325.0000,-0.0000,0.0000,0.0000,0.0000
