Date,Strategy,F1_raw,F1_continuous,Signal,Position,F1_cont_daily_change,Daily_PnL,MTM,Cumulative_PnL,Equity,MA33,MAA48,Crossover,Position,F1_cont_daily_change,Daily PnL,MTM,Cum_PnL
1/3/2006,"MA_Crossover(33,48)",4584,4584,,0,,,0,,,,,,,,,,
1/4/2006,"MA_Crossover(33,48)",4675.5,4675.5,,0,91.5,0,0,0,0,,,,,91.5,0,0,
1/5/2006,"MA_Crossover(33,48)",4638,4638,,0,-37.5,0,0,0,0,,,,,-37.5,0,0,
1/6/2006,"MA_Crossover(33,48)",4634,4634,,0,-4,0,0,0,0,,,,,-4,0,0,
1/9/2006,"MA_Crossover(33,48)",4693,4693,,0,59,0,0,0,0,,,,,59,0,0,
1/10/2006,"MA_Crossover(33,48)",4689,4689,,0,-4,0,0,0,0,,,,,-4,0,0,
1/11/2006,"MA_Crossover(33,48)",4681,4681,,0,-8,0,0,0,0,,,,,-8,0,0,
1/12/2006,"MA_Crossover(33,48)",4659,4659,,0,-22,0,0,0,0,,,,,-22,0,0,
1/13/2006,"MA_Crossover(33,48)",4747,4747,,0,88,0,0,0,0,,,,,88,0,0,
1/16/2006,"MA_Crossover(33,48)",4711,4711,,0,-36,0,0,0,0,,,,,-36,0,0,
1/17/2006,"MA_Crossover(33,48)",4663,4663,,0,-48,0,0,0,0,,,,,-48,0,0,
1/18/2006,"MA_Crossover(33,48)",4703,4699,,0,36,0,0,0,0,,,,,36,0,0,
1/19/2006,"MA_Crossover(33,48)",4695,4690,,0,-9,0,0,0,0,,,,,-9,0,0,
1/20/2006,"MA_Crossover(33,48)",4636,4671,,0,-19,0,0,0,0,,,,,-19,0,0,
1/23/2006,"MA_Crossover(33,48)",4703,4738,,0,67,0,0,0,0,,,,,67,0,0,
1/24/2006,"MA_Crossover(33,48)",4743,4778,,0,40,0,0,0,0,,,,,40,0,0,
1/25/2006,"MA_Crossover(33,48)",4872,4907,,0,129,0,0,0,0,,,,,129,0,0,
1/26/2006,"MA_Crossover(33,48)",4859,4894,,0,-13,0,0,0,0,,,,,-13,0,0,
1/27/2006,"MA_Crossover(33,48)",4929,4964,,0,70,0,0,0,0,,,,,70,0,0,
1/30/2006,"MA_Crossover(33,48)",4915,4950,,0,-14,0,0,0,0,,,,,-14,0,0,
1/31/2006,"MA_Crossover(33,48)",4912,4947,,0,-3,0,0,0,0,,,,,-3,0,0,
2/1/2006,"MA_Crossover(33,48)",4937,4972,,0,25,0,0,0,0,,,,,25,0,0,
2/2/2006,"MA_Crossover(33,48)",5065.5,5100.5,,0,128.5,0,0,0,0,,,,,128.5,0,0,
2/3/2006,"MA_Crossover(33,48)",5092,5127,,0,26.5,0,0,0,0,,,,,26.5,0,0,
2/6/2006,"MA_Crossover(33,48)",5129.5,5164.5,,0,37.5,0,0,0,0,,,,,37.5,0,0,
2/7/2006,"MA_Crossover(33,48)",5035,5070,,0,-94.5,0,0,0,0,,,,,-94.5,0,0,
2/8/2006,"MA_Crossover(33,48)",5041,5076,,0,6,0,0,0,0,,,,,6,0,0,
2/9/2006,"MA_Crossover(33,48)",5081,5116,,0,40,0,0,0,0,,,,,40,0,0,
2/10/2006,"MA_Crossover(33,48)",4894,4929,,0,-187,0,0,0,0,,,,,-187,0,0,
2/13/2006,"MA_Crossover(33,48)",4934,4969,,0,40,0,0,0,0,,,,,40,0,0,
2/14/2006,"MA_Crossover(33,48)",4988,5019,,0,50,0,0,0,0,,,,,50,0,0,
2/15/2006,"MA_Crossover(33,48)",4834,4863,,0,-156,0,0,0,0,,,,,-156,0,0,
2/16/2006,"MA_Crossover(33,48)",4848,4876,,0,13,0,0,0,0,4824.863636,,,,13,0,0,
2/17/2006,"MA_Crossover(33,48)",4864,4918,,0,42,0,0,0,0,4833.348485,,,,42,0,0,
2/20/2006,"MA_Crossover(33,48)",4966,5020,,0,102,0,0,0,0,4842.151515,,,,102,0,0,
2/21/2006,"MA_Crossover(33,48)",5015,5069,,0,49,0,0,0,0,4853.575758,,,,49,0,0,
2/22/2006,"MA_Crossover(33,48)",5035.5,5089.5,,0,20.5,0,0,0,0,4865.742424,,,,20.5,0,0,
2/23/2006,"MA_Crossover(33,48)",4959,5013,,0,-76.5,0,0,0,0,4873.80303,,,,-76.5,0,0,
2/24/2006,"MA_Crossover(33,48)",4922,4976,,0,-37,0,0,0,0,4880.863636,,,,-37,0,0,
2/27/2006,"MA_Crossover(33,48)",4734,4788,,0,-188,0,0,0,0,4882.469697,,,,-188,0,0,
2/28/2006,"MA_Crossover(33,48)",4881,4935,,0,147,0,0,0,0,4889.19697,,,,147,0,0,
3/1/2006,"MA_Crossover(33,48)",4940,4994,,0,59,0,0,0,0,4895.045455,,,,59,0,0,
3/2/2006,"MA_Crossover(33,48)",5056,5110,,0,116,0,0,0,0,4905.5,,,,116,0,0,
3/3/2006,"MA_Crossover(33,48)",5046,5100,,0,-10,0,0,0,0,4917.106061,,,,-10,0,0,
3/6/2006,"MA_Crossover(33,48)",4953,5007,,0,-93,0,0,0,0,4924.681818,,,,-93,0,0,
3/7/2006,"MA_Crossover(33,48)",4844,4898,,0,-109,0,0,0,0,4929.19697,,,,-109,0,0,
3/8/2006,"MA_Crossover(33,48)",4800,4854,,0,-44,0,0,0,0,4934.166667,,,,-44,0,0,
3/9/2006,"MA_Crossover(33,48)",4893,4947,1,0,93,0,0,0,0,4939.924242,4856.854167,1,,93,0,0,
3/10/2006,"MA_Crossover(33,48)",4905,4959,1,1,12,12,4959,12,12,4944.833333,4863.541667,1,1,12,12,4959,12
3/13/2006,"MA_Crossover(33,48)",4962,5016,1,1,57,57,5016,69,69,4947.560606,4869.510417,1,1,57,57,5016,69
3/14/2006,"MA_Crossover(33,48)",4974.5,5018.5,1,1,2.5,2.5,5018.5,71.5,71.5,4951.060606,4876.520833,1,1,2.5,2.5,5018.5,71.5
3/15/2006,"MA_Crossover(33,48)",5008.5,5052.5,1,1,34,34,5052.5,105.5,105.5,4953.469697,4884.322917,1,1,34,34,5052.5,105.5
3/16/2006,"MA_Crossover(33,48)",4981,5027.5,1,1,-25,-25,5027.5,80.5,80.5,4955.469697,4890.322917,1,1,-25,-25,5027.5,80.5
3/17/2006,"MA_Crossover(33,48)",5189,5264.5,1,1,237,237,5264.5,317.5,317.5,4963.863636,4900.739583,1,1,237,237,5264.5,317.5
3/20/2006,"MA_Crossover(33,48)",5164,5239.5,1,1,-25,-25,5239.5,292.5,292.5,4970.742424,4910.802083,1,1,-25,-25,5239.5,292.5
3/21/2006,"MA_Crossover(33,48)",5161,5236.5,1,1,-3,-3,5236.5,289.5,289.5,4973.636364,4921.260417,1,1,-3,-3,5236.5,289.5
3/22/2006,"MA_Crossover(33,48)",5163,5238.5,1,1,2,2,5238.5,291.5,291.5,4975.787879,4929.927083,1,1,2,2,5238.5,291.5
3/23/2006,"MA_Crossover(33,48)",5290,5365.5,1,1,127,127,5365.5,418.5,418.5,4980.651515,4941.989583,1,1,127,127,5365.5,418.5
3/24/2006,"MA_Crossover(33,48)",5304,5379.5,1,1,14,14,5379.5,432.5,432.5,4988.80303,4955.34375,1,1,14,14,5379.5,432.5
