PERFORMANCE SUMMARY,,
Metric,Value,
Start Date,2006-01-03,
End Date,2025-12-31,
Total Calendar Days,5053,
Active Trading Days,4739,
Warmup Days,314,
Total PnL (USD/MT),12400.78,
Annualized Return,659.42,
Annualized Std Dev,1764.05,
Sharpe Ratio,0.3738,
Sortino Ratio,0.5487,
Max Drawdown,-4081.76,
Calmar Ratio,0.1616,
Hit Rate,50.26%,
Avg Win (USD/MT),82.97,
Avg Loss (USD/MT),-78.96,
Profit Factor,1.0669,
Max Consecutive Wins,8,
Max Consecutive Losses,10,
POSITION NOTE,Position[t] = Signal[t-1]  (1-day lag, no leakage),
PnL NOTE,Daily_PnL = Position * ΔF1_continuous  (roll cost captured),
Cum_PnL NOTE,Cum_PnL = cumsum(Daily_PnL)  [NOT Daily_change×abs(pos)],
,,
TRADEBOOK,,
Date,Strategy,F1_raw,F1_continuous,EWMA_9,EWMA_20,x_EWMA_diff,y_vol_norm,z_sig_norm,u_response,Signal,Position,F1_cont_daily_change,Daily_PnL,MTM,Cum_PnL
2006-01-03 00:00:00,CTA(9,20),4584.0,4584.0,4584.0,4584.0,0.0,,,,,0.0,,,0.0,
2006-01-04 00:00:00,CTA(9,20),4675.5,4675.5,4594.1667,4588.575,5.591667,,,,,0.0,91.5,0.0,0.0,0.0
2006-01-05 00:00:00,CTA(9,20),4638.0,4638.0,4599.037,4591.0462,7.990787,,,,,0.0,-37.5,-0.0,0.0,0.0
2006-01-06 00:00:00,CTA(9,20),4634.0,4634.0,4602.9218,4593.1939,9.727873,,,,,0.0,-4.0,-0.0,0.0,0.0
2006-01-09 00:00:00,CTA(9,20),4693.0,4693.0,4612.9305,4598.1842,14.746258,,,,,0.0,59.0,0.0,0.0,0.0
2006-01-10 00:00:00,CTA(9,20),4689.0,4689.0,4621.3827,4602.725,18.657637,,,,,0.0,-4.0,-0.0,0.0,0.0
2006-01-11 00:00:00,CTA(9,20),4681.0,4681.0,4628.0068,4606.6388,21.368036,,,,,0.0,-8.0,-0.0,0.0,0.0
2006-01-12 00:00:00,CTA(9,20),4659.0,4659.0,4631.4505,4609.2568,22.193663,,,,,0.0,-22.0,-0.0,0.0,0.0
2006-01-13 00:00:00,CTA(9,20),4747.0,4747.0,4644.2893,4616.144,28.145338,,,,,0.0,88.0,0.0,0.0,0.0
2006-01-16 00:00:00,CTA(9,20),4711.0,4711.0,4651.7016,4620.8868,30.814834,,,,,0.0,-36.0,-0.0,0.0,0.0
2006-01-17 00:00:00,CTA(9,20),4663.0,4663.0,4652.957,4622.9925,29.964548,,,,,0.0,-48.0,-0.0,0.0,0.0
2006-01-18 00:00:00,CTA(9,20),4703.0,4699.0,4658.5173,4626.9928,31.524504,,,,,0.0,36.0,0.0,0.0,0.0
2006-01-19 00:00:00,CTA(9,20),4695.0,4690.0,4662.571,4630.3932,32.177775,,,,,0.0,-9.0,-0.0,0.0,0.0
2006-01-20 00:00:00,CTA(9,20),4636.0,4671.0,4659.6186,4630.6735,28.945104,,,,,0.0,-19.0,-0.0,0.0,0.0
2006-01-23 00:00:00,CTA(9,20),4703.0,4738.0,4664.4388,4634.2899,30.148933,,,,,0.0,67.0,0.0,0.0,0.0
2006-01-24 00:00:00,CTA(9,20),4743.0,4778.0,4673.1678,4639.7254,33.442449,,,,,0.0,40.0,0.0,0.0,0.0
2006-01-25 00:00:00,CTA(9,20),4872.0,4907.0,4695.2603,4651.3391,43.921182,,,,,0.0,129.0,0.0,0.0,0.0
2006-01-26 00:00:00,CTA(9,20),4859.0,4894.0,4713.4536,4661.7221,51.73144,,,,,0.0,-13.0,-0.0,0.0,0.0
2006-01-27 00:00:00,CTA(9,20),4929.0,4964.0,4737.4032,4675.086,62.317149,,,,,0.0,70.0,0.0,0.0,0.0
2006-01-30 00:00:00,CTA(9,20),4915.0,4950.0,4757.1362,4687.0817,70.05443,,,,,0.0,-14.0,-0.0,0.0,0.0
2006-01-31 00:00:00,CTA(9,20),4912.0,4947.0,4774.3433,4698.3276,76.01561,,,,,0.0,-3.0,-0.0,0.0,0.0
2006-02-01 00:00:00,CTA(9,20),4937.0,4972.0,4792.4162,4710.2613,82.154964,,,,,0.0,25.0,0.0,0.0,0.0
2006-02-02 00:00:00,CTA(9,20),5065.5,5100.5,4822.7589,4728.0232,94.735669,,,,,0.0,128.5,0.0,0.0,0.0
2006-02-03 00:00:00,CTA(9,20),5092.0,5127.0,4852.6745,4746.222,106.45251,,,,,0.0,26.5,0.0,0.0,0.0
2006-02-06 00:00:00,CTA(9,20),5129.5,5164.5,4883.4329,4765.3859,118.046995,,,,,0.0,37.5,0.0,0.0,0.0
2006-02-07 00:00:00,CTA(9,20),5035.0,5070.0,4900.2737,4778.8666,121.407077,,,,,0.0,-94.5,-0.0,0.0,0.0
2006-02-08 00:00:00,CTA(9,20),5041.0,5076.0,4915.91,4791.9733,123.936663,,,,,0.0,6.0,0.0,0.0,0.0
