type,strategy,sharpe_lag1,sharpe_same,sharpe_delta,ann_ret_lag1,ann_ret_same,annret_delta,maxdd_lag1,maxdd_same,totpnl_lag1,totpnl_same,hitrate_lag1,hitrate_same
MA_Crossover,"MA(35,43)",0.6569,0.5516,-0.1053,1211.8967,1017.8617,-194.03,-4757.0,-4997.5,24093.66,20240.1,0.5098,0.5087
MA_Crossover,"MA(33,48)",0.6335,0.567,-0.0665,1169.0877,1046.6024,-122.49,-5253.0,-5304.0,23219.38,20790.84,0.5117,0.511
MA_Crossover,"MA(35,44)",0.6207,0.583,-0.0377,1145.2935,1075.7251,-69.57,-4676.0,-4877.0,22764.98,21386.44,0.5115,0.5118
MA_Crossover,"MA(34,47)",0.6178,0.5767,-0.0411,1140.2713,1064.3318,-75.94,-5335.0,-5166.0,22651.58,21147.26,0.5112,0.5115
MA_Crossover,"MA(36,44)",0.6174,0.6553,0.0379,1139.3519,1209.0377,69.69,-4565.0,-4757.0,22646.88,24036.82,0.5081,0.51
CTA_SinglePair,"CTA(9,21)",0.4036,0.6712,0.2676,711.7854,1183.0996,471.31,-4038.34,-3305.5,13385.52,22253.54,0.505,0.5139
CTA_SinglePair,"CTA(9,20)",0.3739,0.648,0.2741,659.4211,1142.2522,482.83,-4081.76,-3104.5,12400.78,21485.22,0.5026,0.5124
CTA_SinglePair,"CTA(10,19)",0.3728,0.6584,0.2856,657.527,1160.5621,503.04,-4456.77,-3104.5,12365.16,21829.62,0.5037,0.5122
CTA_SinglePair,"CTA(8,21)",0.3718,0.7363,0.3645,655.7775,1297.5055,641.73,-4245.65,-2526.0,12332.26,24405.46,0.5031,0.5156
CTA_SinglePair,"CTA(14,15)",0.3647,0.6577,0.293,643.2152,1159.2872,516.07,-4316.39,-2975.0,12096.02,21805.64,0.5037,0.5122
CTA_Paper,CTA_Paper(8-16-32/24-48-96),0.0874,0.3455,0.2581,154.1406,609.3594,455.22,-7611.1,-4427.36,2898.7,11461.76,0.4972,0.5049
