Variant,Contract,Lookback,Sharpe_Lag1,Sharpe_Same,AnnRet_Lag1,AnnRet_Same,MaxDD_Lag1,PctLong_Lag1,PctFlat_Lag1,PctShort_Lag1
V1,F1,1yr,-0.1665,-1.7204,-5.09,-52.05,-90.0,14.5,59.9,25.6
V1,F1,3yr,0.028,-0.9662,0.74,-25.48,-78.13,22.0,45.9,32.0
V1,F1,5yr,0.2569,-0.8864,6.59,-22.62,-71.27,21.4,40.3,38.3
V1,F1,7yr,0.1117,-0.7535,2.43,-16.29,-62.65,18.2,37.5,44.3
V1,F1,10yr,-0.0008,-0.5051,-0.02,-10.59,-65.18,25.3,31.3,43.5
V1,F2,1yr,-0.1892,-1.6918,-5.78,-51.16,-95.66,14.4,60.0,25.6
V1,F2,3yr,-0.0282,-0.9705,-0.75,-25.61,-78.13,22.1,45.7,32.1
V1,F2,5yr,0.2386,-0.8673,6.11,-22.09,-71.27,21.3,39.9,38.7
V1,F2,7yr,0.1044,-0.7779,2.27,-16.82,-61.25,18.3,37.2,44.5
V1,F2,10yr,-0.0171,-0.5382,-0.36,-11.3,-65.56,25.1,31.4,43.5
V1,F3,1yr,-0.1985,-1.7239,-6.06,-52.1,-96.02,14.5,59.9,25.5
V1,F3,3yr,0.0215,-0.9807,0.57,-25.88,-78.13,22.3,45.5,32.1
V1,F3,5yr,0.2368,-0.9085,6.05,-23.13,-71.27,21.2,39.6,39.2
V1,F3,7yr,0.1153,-0.7856,2.5,-16.99,-61.25,18.3,37.1,44.6
V1,F3,10yr,-0.0127,-0.5495,-0.27,-11.53,-63.63,25.1,31.4,43.4
V1,F4,1yr,-0.1733,-1.7564,-5.31,-52.98,-93.2,14.4,60.0,25.6
V1,F4,3yr,0.0125,-0.9236,0.33,-24.32,-76.99,22.4,45.3,32.2
V1,F4,5yr,0.2288,-0.889,5.86,-22.6,-70.14,21.1,39.5,39.3
V1,F4,7yr,0.1147,-0.7494,2.49,-16.22,-61.25,18.3,36.9,44.8
V1,F4,10yr,0.0079,-0.5428,0.17,-11.4,-63.29,25.1,31.4,43.5
V1,F5,1yr,-0.1398,-1.7525,-4.27,-52.83,-90.39,14.3,60.1,25.6
V1,F5,3yr,0.0006,-0.9155,0.02,-24.11,-76.99,22.7,45.0,32.3
V1,F5,5yr,0.2419,-0.8932,6.18,-22.64,-70.14,21.2,39.0,39.9
V1,F5,7yr,0.1209,-0.7875,2.63,-17.06,-61.25,18.3,36.6,45.0
V1,F5,10yr,0.0314,-0.5671,0.66,-11.93,-60.87,25.0,31.4,43.5
V1,F6,1yr,-0.1305,-1.7625,-3.99,-53.17,-84.61,14.3,60.2,25.5
V1,F6,3yr,-0.0151,-0.9174,-0.4,-24.13,-79.16,22.8,44.8,32.4
V1,F6,5yr,0.242,-0.8994,6.17,-22.77,-70.14,21.2,38.5,40.3
V1,F6,7yr,0.1308,-0.7596,2.85,-16.55,-61.25,18.3,36.5,45.2
V1,F6,10yr,0.0697,-0.5174,1.47,-10.95,-60.87,25.0,31.3,43.6
V1,F7,1yr,-0.0787,-1.7546,-2.41,-53.07,-82.88,14.3,60.2,25.5
V1,F7,3yr,0.0005,-0.8902,0.01,-23.42,-75.72,22.8,44.7,32.5
V1,F7,5yr,0.2725,-0.8408,6.93,-21.22,-66.98,21.3,38.1,40.6
V1,F7,7yr,0.1098,-0.7632,2.39,-16.62,-61.25,18.2,36.3,45.5
V1,F7,10yr,0.0512,-0.5215,1.08,-11.03,-60.87,25.0,31.2,43.8
V1,F8,1yr,-0.0818,-1.7593,-2.5,-53.18,-88.62,14.3,60.1,25.6
V1,F8,3yr,0.0382,-0.921,1.01,-24.25,-73.77,22.8,44.5,32.7
V1,F8,5yr,0.2774,-0.8919,7.05,-22.51,-66.98,21.2,37.9,40.8
V1,F8,7yr,0.1106,-0.7686,2.41,-16.72,-61.25,18.2,36.1,45.7
V1,F8,10yr,0.0409,-0.5276,0.86,-11.15,-59.32,25.0,31.1,44.0
V1,F9,1yr,-0.0456,-1.7099,-1.4,-51.56,-81.82,14.3,60.2,25.5
V1,F9,3yr,0.048,-0.9232,1.26,-24.28,-73.77,22.8,44.3,32.9
V1,F9,5yr,0.2414,-0.8655,6.12,-21.84,-66.98,21.2,37.5,41.3
V1,F9,7yr,0.1108,-0.8011,2.41,-17.55,-61.25,18.2,35.9,46.0
V1,F9,10yr,0.0562,-0.5747,1.18,-12.21,-59.32,24.9,31.0,44.1
V1,F10,1yr,-0.0208,-1.7765,-0.64,-53.25,-79.12,14.2,60.2,25.5
V1,F10,3yr,0.015,-0.8914,0.39,-23.46,-73.77,22.9,44.1,33.1
V1,F10,5yr,0.2125,-0.8577,5.38,-21.61,-66.98,21.2,37.2,41.6
V1,F10,7yr,0.1276,-0.7933,2.79,-17.4,-61.25,18.2,35.5,46.4
V1,F10,10yr,0.1185,-0.5664,2.51,-12.06,-57.87,24.7,30.8,44.4
V1,F11,1yr,0.048,-1.7595,1.47,-52.78,-76.27,14.2,60.3,25.5
V1,F11,3yr,-0.0078,-0.8888,-0.21,-23.4,-73.77,22.8,44.0,33.3
V1,F11,5yr,0.2197,-0.8148,5.56,-20.65,-66.98,21.2,36.8,42.0
V1,F11,7yr,0.1333,-0.8305,2.91,-18.28,-61.25,18.1,35.1,46.7
V1,F11,10yr,0.1321,-0.6053,2.8,-12.87,-57.99,24.6,30.7,44.7
V1,F12,1yr,0.061,-1.7565,1.87,-52.7,-76.27,14.2,60.3,25.5
V1,F12,3yr,-0.0165,-0.9106,-0.43,-24.0,-68.94,22.7,43.8,33.4
V1,F12,5yr,0.1836,-0.8329,4.63,-21.1,-65.38,21.2,36.5,42.3
V1,F12,7yr,0.1067,-0.8512,2.33,-18.77,-61.25,18.1,34.8,47.1
V1,F12,10yr,0.1148,-0.6346,2.44,-13.47,-57.99,24.5,30.6,44.8
V1,F13,1yr,0.0186,-1.7485,0.57,-52.48,-76.27,14.2,60.2,25.6
V1,F13,3yr,-0.0072,-0.944,-0.19,-24.95,-72.1,22.7,43.5,33.8
V1,F13,5yr,0.1956,-0.7858,4.95,-19.91,-65.38,21.1,36.0,42.8
V1,F13,7yr,0.1589,-0.8028,3.48,-17.77,-61.25,18.0,34.3,47.6
V1,F13,10yr,0.1192,-0.6507,2.52,-13.85,-54.85,24.5,30.4,45.2
V1,F14,1yr,0.0331,-1.7185,1.02,-51.8,-76.27,14.2,60.2,25.6
V1,F14,3yr,0.0329,-0.9281,0.86,-24.47,-69.84,22.6,43.4,34.0
V1,F14,5yr,0.2046,-0.798,5.19,-20.17,-65.38,21.1,35.8,43.2
V1,F14,7yr,0.1934,-0.8202,4.25,-18.13,-61.25,18.0,34.0,48.0
V1,F14,10yr,0.165,-0.6637,3.5,-14.13,-54.85,24.3,30.3,45.4
V1,F15,1yr,0.061,-1.713,1.87,-51.66,-76.27,14.1,60.1,25.8
V1,F15,3yr,0.0848,-0.9221,2.22,-24.3,-68.27,22.5,43.2,34.3
V1,F15,5yr,0.2384,-0.8176,6.05,-20.71,-65.38,21.0,35.4,43.6
V1,F15,7yr,0.1755,-0.8155,3.87,-18.02,-61.25,17.9,33.7,48.4
V1,F15,10yr,0.148,-0.6625,3.14,-14.11,-52.48,24.2,30.0,45.8
