Mom,Carry,Value,Timing,Sharpe,Net5,AnnRet_pct,MaxDD_USD
"MA(35,43)",CarryMom20d,V2_BG_10yr,Same-Day,1.054,1.008,12.31,-2019.7
"MA(35,43)",CarryMom20d,V2_BG_10yr,Lag-1,0.867,0.821,10.22,-1794.7
"MA(35,43)",CarryMom20d,V1_F8_5yr,Same-Day,1.044,0.997,11.88,-2019.7
"MA(35,43)",CarryMom20d,V1_F8_5yr,Lag-1,0.913,0.866,10.51,-1794.7
"MA(35,43)",CarryMom20d,V1_F7_5yr,Same-Day,1.044,0.997,11.86,-2019.7
"MA(35,43)",CarryMom20d,V1_F7_5yr,Lag-1,0.917,0.871,10.55,-1794.7
"MA(35,43)",V3_Zscore,V2_BG_10yr,Same-Day,0.794,0.765,9.88,-1655.0
"MA(35,43)",V3_Zscore,V2_BG_10yr,Lag-1,0.687,0.658,8.51,-1737.7
"MA(35,43)",V3_Zscore,V1_F8_5yr,Same-Day,0.822,0.791,9.45,-1655.0
"MA(35,43)",V3_Zscore,V1_F8_5yr,Lag-1,0.77,0.738,8.8,-1405.3
"MA(35,43)",V3_Zscore,V1_F7_5yr,Same-Day,0.822,0.79,9.43,-1655.0
"MA(35,43)",V3_Zscore,V1_F7_5yr,Lag-1,0.774,0.743,8.84,-1405.3
"MA(35,43)",V1_level,V2_BG_10yr,Same-Day,0.722,0.694,8.69,-1695.2
"MA(35,43)",V1_level,V2_BG_10yr,Lag-1,0.574,0.546,6.83,-1729.4
"MA(35,43)",V1_level,V1_F8_5yr,Same-Day,0.694,0.667,8.26,-1677.3
"MA(35,43)",V1_level,V1_F8_5yr,Lag-1,0.598,0.571,7.12,-1405.3
"MA(35,43)",V1_level,V1_F7_5yr,Same-Day,0.693,0.666,8.24,-1677.3
"MA(35,43)",V1_level,V1_F7_5yr,Lag-1,0.603,0.575,7.16,-1405.3
Anchors_EW,CarryMom20d,V2_BG_10yr,Same-Day,0.793,0.739,9.06,-1654.6
Anchors_EW,CarryMom20d,V2_BG_10yr,Lag-1,0.679,0.625,7.76,-2185.2
Anchors_EW,CarryMom20d,V1_F8_5yr,Same-Day,0.785,0.728,8.62,-1376.3
Anchors_EW,CarryMom20d,V1_F8_5yr,Lag-1,0.73,0.673,8.05,-1393.8
Anchors_EW,CarryMom20d,V1_F7_5yr,Same-Day,0.784,0.727,8.6,-1376.3
Anchors_EW,CarryMom20d,V1_F7_5yr,Lag-1,0.734,0.677,8.09,-1358.5
Anchors_EW,V3_Zscore,V2_BG_10yr,Same-Day,0.554,0.522,6.62,-2056.8
Anchors_EW,V3_Zscore,V2_BG_10yr,Lag-1,0.51,0.477,6.05,-2056.4
Anchors_EW,V3_Zscore,V1_F8_5yr,Same-Day,0.578,0.539,6.19,-1652.5
Anchors_EW,V3_Zscore,V1_F8_5yr,Lag-1,0.596,0.557,6.34,-1271.8
Anchors_EW,V3_Zscore,V1_F7_5yr,Same-Day,0.576,0.538,6.17,-1720.6
Anchors_EW,V3_Zscore,V1_F7_5yr,Lag-1,0.601,0.562,6.38,-1257.4
Anchors_EW,V1_level,V2_BG_10yr,Same-Day,0.469,0.438,5.44,-1853.7
Anchors_EW,V1_level,V2_BG_10yr,Lag-1,0.382,0.351,4.38,-2926.0
Anchors_EW,V1_level,V1_F8_5yr,Same-Day,0.445,0.411,5.0,-1433.3
Anchors_EW,V1_level,V1_F8_5yr,Lag-1,0.414,0.38,4.67,-2011.2
Anchors_EW,V1_level,V1_F7_5yr,Same-Day,0.443,0.409,4.98,-1498.2
Anchors_EW,V1_level,V1_F7_5yr,Lag-1,0.418,0.384,4.71,-1928.7
CTA,CarryMom20d,V2_BG_10yr,Same-Day,0.62,0.575,7.04,-2602.2
CTA,CarryMom20d,V2_BG_10yr,Lag-1,0.485,0.441,5.51,-3075.2
CTA,CarryMom20d,V1_F8_5yr,Same-Day,0.631,0.584,6.61,-1964.0
CTA,CarryMom20d,V1_F8_5yr,Lag-1,0.553,0.506,5.8,-2358.0
CTA,CarryMom20d,V1_F7_5yr,Same-Day,0.63,0.583,6.58,-1839.6
CTA,CarryMom20d,V1_F7_5yr,Lag-1,0.558,0.511,5.84,-2275.5
CTA,V3_Zscore,V2_BG_10yr,Same-Day,0.376,0.352,4.61,-2607.5
CTA,V3_Zscore,V2_BG_10yr,Lag-1,0.311,0.287,3.8,-3050.8
CTA,V3_Zscore,V1_F8_5yr,Same-Day,0.389,0.361,4.18,-2080.2
CTA,V3_Zscore,V1_F8_5yr,Lag-1,0.384,0.355,4.09,-1878.9
CTA,V3_Zscore,V1_F7_5yr,Same-Day,0.388,0.36,4.15,-2108.0
CTA,V3_Zscore,V1_F7_5yr,Lag-1,0.388,0.36,4.13,-1776.3
CTA,V1_level,V2_BG_10yr,Same-Day,0.294,0.271,3.42,-2722.1
CTA,V1_level,V2_BG_10yr,Lag-1,0.184,0.161,2.12,-3871.2
CTA,V1_level,V1_F8_5yr,Same-Day,0.273,0.248,2.99,-1994.7
CTA,V1_level,V1_F8_5yr,Lag-1,0.219,0.194,2.41,-2924.8
CTA,V1_level,V1_F7_5yr,Same-Day,0.271,0.246,2.96,-2028.0
CTA,V1_level,V1_F7_5yr,Lag-1,0.223,0.199,2.45,-2842.3
