date,China_IndProd_YoY
2005-01-31 00:00:00,20.9
2005-02-28 00:00:00,7.6
2005-03-31 00:00:00,15.1
2005-04-30 00:00:00,16.0
2005-05-31 00:00:00,16.6
2005-06-30 00:00:00,16.8
2005-07-31 00:00:00,16.1
2005-08-31 00:00:00,16.0
2005-09-30 00:00:00,16.5
2005-10-31 00:00:00,16.1
2005-11-30 00:00:00,16.6
2005-12-31 00:00:00,16.5
2006-02-28 00:00:00,20.1
2006-03-31 00:00:00,17.8
2006-04-30 00:00:00,16.6
2006-05-31 00:00:00,17.9
2006-06-30 00:00:00,19.5
2006-07-31 00:00:00,16.7
2006-08-31 00:00:00,15.7
2006-09-30 00:00:00,16.1
2006-10-31 00:00:00,14.7
2006-11-30 00:00:00,14.9
2006-12-31 00:00:00,14.7
2007-02-28 00:00:00,12.6
2007-03-31 00:00:00,17.6
2007-04-30 00:00:00,17.4
2007-05-31 00:00:00,18.1
2007-06-30 00:00:00,19.4
2007-07-31 00:00:00,18.0
2007-08-31 00:00:00,17.5
2007-09-30 00:00:00,18.9
2007-10-31 00:00:00,17.9
2007-11-30 00:00:00,17.3
2007-12-31 00:00:00,17.4
2008-02-29 00:00:00,15.4
2008-03-31 00:00:00,17.8
2008-04-30 00:00:00,15.7
2008-05-31 00:00:00,16.0
2008-06-30 00:00:00,16.0
2008-07-31 00:00:00,14.7
2008-08-31 00:00:00,12.8
2008-09-30 00:00:00,11.4
2008-10-31 00:00:00,8.2
2008-11-30 00:00:00,5.4
2008-12-31 00:00:00,5.7
2009-02-28 00:00:00,11.0
2009-03-31 00:00:00,8.3
2009-04-30 00:00:00,7.3
2009-05-31 00:00:00,8.9
2009-06-30 00:00:00,10.7
2009-07-31 00:00:00,10.8
2009-08-31 00:00:00,12.3
2009-09-30 00:00:00,13.9
2009-10-31 00:00:00,16.1
2009-11-30 00:00:00,19.2
2009-12-31 00:00:00,18.5
2010-02-28 00:00:00,12.8
2010-03-31 00:00:00,18.1
2010-04-30 00:00:00,17.8
2010-05-31 00:00:00,16.5
2010-06-30 00:00:00,13.7
2010-07-31 00:00:00,13.4
2010-08-31 00:00:00,13.9
2010-09-30 00:00:00,13.3
2010-10-31 00:00:00,13.1
2010-11-30 00:00:00,13.3
2010-12-31 00:00:00,13.5
2011-02-28 00:00:00,14.9
2011-03-31 00:00:00,14.8
2011-04-30 00:00:00,13.4
2011-05-31 00:00:00,13.3
2011-06-30 00:00:00,15.1
2011-07-31 00:00:00,14.0
2011-08-31 00:00:00,13.5
2011-09-30 00:00:00,13.8
2011-10-31 00:00:00,13.2
2011-11-30 00:00:00,12.4
2011-12-31 00:00:00,12.8
2012-02-29 00:00:00,21.3
2012-03-31 00:00:00,11.9
2012-04-30 00:00:00,9.3
2012-05-31 00:00:00,9.6
2012-06-30 00:00:00,9.5
2012-07-31 00:00:00,9.2
2012-08-31 00:00:00,8.9
2012-09-30 00:00:00,9.2
2012-10-31 00:00:00,9.6
2012-11-30 00:00:00,10.1
2012-12-31 00:00:00,10.3
2013-03-31 00:00:00,8.9
2013-04-30 00:00:00,9.3
2013-05-31 00:00:00,9.2
2013-06-30 00:00:00,8.9
2013-07-31 00:00:00,9.7
2013-08-31 00:00:00,10.4
2013-09-30 00:00:00,10.2
2013-10-31 00:00:00,10.3
2013-11-30 00:00:00,10.0
2013-12-31 00:00:00,9.7
2014-03-31 00:00:00,8.8
2014-04-30 00:00:00,8.7
2014-05-31 00:00:00,8.8
2014-06-30 00:00:00,9.2
2014-07-31 00:00:00,9.0
2014-08-31 00:00:00,6.9
2014-09-30 00:00:00,8.0
2014-10-31 00:00:00,7.7
2014-11-30 00:00:00,7.2
2014-12-31 00:00:00,7.9
2015-03-31 00:00:00,5.6
2015-04-30 00:00:00,5.9
2015-05-31 00:00:00,6.1
2015-06-30 00:00:00,6.8
2015-07-31 00:00:00,6.0
2015-08-31 00:00:00,6.1
2015-09-30 00:00:00,5.7
2015-10-31 00:00:00,5.6
2015-11-30 00:00:00,6.2
2015-12-31 00:00:00,5.9
2016-03-31 00:00:00,6.8
2016-04-30 00:00:00,6.0
2016-05-31 00:00:00,6.0
2016-06-30 00:00:00,6.2
2016-07-31 00:00:00,6.0
2016-08-31 00:00:00,6.3
2016-09-30 00:00:00,6.1
2016-10-31 00:00:00,6.1
2016-11-30 00:00:00,6.2
2016-12-31 00:00:00,6.0
2017-03-31 00:00:00,7.6
2017-04-30 00:00:00,6.5
2017-05-31 00:00:00,6.5
2017-06-30 00:00:00,7.6
2017-07-31 00:00:00,6.4
2017-08-31 00:00:00,6.0
2017-09-30 00:00:00,6.6
2017-10-31 00:00:00,6.2
2017-11-30 00:00:00,6.1
2017-12-31 00:00:00,6.2
2018-03-31 00:00:00,6.0
2018-04-30 00:00:00,7.0
2018-05-31 00:00:00,6.8
2018-06-30 00:00:00,6.0
2018-07-31 00:00:00,6.0
2018-08-31 00:00:00,6.1
2018-09-30 00:00:00,5.8
2018-10-31 00:00:00,5.9
2018-11-30 00:00:00,5.4
2018-12-31 00:00:00,5.7
2019-03-31 00:00:00,8.5
2019-04-30 00:00:00,5.4
2019-05-31 00:00:00,5.0
2019-06-30 00:00:00,6.3
2019-07-31 00:00:00,4.8
2019-08-31 00:00:00,4.4
2019-09-30 00:00:00,5.8
2019-10-31 00:00:00,4.7
2019-11-30 00:00:00,6.2
2019-12-31 00:00:00,6.9
2020-03-31 00:00:00,-1.1
2020-04-30 00:00:00,3.9
2020-05-31 00:00:00,4.4
2020-06-30 00:00:00,4.8
2020-07-31 00:00:00,4.8
2020-08-31 00:00:00,5.6
2020-09-30 00:00:00,6.9
2020-10-31 00:00:00,6.9
2020-11-30 00:00:00,7.0
2020-12-31 00:00:00,7.3
2021-03-31 00:00:00,14.1
2021-04-30 00:00:00,9.8
2021-05-31 00:00:00,8.8
2021-06-30 00:00:00,8.3
2021-07-31 00:00:00,6.4
2021-08-31 00:00:00,5.3
2021-09-30 00:00:00,3.1
2021-10-31 00:00:00,3.5
2021-11-30 00:00:00,3.8
2021-12-31 00:00:00,4.3
2022-03-31 00:00:00,5.0
2022-04-30 00:00:00,-2.9
2022-05-31 00:00:00,0.7
2022-06-30 00:00:00,3.9
2022-07-31 00:00:00,3.8
2022-08-31 00:00:00,4.2
2022-09-30 00:00:00,6.3
2022-10-31 00:00:00,5.0
2022-11-30 00:00:00,2.2
2022-12-31 00:00:00,1.3
2023-03-31 00:00:00,3.9
2023-04-30 00:00:00,5.6
2023-05-31 00:00:00,3.5
2023-06-30 00:00:00,4.4
2023-07-31 00:00:00,3.7
2023-08-31 00:00:00,4.5
2023-09-30 00:00:00,4.5
2023-10-31 00:00:00,4.6
2023-11-30 00:00:00,6.6
2023-12-31 00:00:00,6.8
2024-03-31 00:00:00,4.5
2024-04-30 00:00:00,6.7
2024-05-31 00:00:00,5.6
2024-06-30 00:00:00,5.3
2024-07-31 00:00:00,5.1
2024-08-31 00:00:00,4.5
2024-09-30 00:00:00,5.4
2024-10-31 00:00:00,5.3
2024-11-30 00:00:00,5.4
2024-12-31 00:00:00,6.2
2025-03-31 00:00:00,7.7
2025-04-30 00:00:00,6.1
2025-05-31 00:00:00,5.8
2025-06-30 00:00:00,6.8
2025-07-31 00:00:00,5.7
2025-08-31 00:00:00,5.2
2025-09-30 00:00:00,6.5
2025-10-31 00:00:00,4.9
2025-11-30 00:00:00,4.8
2025-12-31 00:00:00,5.2
2026-03-31 00:00:00,5.7
2026-04-30 00:00:00,4.1
2026-05-31 00:00:00,4.5
