date,JPM_Global_PMI_Manufacturing
2023-06-30 00:00:00,48.7
2023-07-31 00:00:00,48.6
2023-08-31 00:00:00,49.0
2023-09-30 00:00:00,49.2
2023-10-31 00:00:00,48.8
2023-11-30 00:00:00,49.3
2023-12-31 00:00:00,49.0
2024-01-31 00:00:00,50.0
2024-02-29 00:00:00,50.3
2024-03-31 00:00:00,50.6
2024-04-30 00:00:00,50.3
2024-05-31 00:00:00,51.0
2024-06-30 00:00:00,50.8
2024-07-31 00:00:00,49.7
2024-08-31 00:00:00,49.6
2024-09-30 00:00:00,48.7
2024-10-31 00:00:00,49.4
2024-11-30 00:00:00,50.1
2024-12-31 00:00:00,49.6
2025-01-31 00:00:00,50.1
2025-02-28 00:00:00,50.6
2025-03-31 00:00:00,50.3
2025-04-30 00:00:00,49.8
2025-05-31 00:00:00,49.5
2025-06-30 00:00:00,50.4
2025-07-31 00:00:00,49.7
2025-08-31 00:00:00,50.9
2025-09-30 00:00:00,50.7
2025-10-31 00:00:00,50.8
2025-11-30 00:00:00,50.5
2025-12-31 00:00:00,50.4
2026-01-31 00:00:00,50.9
2026-02-28 00:00:00,51.8
2026-03-31 00:00:00,51.3
2026-04-30 00:00:00,52.6
2026-05-31 00:00:00,52.6
