date,US_Housing_Starts_Total
2005-01-31 00:00:00,2144.0
2005-02-28 00:00:00,2207.0
2005-03-31 00:00:00,1864.0
2005-04-30 00:00:00,2061.0
2005-05-31 00:00:00,2025.0
2005-06-30 00:00:00,2068.0
2005-07-31 00:00:00,2054.0
2005-08-31 00:00:00,2095.0
2005-09-30 00:00:00,2151.0
2005-10-31 00:00:00,2065.0
2005-11-30 00:00:00,2147.0
2005-12-31 00:00:00,1994.0
2006-01-31 00:00:00,2273.0
2006-02-28 00:00:00,2119.0
2006-03-31 00:00:00,1969.0
2006-04-30 00:00:00,1821.0
2006-05-31 00:00:00,1942.0
2006-06-30 00:00:00,1802.0
2006-07-31 00:00:00,1737.0
2006-08-31 00:00:00,1650.0
2006-09-30 00:00:00,1720.0
2006-10-31 00:00:00,1491.0
2006-11-30 00:00:00,1570.0
2006-12-31 00:00:00,1649.0
2007-01-31 00:00:00,1409.0
2007-02-28 00:00:00,1480.0
2007-03-31 00:00:00,1495.0
2007-04-30 00:00:00,1490.0
2007-05-31 00:00:00,1415.0
2007-06-30 00:00:00,1448.0
2007-07-31 00:00:00,1354.0
2007-08-31 00:00:00,1330.0
2007-09-30 00:00:00,1183.0
2007-10-31 00:00:00,1264.0
2007-11-30 00:00:00,1197.0
2007-12-31 00:00:00,1037.0
2008-01-31 00:00:00,1084.0
2008-02-29 00:00:00,1103.0
2008-03-31 00:00:00,1005.0
2008-04-30 00:00:00,1013.0
2008-05-31 00:00:00,973.0
2008-06-30 00:00:00,1046.0
2008-07-31 00:00:00,923.0
2008-08-31 00:00:00,844.0
2008-09-30 00:00:00,820.0
2008-10-31 00:00:00,777.0
2008-11-30 00:00:00,652.0
2008-12-31 00:00:00,560.0
2009-01-31 00:00:00,490.0
2009-02-28 00:00:00,582.0
2009-03-31 00:00:00,505.0
2009-04-30 00:00:00,478.0
2009-05-31 00:00:00,540.0
2009-06-30 00:00:00,585.0
2009-07-31 00:00:00,594.0
2009-08-31 00:00:00,586.0
2009-09-30 00:00:00,585.0
2009-10-31 00:00:00,534.0
2009-11-30 00:00:00,588.0
2009-12-31 00:00:00,581.0
2010-01-31 00:00:00,614.0
2010-02-28 00:00:00,604.0
2010-03-31 00:00:00,636.0
2010-04-30 00:00:00,687.0
2010-05-31 00:00:00,583.0
2010-06-30 00:00:00,536.0
2010-07-31 00:00:00,546.0
2010-08-31 00:00:00,599.0
2010-09-30 00:00:00,594.0
2010-10-31 00:00:00,543.0
2010-11-30 00:00:00,545.0
2010-12-31 00:00:00,539.0
2011-01-31 00:00:00,630.0
2011-02-28 00:00:00,517.0
2011-03-31 00:00:00,600.0
2011-04-30 00:00:00,554.0
2011-05-31 00:00:00,561.0
2011-06-30 00:00:00,608.0
2011-07-31 00:00:00,623.0
2011-08-31 00:00:00,585.0
2011-09-30 00:00:00,650.0
2011-10-31 00:00:00,610.0
2011-11-30 00:00:00,711.0
2011-12-31 00:00:00,694.0
2012-01-31 00:00:00,723.0
2012-02-29 00:00:00,704.0
2012-03-31 00:00:00,695.0
2012-04-30 00:00:00,753.0
2012-05-31 00:00:00,708.0
2012-06-30 00:00:00,757.0
2012-07-31 00:00:00,740.0
2012-08-31 00:00:00,754.0
2012-09-30 00:00:00,847.0
2012-10-31 00:00:00,915.0
2012-11-30 00:00:00,833.0
2012-12-31 00:00:00,976.0
2013-01-31 00:00:00,888.0
2013-02-28 00:00:00,962.0
2013-03-31 00:00:00,1010.0
2013-04-30 00:00:00,835.0
2013-05-31 00:00:00,930.0
2013-06-30 00:00:00,839.0
2013-07-31 00:00:00,880.0
2013-08-31 00:00:00,917.0
2013-09-30 00:00:00,850.0
2013-10-31 00:00:00,925.0
2013-11-30 00:00:00,1100.0
2013-12-31 00:00:00,1002.0
2014-01-31 00:00:00,888.0
2014-02-28 00:00:00,944.0
2014-03-31 00:00:00,970.0
2014-04-30 00:00:00,1043.0
2014-05-31 00:00:00,1007.0
2014-06-30 00:00:00,911.0
2014-07-31 00:00:00,1085.0
2014-08-31 00:00:00,984.0
2014-09-30 00:00:00,1023.0
2014-10-31 00:00:00,1074.0
2014-11-30 00:00:00,1001.0
2014-12-31 00:00:00,1073.0
2015-01-31 00:00:00,1085.0
2015-02-28 00:00:00,886.0
2015-03-31 00:00:00,960.0
2015-04-30 00:00:00,1190.0
2015-05-31 00:00:00,1079.0
2015-06-30 00:00:00,1205.0
2015-07-31 00:00:00,1146.0
2015-08-31 00:00:00,1130.0
2015-09-30 00:00:00,1224.0
2015-10-31 00:00:00,1058.0
2015-11-30 00:00:00,1172.0
2015-12-31 00:00:00,1146.0
2016-01-31 00:00:00,1092.0
2016-02-29 00:00:00,1225.0
2016-03-31 00:00:00,1111.0
2016-04-30 00:00:00,1163.0
2016-05-31 00:00:00,1148.0
2016-06-30 00:00:00,1203.0
2016-07-31 00:00:00,1239.0
2016-08-31 00:00:00,1171.0
2016-09-30 00:00:00,1068.0
2016-10-31 00:00:00,1313.0
2016-11-30 00:00:00,1140.0
2016-12-31 00:00:00,1252.0
2017-01-31 00:00:00,1190.0
2017-02-28 00:00:00,1271.0
2017-03-31 00:00:00,1190.0
2017-04-30 00:00:00,1146.0
2017-05-31 00:00:00,1157.0
2017-06-30 00:00:00,1249.0
2017-07-31 00:00:00,1206.0
2017-08-31 00:00:00,1159.0
2017-09-30 00:00:00,1181.0
2017-10-31 00:00:00,1257.0
2017-11-30 00:00:00,1273.0
2017-12-31 00:00:00,1177.0
2018-01-31 00:00:00,1299.0
2018-02-28 00:00:00,1277.0
2018-03-31 00:00:00,1318.0
2018-04-30 00:00:00,1276.0
2018-05-31 00:00:00,1357.0
2018-06-30 00:00:00,1192.0
2018-07-31 00:00:00,1208.0
2018-08-31 00:00:00,1288.0
2018-09-30 00:00:00,1250.0
2018-10-31 00:00:00,1221.0
2018-11-30 00:00:00,1181.0
2018-12-31 00:00:00,1095.0
2019-01-31 00:00:00,1226.0
2019-02-28 00:00:00,1121.0
2019-03-31 00:00:00,1191.0
2019-04-30 00:00:00,1272.0
2019-05-31 00:00:00,1293.0
2019-06-30 00:00:00,1243.0
2019-07-31 00:00:00,1240.0
2019-08-31 00:00:00,1375.0
2019-09-30 00:00:00,1311.0
2019-10-31 00:00:00,1325.0
2019-11-30 00:00:00,1353.0
2019-12-31 00:00:00,1548.0
2020-01-31 00:00:00,1581.0
2020-02-29 00:00:00,1549.0
2020-03-31 00:00:00,1266.0
2020-04-30 00:00:00,936.0
2020-05-31 00:00:00,1039.0
2020-06-30 00:00:00,1266.0
2020-07-31 00:00:00,1526.0
2020-08-31 00:00:00,1396.0
2020-09-30 00:00:00,1473.0
2020-10-31 00:00:00,1543.0
2020-11-30 00:00:00,1543.0
2020-12-31 00:00:00,1614.0
2021-01-31 00:00:00,1624.0
2021-02-28 00:00:00,1398.0
2021-03-31 00:00:00,1688.0
2021-04-30 00:00:00,1489.0
2021-05-31 00:00:00,1600.0
2021-06-30 00:00:00,1664.0
2021-07-31 00:00:00,1600.0
2021-08-31 00:00:00,1596.0
2021-09-30 00:00:00,1576.0
2021-10-31 00:00:00,1587.0
2021-11-30 00:00:00,1707.0
2021-12-31 00:00:00,1711.0
2022-01-31 00:00:00,1693.0
2022-02-28 00:00:00,1730.0
2022-03-31 00:00:00,1700.0
2022-04-30 00:00:00,1807.0
2022-05-31 00:00:00,1546.0
2022-06-30 00:00:00,1556.0
2022-07-31 00:00:00,1382.0
2022-08-31 00:00:00,1532.0
2022-09-30 00:00:00,1481.0
2022-10-31 00:00:00,1446.0
2022-11-30 00:00:00,1434.0
2022-12-31 00:00:00,1296.0
2023-01-31 00:00:00,1358.0
2023-02-28 00:00:00,1395.0
2023-03-31 00:00:00,1366.0
2023-04-30 00:00:00,1343.0
2023-05-31 00:00:00,1609.0
2023-06-30 00:00:00,1420.0
2023-07-31 00:00:00,1464.0
2023-08-31 00:00:00,1321.0
2023-09-30 00:00:00,1369.0
2023-10-31 00:00:00,1380.0
2023-11-30 00:00:00,1522.0
2023-12-31 00:00:00,1504.0
2024-01-31 00:00:00,1378.0
2024-02-29 00:00:00,1555.0
2024-03-31 00:00:00,1297.0
2024-04-30 00:00:00,1379.0
2024-05-31 00:00:00,1329.0
2024-06-30 00:00:00,1318.0
2024-07-31 00:00:00,1269.0
2024-08-31 00:00:00,1394.0
2024-09-30 00:00:00,1357.0
2024-10-31 00:00:00,1370.0
2024-11-30 00:00:00,1300.0
2024-12-31 00:00:00,1494.0
2025-01-31 00:00:00,1353.0
2025-02-28 00:00:00,1491.0
2025-03-31 00:00:00,1346.0
2025-04-30 00:00:00,1400.0
2025-05-31 00:00:00,1289.0
2025-06-30 00:00:00,1379.0
2025-07-31 00:00:00,1432.0
2025-08-31 00:00:00,1291.0
2025-09-30 00:00:00,1319.0
2025-10-31 00:00:00,1273.0
2025-11-30 00:00:00,1319.0
2025-12-31 00:00:00,1378.0
2026-01-31 00:00:00,1385.0
2026-02-28 00:00:00,1346.0
2026-03-31 00:00:00,1522.0
2026-04-30 00:00:00,1392.0
2026-05-31 00:00:00,1177.0
