date,AUDUSD_Australia
2005-01-03 00:00:00,0.7781
2005-01-04 00:00:00,0.7649
2005-01-05 00:00:00,0.7645
2005-01-06 00:00:00,0.7608
2005-01-07 00:00:00,0.7575
2005-01-10 00:00:00,0.7575
2005-01-11 00:00:00,0.7617
2005-01-12 00:00:00,0.7669
2005-01-13 00:00:00,0.7655
2005-01-14 00:00:00,0.7591
2005-01-17 00:00:00,0.758
2005-01-18 00:00:00,0.7553
2005-01-19 00:00:00,0.7606
2005-01-20 00:00:00,0.7587
2005-01-21 00:00:00,0.7694
2005-01-24 00:00:00,0.7702
2005-01-25 00:00:00,0.7652
2005-01-26 00:00:00,0.7751
2005-01-27 00:00:00,0.7774
2005-01-28 00:00:00,0.775
2005-01-31 00:00:00,0.7757
2005-02-01 00:00:00,0.774
2005-02-02 00:00:00,0.7782
2005-02-03 00:00:00,0.7711
2005-02-04 00:00:00,0.7704
2005-02-07 00:00:00,0.7675
2005-02-08 00:00:00,0.7664
2005-02-09 00:00:00,0.7707
2005-02-10 00:00:00,0.7832
2005-02-11 00:00:00,0.7861
2005-02-14 00:00:00,0.788
2005-02-15 00:00:00,0.7877
2005-02-16 00:00:00,0.7846
2005-02-17 00:00:00,0.788
2005-02-18 00:00:00,0.7884
2005-02-21 00:00:00,0.7898
2005-02-22 00:00:00,0.7948
2005-02-23 00:00:00,0.7863
2005-02-24 00:00:00,0.7866
2005-02-25 00:00:00,0.7865
2005-02-28 00:00:00,0.7918
2005-03-01 00:00:00,0.7872
2005-03-02 00:00:00,0.7829
2005-03-03 00:00:00,0.783
2005-03-04 00:00:00,0.7908
2005-03-07 00:00:00,0.7924
2005-03-08 00:00:00,0.7985
2005-03-09 00:00:00,0.7934
2005-03-10 00:00:00,0.7911
2005-03-11 00:00:00,0.7931
2005-03-14 00:00:00,0.7875
2005-03-15 00:00:00,0.7909
2005-03-16 00:00:00,0.7937
2005-03-17 00:00:00,0.7937
2005-03-18 00:00:00,0.795
2005-03-21 00:00:00,0.7853
2005-03-22 00:00:00,0.783
2005-03-23 00:00:00,0.7726
2005-03-24 00:00:00,0.7726
2005-03-25 00:00:00,0.7715
2005-03-28 00:00:00,0.769
2005-03-29 00:00:00,0.7705
2005-03-30 00:00:00,0.7705
2005-03-31 00:00:00,0.773
2005-04-01 00:00:00,0.7713
2005-04-04 00:00:00,0.7678
2005-04-05 00:00:00,0.7692
2005-04-06 00:00:00,0.765
2005-04-07 00:00:00,0.7662
2005-04-08 00:00:00,0.7718
2005-04-11 00:00:00,0.7754
2005-04-12 00:00:00,0.7755
2005-04-13 00:00:00,0.7778
2005-04-14 00:00:00,0.7703
2005-04-15 00:00:00,0.7683
2005-04-18 00:00:00,0.768
2005-04-19 00:00:00,0.7719
2005-04-20 00:00:00,0.7757
2005-04-21 00:00:00,0.7759
2005-04-22 00:00:00,0.7813
2005-04-25 00:00:00,0.7807
2005-04-26 00:00:00,0.7781
2005-04-27 00:00:00,0.7769
2005-04-28 00:00:00,0.779
2005-04-29 00:00:00,0.7813
2005-05-02 00:00:00,0.7798
2005-05-03 00:00:00,0.7742
2005-05-04 00:00:00,0.7809
2005-05-05 00:00:00,0.7808
2005-05-06 00:00:00,0.7753
2005-05-09 00:00:00,0.7725
2005-05-10 00:00:00,0.7767
2005-05-11 00:00:00,0.7745
2005-05-12 00:00:00,0.7658
2005-05-13 00:00:00,0.7615
2005-05-16 00:00:00,0.7561
2005-05-17 00:00:00,0.7554
2005-05-18 00:00:00,0.7611
2005-05-19 00:00:00,0.7582
2005-05-20 00:00:00,0.7561
2005-05-23 00:00:00,0.7595
2005-05-24 00:00:00,0.7631
2005-05-25 00:00:00,0.7627
2005-05-26 00:00:00,0.7585
2005-05-27 00:00:00,0.7632
2005-05-30 00:00:00,0.7607
2005-05-31 00:00:00,0.7559
2005-06-01 00:00:00,0.7495
2005-06-02 00:00:00,0.7544
2005-06-03 00:00:00,0.7564
2005-06-06 00:00:00,0.7653
2005-06-07 00:00:00,0.7689
2005-06-08 00:00:00,0.765
2005-06-09 00:00:00,0.7678
2005-06-10 00:00:00,0.7613
2005-06-13 00:00:00,0.7615
2005-06-14 00:00:00,0.7632
2005-06-15 00:00:00,0.7697
2005-06-16 00:00:00,0.7732
2005-06-17 00:00:00,0.778
2005-06-20 00:00:00,0.7757
2005-06-21 00:00:00,0.7809
2005-06-22 00:00:00,0.7788
2005-06-23 00:00:00,0.7714
2005-06-24 00:00:00,0.7695
2005-06-27 00:00:00,0.7692
2005-06-28 00:00:00,0.7625
2005-06-29 00:00:00,0.762
2005-06-30 00:00:00,0.7625
2005-07-01 00:00:00,0.7519
2005-07-04 00:00:00,0.7504
2005-07-05 00:00:00,0.7413
2005-07-06 00:00:00,0.7393
2005-07-07 00:00:00,0.7396
2005-07-08 00:00:00,0.7419
2005-07-11 00:00:00,0.7474
2005-07-12 00:00:00,0.7572
2005-07-13 00:00:00,0.75
2005-07-14 00:00:00,0.7525
2005-07-15 00:00:00,0.7494
2005-07-18 00:00:00,0.7538
2005-07-19 00:00:00,0.7505
2005-07-20 00:00:00,0.7557
2005-07-21 00:00:00,0.7654
2005-07-22 00:00:00,0.7634
2005-07-25 00:00:00,0.7628
2005-07-26 00:00:00,0.7579
2005-07-27 00:00:00,0.7562
2005-07-28 00:00:00,0.76
2005-07-29 00:00:00,0.7566
2005-08-01 00:00:00,0.7617
2005-08-02 00:00:00,0.765
2005-08-03 00:00:00,0.7718
2005-08-04 00:00:00,0.7725
2005-08-05 00:00:00,0.7682
2005-08-08 00:00:00,0.7643
2005-08-09 00:00:00,0.7615
2005-08-10 00:00:00,0.7653
2005-08-11 00:00:00,0.7743
2005-08-12 00:00:00,0.7719
2005-08-15 00:00:00,0.769
2005-08-16 00:00:00,0.7696
2005-08-17 00:00:00,0.7606
2005-08-18 00:00:00,0.7532
2005-08-19 00:00:00,0.7515
2005-08-22 00:00:00,0.755
2005-08-23 00:00:00,0.756
2005-08-24 00:00:00,0.7557
2005-08-25 00:00:00,0.7596
2005-08-26 00:00:00,0.7561
2005-08-29 00:00:00,0.7528
2005-08-30 00:00:00,0.7491
2005-08-31 00:00:00,0.7553
2005-09-01 00:00:00,0.7627
2005-09-02 00:00:00,0.7651
2005-09-05 00:00:00,0.7672
2005-09-06 00:00:00,0.7678
2005-09-07 00:00:00,0.7657
2005-09-08 00:00:00,0.773
2005-09-09 00:00:00,0.7751
2005-09-12 00:00:00,0.7686
2005-09-13 00:00:00,0.7684
2005-09-14 00:00:00,0.7717
2005-09-15 00:00:00,0.7667
2005-09-16 00:00:00,0.7676
2005-09-19 00:00:00,0.7671
2005-09-20 00:00:00,0.7663
2005-09-21 00:00:00,0.7715
2005-09-22 00:00:00,0.7627
2005-09-23 00:00:00,0.7572
2005-09-26 00:00:00,0.7573
2005-09-27 00:00:00,0.7559
2005-09-28 00:00:00,0.7592
2005-09-29 00:00:00,0.76
2005-09-30 00:00:00,0.762
2005-10-03 00:00:00,0.763
2005-10-04 00:00:00,0.7636
2005-10-05 00:00:00,0.7564
2005-10-06 00:00:00,0.7584
2005-10-07 00:00:00,0.757
2005-10-10 00:00:00,0.7592
2005-10-11 00:00:00,0.7524
2005-10-12 00:00:00,0.7549
2005-10-13 00:00:00,0.7508
2005-10-14 00:00:00,0.7523
