date,EURUSD
2005-01-03 00:00:00,1.3465
2005-01-04 00:00:00,1.3279
2005-01-05 00:00:00,1.3262
2005-01-06 00:00:00,1.3173
2005-01-07 00:00:00,1.3054
2005-01-10 00:00:00,1.3074
2005-01-11 00:00:00,1.3107
2005-01-12 00:00:00,1.3255
2005-01-13 00:00:00,1.3224
2005-01-14 00:00:00,1.3112
2005-01-17 00:00:00,1.3067
2005-01-18 00:00:00,1.302
2005-01-19 00:00:00,1.301
2005-01-20 00:00:00,1.2963
2005-01-21 00:00:00,1.3039
2005-01-24 00:00:00,1.306
2005-01-25 00:00:00,1.2973
2005-01-26 00:00:00,1.3073
2005-01-27 00:00:00,1.3046
2005-01-28 00:00:00,1.3038
2005-01-31 00:00:00,1.3039
2005-02-01 00:00:00,1.3047
2005-02-02 00:00:00,1.3027
2005-02-03 00:00:00,1.2975
2005-02-04 00:00:00,1.2869
2005-02-07 00:00:00,1.2757
2005-02-08 00:00:00,1.2762
2005-02-09 00:00:00,1.2805
2005-02-10 00:00:00,1.2874
2005-02-11 00:00:00,1.2866
2005-02-14 00:00:00,1.2976
2005-02-15 00:00:00,1.3027
2005-02-16 00:00:00,1.3029
2005-02-17 00:00:00,1.3071
2005-02-18 00:00:00,1.3072
2005-02-21 00:00:00,1.3069
2005-02-22 00:00:00,1.3259
2005-02-23 00:00:00,1.3216
2005-02-24 00:00:00,1.3198
2005-02-25 00:00:00,1.3245
2005-02-28 00:00:00,1.3228
2005-03-01 00:00:00,1.3188
2005-03-02 00:00:00,1.3142
2005-03-03 00:00:00,1.311
2005-03-04 00:00:00,1.3237
2005-03-07 00:00:00,1.3214
2005-03-08 00:00:00,1.3344
2005-03-09 00:00:00,1.3392
2005-03-10 00:00:00,1.3418
2005-03-11 00:00:00,1.3458
2005-03-14 00:00:00,1.3369
2005-03-15 00:00:00,1.3307
2005-03-16 00:00:00,1.3417
2005-03-17 00:00:00,1.3377
2005-03-18 00:00:00,1.3326
2005-03-21 00:00:00,1.3157
2005-03-22 00:00:00,1.3087
2005-03-23 00:00:00,1.2986
2005-03-24 00:00:00,1.2939
2005-03-25 00:00:00,1.2959
2005-03-28 00:00:00,1.2898
2005-03-29 00:00:00,1.2922
2005-03-30 00:00:00,1.2915
2005-03-31 00:00:00,1.2964
2005-04-01 00:00:00,1.2914
2005-04-04 00:00:00,1.2847
2005-04-05 00:00:00,1.2869
2005-04-06 00:00:00,1.2871
2005-04-07 00:00:00,1.2857
2005-04-08 00:00:00,1.2932
2005-04-11 00:00:00,1.2972
2005-04-12 00:00:00,1.2922
2005-04-13 00:00:00,1.2915
2005-04-14 00:00:00,1.2812
2005-04-15 00:00:00,1.2924
2005-04-18 00:00:00,1.3025
2005-04-19 00:00:00,1.3064
2005-04-20 00:00:00,1.3087
2005-04-21 00:00:00,1.3047
2005-04-22 00:00:00,1.3065
2005-04-25 00:00:00,1.3007
2005-04-26 00:00:00,1.2985
2005-04-27 00:00:00,1.293
2005-04-28 00:00:00,1.2893
2005-04-29 00:00:00,1.2873
2005-05-02 00:00:00,1.2864
2005-05-03 00:00:00,1.2873
2005-05-04 00:00:00,1.2948
2005-05-05 00:00:00,1.2958
2005-05-06 00:00:00,1.2819
2005-05-09 00:00:00,1.2842
2005-05-10 00:00:00,1.288
2005-05-11 00:00:00,1.2815
2005-05-12 00:00:00,1.2696
2005-05-13 00:00:00,1.2633
2005-05-16 00:00:00,1.2642
2005-05-17 00:00:00,1.2607
2005-05-18 00:00:00,1.2679
2005-05-19 00:00:00,1.2644
2005-05-20 00:00:00,1.2559
2005-05-23 00:00:00,1.2578
2005-05-24 00:00:00,1.2585
2005-05-25 00:00:00,1.2601
2005-05-26 00:00:00,1.2512
2005-05-27 00:00:00,1.2586
2005-05-30 00:00:00,1.2476
2005-05-31 00:00:00,1.2304
2005-06-01 00:00:00,1.218
2005-06-02 00:00:00,1.2267
2005-06-03 00:00:00,1.2236
2005-06-06 00:00:00,1.2259
2005-06-07 00:00:00,1.2285
2005-06-08 00:00:00,1.2234
2005-06-09 00:00:00,1.223
2005-06-10 00:00:00,1.2119
2005-06-13 00:00:00,1.2109
2005-06-14 00:00:00,1.2032
2005-06-15 00:00:00,1.2115
2005-06-16 00:00:00,1.2108
2005-06-17 00:00:00,1.2286
2005-06-20 00:00:00,1.2154
2005-06-21 00:00:00,1.2183
2005-06-22 00:00:00,1.2129
2005-06-23 00:00:00,1.2039
2005-06-24 00:00:00,1.2092
2005-06-27 00:00:00,1.2165
2005-06-28 00:00:00,1.2054
2005-06-29 00:00:00,1.207
2005-06-30 00:00:00,1.2108
2005-07-01 00:00:00,1.1959
2005-07-04 00:00:00,1.1902
2005-07-05 00:00:00,1.1912
2005-07-06 00:00:00,1.1933
2005-07-07 00:00:00,1.195
2005-07-08 00:00:00,1.1967
2005-07-11 00:00:00,1.2072
2005-07-12 00:00:00,1.2241
2005-07-13 00:00:00,1.2094
2005-07-14 00:00:00,1.2084
2005-07-15 00:00:00,1.2035
2005-07-18 00:00:00,1.2052
2005-07-19 00:00:00,1.2034
2005-07-20 00:00:00,1.2139
2005-07-21 00:00:00,1.2171
2005-07-22 00:00:00,1.2065
2005-07-25 00:00:00,1.206
2005-07-26 00:00:00,1.2015
2005-07-27 00:00:00,1.2068
2005-07-28 00:00:00,1.2139
2005-07-29 00:00:00,1.2123
2005-08-01 00:00:00,1.2181
2005-08-02 00:00:00,1.2191
2005-08-03 00:00:00,1.2337
2005-08-04 00:00:00,1.2384
2005-08-05 00:00:00,1.2359
2005-08-08 00:00:00,1.2351
2005-08-09 00:00:00,1.237
2005-08-10 00:00:00,1.2382
2005-08-11 00:00:00,1.2471
2005-08-12 00:00:00,1.2441
2005-08-15 00:00:00,1.2368
2005-08-16 00:00:00,1.2364
2005-08-17 00:00:00,1.2271
2005-08-18 00:00:00,1.2175
2005-08-19 00:00:00,1.2153
2005-08-22 00:00:00,1.2229
2005-08-23 00:00:00,1.2236
2005-08-24 00:00:00,1.2272
2005-08-25 00:00:00,1.2301
2005-08-26 00:00:00,1.2289
2005-08-29 00:00:00,1.2235
2005-08-30 00:00:00,1.2221
2005-08-31 00:00:00,1.2346
2005-09-01 00:00:00,1.2502
2005-09-02 00:00:00,1.2531
2005-09-05 00:00:00,1.2542
2005-09-06 00:00:00,1.2465
2005-09-07 00:00:00,1.2417
2005-09-08 00:00:00,1.2399
2005-09-09 00:00:00,1.241
2005-09-12 00:00:00,1.2286
2005-09-13 00:00:00,1.2267
2005-09-14 00:00:00,1.2286
2005-09-15 00:00:00,1.2224
2005-09-16 00:00:00,1.2237
2005-09-19 00:00:00,1.2142
2005-09-20 00:00:00,1.2115
2005-09-21 00:00:00,1.2214
2005-09-22 00:00:00,1.2155
2005-09-23 00:00:00,1.204
2005-09-26 00:00:00,1.2072
2005-09-27 00:00:00,1.2014
2005-09-28 00:00:00,1.2036
2005-09-29 00:00:00,1.2032
2005-09-30 00:00:00,1.2026
2005-10-03 00:00:00,1.1918
2005-10-04 00:00:00,1.1918
2005-10-05 00:00:00,1.1975
2005-10-06 00:00:00,1.2179
2005-10-07 00:00:00,1.213
2005-10-10 00:00:00,1.2066
2005-10-11 00:00:00,1.1993
2005-10-12 00:00:00,1.2024
2005-10-13 00:00:00,1.2026
2005-10-14 00:00:00,1.2075
2005-10-17 00:00:00,1.2025
2005-10-18 00:00:00,1.1959
2005-10-19 00:00:00,1.1992
2005-10-20 00:00:00,1.2023
2005-10-21 00:00:00,1.1954
2005-10-24 00:00:00,1.1986
2005-10-25 00:00:00,1.2106
2005-10-26 00:00:00,1.2069
2005-10-27 00:00:00,1.2141
2005-10-28 00:00:00,1.2069
2005-10-31 00:00:00,1.1992
2005-11-01 00:00:00,1.2019
2005-11-02 00:00:00,1.2073
2005-11-03 00:00:00,1.1945
2005-11-04 00:00:00,1.1813
2005-11-07 00:00:00,1.1805
2005-11-08 00:00:00,1.1782
2005-11-09 00:00:00,1.1765
2005-11-10 00:00:00,1.1687
2005-11-11 00:00:00,1.1734
