date,USDBRL_Brazil
2005-01-03 00:00:00,2.6759
2005-01-04 00:00:00,2.719
2005-01-05 00:00:00,2.714
2005-01-06 00:00:00,2.7218
2005-01-07 00:00:00,2.712
2005-01-10 00:00:00,2.7035
2005-01-11 00:00:00,2.7213
2005-01-12 00:00:00,2.7065
2005-01-13 00:00:00,2.704
2005-01-14 00:00:00,2.7015
2005-01-17 00:00:00,2.701
2005-01-18 00:00:00,2.7195
2005-01-19 00:00:00,2.71
2005-01-20 00:00:00,2.7165
2005-01-21 00:00:00,2.6869
2005-01-24 00:00:00,2.6792
2005-01-25 00:00:00,2.6815
2005-01-26 00:00:00,2.6645
2005-01-27 00:00:00,2.67
2005-01-28 00:00:00,2.645
2005-01-31 00:00:00,2.6088
2005-02-01 00:00:00,2.61
2005-02-02 00:00:00,2.6025
2005-02-03 00:00:00,2.6018
2005-02-04 00:00:00,2.613
2005-02-07 00:00:00,2.6123
2005-02-08 00:00:00,2.6315
2005-02-09 00:00:00,2.6025
2005-02-10 00:00:00,2.618
2005-02-11 00:00:00,2.6045
2005-02-14 00:00:00,2.579
2005-02-15 00:00:00,2.5855
2005-02-16 00:00:00,2.578
2005-02-17 00:00:00,2.5665
2005-02-18 00:00:00,2.5757
2005-02-21 00:00:00,2.5845
2005-02-22 00:00:00,2.6005
2005-02-23 00:00:00,2.5945
2005-02-24 00:00:00,2.6359
2005-02-25 00:00:00,2.6183
2005-02-28 00:00:00,2.5875
2005-03-01 00:00:00,2.6275
2005-03-02 00:00:00,2.639
2005-03-03 00:00:00,2.681
2005-03-04 00:00:00,2.656
2005-03-07 00:00:00,2.6823
2005-03-08 00:00:00,2.697
2005-03-09 00:00:00,2.717
2005-03-10 00:00:00,2.713
2005-03-11 00:00:00,2.7168
2005-03-14 00:00:00,2.7425
2005-03-15 00:00:00,2.764
2005-03-16 00:00:00,2.7623
2005-03-17 00:00:00,2.7208
2005-03-18 00:00:00,2.7145
2005-03-21 00:00:00,2.725
2005-03-22 00:00:00,2.7406
2005-03-23 00:00:00,2.7489
2005-03-24 00:00:00,2.7395
2005-03-25 00:00:00,2.7395
2005-03-28 00:00:00,2.7255
2005-03-29 00:00:00,2.7
2005-03-30 00:00:00,2.6755
2005-03-31 00:00:00,2.679
2005-04-01 00:00:00,2.6588
2005-04-04 00:00:00,2.641
2005-04-05 00:00:00,2.6297
2005-04-06 00:00:00,2.6015
2005-04-07 00:00:00,2.5931
2005-04-08 00:00:00,2.585
2005-04-11 00:00:00,2.5865
2005-04-12 00:00:00,2.5668
2005-04-13 00:00:00,2.561
2005-04-14 00:00:00,2.5899
2005-04-15 00:00:00,2.6148
2005-04-18 00:00:00,2.607
2005-04-19 00:00:00,2.5695
2005-04-20 00:00:00,2.5636
2005-04-21 00:00:00,2.55
2005-04-22 00:00:00,2.5375
2005-04-25 00:00:00,2.5243
2005-04-26 00:00:00,2.536
2005-04-27 00:00:00,2.5146
2005-04-28 00:00:00,2.5425
2005-04-29 00:00:00,2.528
2005-05-02 00:00:00,2.5105
2005-05-03 00:00:00,2.4887
2005-05-04 00:00:00,2.4639
2005-05-05 00:00:00,2.4625
2005-05-06 00:00:00,2.457
2005-05-09 00:00:00,2.4505
2005-05-10 00:00:00,2.469
2005-05-11 00:00:00,2.453
2005-05-12 00:00:00,2.4713
2005-05-13 00:00:00,2.4735
2005-05-16 00:00:00,2.4755
2005-05-17 00:00:00,2.4808
2005-05-18 00:00:00,2.457
2005-05-19 00:00:00,2.4408
2005-05-20 00:00:00,2.4417
2005-05-23 00:00:00,2.4259
2005-05-24 00:00:00,2.4276
2005-05-25 00:00:00,2.4088
2005-05-26 00:00:00,2.4088
2005-05-27 00:00:00,2.385
2005-05-30 00:00:00,2.3678
2005-05-31 00:00:00,2.4076
2005-06-01 00:00:00,2.457
2005-06-02 00:00:00,2.416
2005-06-03 00:00:00,2.4255
2005-06-06 00:00:00,2.4505
2005-06-07 00:00:00,2.4565
2005-06-08 00:00:00,2.462
2005-06-09 00:00:00,2.4961
2005-06-10 00:00:00,2.4733
2005-06-13 00:00:00,2.444
2005-06-14 00:00:00,2.4343
2005-06-15 00:00:00,2.4233
2005-06-16 00:00:00,2.4051
2005-06-17 00:00:00,2.383
2005-06-20 00:00:00,2.389
2005-06-21 00:00:00,2.371
2005-06-22 00:00:00,2.3851
2005-06-23 00:00:00,2.4047
2005-06-24 00:00:00,2.379
2005-06-27 00:00:00,2.3751
2005-06-28 00:00:00,2.3696
2005-06-29 00:00:00,2.3525
2005-06-30 00:00:00,2.3325
2005-07-01 00:00:00,2.3565
2005-07-04 00:00:00,2.3665
2005-07-05 00:00:00,2.3773
2005-07-06 00:00:00,2.3939
2005-07-07 00:00:00,2.3773
2005-07-08 00:00:00,2.3749
2005-07-11 00:00:00,2.3405
2005-07-12 00:00:00,2.3395
2005-07-13 00:00:00,2.3556
2005-07-14 00:00:00,2.336
2005-07-15 00:00:00,2.3395
2005-07-18 00:00:00,2.3352
2005-07-19 00:00:00,2.343
2005-07-20 00:00:00,2.3394
2005-07-21 00:00:00,2.357
2005-07-22 00:00:00,2.3963
2005-07-25 00:00:00,2.487
2005-07-26 00:00:00,2.431
2005-07-27 00:00:00,2.4405
2005-07-28 00:00:00,2.4081
2005-07-29 00:00:00,2.3787
2005-08-01 00:00:00,2.3693
2005-08-02 00:00:00,2.339
2005-08-03 00:00:00,2.3115
2005-08-04 00:00:00,2.3038
2005-08-05 00:00:00,2.3124
2005-08-08 00:00:00,2.3289
2005-08-09 00:00:00,2.2875
2005-08-10 00:00:00,2.2783
2005-08-11 00:00:00,2.3651
2005-08-12 00:00:00,2.3732
2005-08-15 00:00:00,2.333
2005-08-16 00:00:00,2.347
2005-08-17 00:00:00,2.3545
2005-08-18 00:00:00,2.3976
2005-08-19 00:00:00,2.4486
2005-08-22 00:00:00,2.3731
2005-08-23 00:00:00,2.4005
2005-08-24 00:00:00,2.4528
2005-08-25 00:00:00,2.4005
2005-08-26 00:00:00,2.4025
2005-08-29 00:00:00,2.3883
2005-08-30 00:00:00,2.383
2005-08-31 00:00:00,2.357
2005-09-01 00:00:00,2.3561
2005-09-02 00:00:00,2.3305
2005-09-05 00:00:00,2.3341
2005-09-06 00:00:00,2.324
2005-09-07 00:00:00,2.3248
2005-09-08 00:00:00,2.319
2005-09-09 00:00:00,2.309
2005-09-12 00:00:00,2.3189
2005-09-13 00:00:00,2.333
2005-09-14 00:00:00,2.3205
2005-09-15 00:00:00,2.3005
2005-09-16 00:00:00,2.2988
2005-09-19 00:00:00,2.294
2005-09-20 00:00:00,2.297
2005-09-21 00:00:00,2.275
2005-09-22 00:00:00,2.2748
2005-09-23 00:00:00,2.2645
2005-09-26 00:00:00,2.2486
2005-09-27 00:00:00,2.2601
2005-09-28 00:00:00,2.2272
2005-09-29 00:00:00,2.214
2005-09-30 00:00:00,2.2275
2005-10-03 00:00:00,2.2365
2005-10-04 00:00:00,2.2625
2005-10-05 00:00:00,2.2678
2005-10-06 00:00:00,2.2905
2005-10-07 00:00:00,2.2499
2005-10-10 00:00:00,2.2415
2005-10-11 00:00:00,2.2335
2005-10-12 00:00:00,2.2545
2005-10-13 00:00:00,2.2685
2005-10-14 00:00:00,2.245
2005-10-17 00:00:00,2.236
2005-10-18 00:00:00,2.242
2005-10-19 00:00:00,2.2383
2005-10-20 00:00:00,2.2595
2005-10-21 00:00:00,2.265
2005-10-24 00:00:00,2.261
2005-10-25 00:00:00,2.2635
2005-10-26 00:00:00,2.2868
2005-10-27 00:00:00,2.2895
2005-10-28 00:00:00,2.265
2005-10-31 00:00:00,2.2518
2005-11-01 00:00:00,2.243
2005-11-02 00:00:00,2.2385
2005-11-03 00:00:00,2.222
2005-11-04 00:00:00,2.212
2005-11-07 00:00:00,2.2065
2005-11-08 00:00:00,2.1935
2005-11-09 00:00:00,2.1755
2005-11-10 00:00:00,2.1635
2005-11-11 00:00:00,2.1615
2005-11-14 00:00:00,2.209
2005-11-15 00:00:00,2.2095
2005-11-16 00:00:00,2.2015
2005-11-17 00:00:00,2.1945
2005-11-18 00:00:00,2.226
2005-11-21 00:00:00,2.22
2005-11-22 00:00:00,2.248
2005-11-23 00:00:00,2.239
2005-11-24 00:00:00,2.2405
2005-11-25 00:00:00,2.234
2005-11-28 00:00:00,2.198
2005-11-29 00:00:00,2.1873
2005-11-30 00:00:00,2.2035
2005-12-01 00:00:00,2.2248
2005-12-02 00:00:00,2.2088
2005-12-05 00:00:00,2.1952
2005-12-06 00:00:00,2.1755
2005-12-07 00:00:00,2.1945
2005-12-08 00:00:00,2.2223
2005-12-09 00:00:00,2.252
2005-12-12 00:00:00,2.261
2005-12-13 00:00:00,2.2615
2005-12-14 00:00:00,2.2695
2005-12-15 00:00:00,2.3085
2005-12-16 00:00:00,2.337
2005-12-19 00:00:00,2.38
2005-12-20 00:00:00,2.3475
2005-12-21 00:00:00,2.308
2005-12-22 00:00:00,2.341
2005-12-23 00:00:00,2.315
2005-12-26 00:00:00,2.341
2005-12-27 00:00:00,2.337
2005-12-28 00:00:00,2.341
2005-12-29 00:00:00,2.3258
2005-12-30 00:00:00,2.3355
2006-01-02 00:00:00,2.3364
2006-01-03 00:00:00,2.3315
2006-01-04 00:00:00,2.286
2006-01-05 00:00:00,2.2897
2006-01-06 00:00:00,2.283
2006-01-09 00:00:00,2.2535
2006-01-10 00:00:00,2.2618
2006-01-11 00:00:00,2.2798
2006-01-12 00:00:00,2.2756
2006-01-13 00:00:00,2.2725
2006-01-16 00:00:00,2.2715
2006-01-17 00:00:00,2.3035
2006-01-18 00:00:00,2.3165
2006-01-19 00:00:00,2.2888
2006-01-20 00:00:00,2.2775
2006-01-23 00:00:00,2.257
2006-01-24 00:00:00,2.241
2006-01-25 00:00:00,2.2428
2006-01-26 00:00:00,2.229
2006-01-27 00:00:00,2.21
2006-01-30 00:00:00,2.2125
2006-01-31 00:00:00,2.212
2006-02-01 00:00:00,2.225
2006-02-02 00:00:00,2.2265
2006-02-03 00:00:00,2.21
2006-02-06 00:00:00,2.1755
2006-02-07 00:00:00,2.1905
2006-02-08 00:00:00,2.1863
2006-02-09 00:00:00,2.17
2006-02-10 00:00:00,2.1615
2006-02-13 00:00:00,2.1545
2006-02-14 00:00:00,2.138
2006-02-15 00:00:00,2.136
2006-02-16 00:00:00,2.116
2006-02-17 00:00:00,2.1175
2006-02-20 00:00:00,2.1175
2006-02-21 00:00:00,2.166
2006-02-22 00:00:00,2.141
2006-02-23 00:00:00,2.1335
2006-02-24 00:00:00,2.14
2006-02-27 00:00:00,2.1405
2006-02-28 00:00:00,2.1235
2006-03-01 00:00:00,2.1155
2006-03-02 00:00:00,2.104
2006-03-03 00:00:00,2.11
2006-03-06 00:00:00,2.1475
2006-03-07 00:00:00,2.142
2006-03-08 00:00:00,2.18
2006-03-09 00:00:00,2.1618
2006-03-10 00:00:00,2.1373
2006-03-13 00:00:00,2.134
2006-03-14 00:00:00,2.124
2006-03-15 00:00:00,2.1157
2006-03-16 00:00:00,2.1135
2006-03-17 00:00:00,2.124
2006-03-20 00:00:00,2.147
2006-03-21 00:00:00,2.171
2006-03-22 00:00:00,2.1539
2006-03-23 00:00:00,2.1615
2006-03-24 00:00:00,2.158
2006-03-27 00:00:00,2.174
2006-03-28 00:00:00,2.241
2006-03-29 00:00:00,2.2142
2006-03-30 00:00:00,2.187
2006-03-31 00:00:00,2.164
2006-04-03 00:00:00,2.1407
2006-04-04 00:00:00,2.1404
2006-04-05 00:00:00,2.1378
2006-04-06 00:00:00,2.133
2006-04-07 00:00:00,2.149
2006-04-10 00:00:00,2.155
2006-04-11 00:00:00,2.131
2006-04-12 00:00:00,2.1364
2006-04-13 00:00:00,2.138
2006-04-14 00:00:00,2.138
2006-04-17 00:00:00,2.1374
2006-04-18 00:00:00,2.1155
2006-04-19 00:00:00,2.1147
2006-04-20 00:00:00,2.12
2006-04-21 00:00:00,2.1215
2006-04-24 00:00:00,2.114
2006-04-25 00:00:00,2.1305
2006-04-26 00:00:00,2.119
2006-04-27 00:00:00,2.1015
2006-04-28 00:00:00,2.087
2006-05-01 00:00:00,2.08
2006-05-02 00:00:00,2.0618
2006-05-03 00:00:00,2.0761
2006-05-04 00:00:00,2.0703
2006-05-05 00:00:00,2.0555
2006-05-08 00:00:00,2.074
2006-05-09 00:00:00,2.059
2006-05-10 00:00:00,2.0743
2006-05-11 00:00:00,2.0981
2006-05-12 00:00:00,2.1445
2006-05-15 00:00:00,2.1665
2006-05-16 00:00:00,2.136
2006-05-17 00:00:00,2.2095
2006-05-18 00:00:00,2.1805
2006-05-19 00:00:00,2.209
2006-05-22 00:00:00,2.298
2006-05-23 00:00:00,2.3525
2006-05-24 00:00:00,2.3275
2006-05-25 00:00:00,2.278
2006-05-26 00:00:00,2.2415
2006-05-29 00:00:00,2.293
2006-05-30 00:00:00,2.3125
2006-05-31 00:00:00,2.307
2006-06-01 00:00:00,2.2451
2006-06-02 00:00:00,2.2766
2006-06-05 00:00:00,2.2645
2006-06-06 00:00:00,2.242
2006-06-07 00:00:00,2.2545
2006-06-08 00:00:00,2.2585
2006-06-09 00:00:00,2.2592
2006-06-12 00:00:00,2.289
2006-06-13 00:00:00,2.3096
2006-06-14 00:00:00,2.281
2006-06-15 00:00:00,2.2635
2006-06-16 00:00:00,2.245
2006-06-19 00:00:00,2.2603
2006-06-20 00:00:00,2.2355
2006-06-21 00:00:00,2.2268
2006-06-22 00:00:00,2.239
2006-06-23 00:00:00,2.2315
2006-06-26 00:00:00,2.241
2006-06-27 00:00:00,2.2405
2006-06-28 00:00:00,2.22
2006-06-29 00:00:00,2.1775
2006-06-30 00:00:00,2.165
2006-07-03 00:00:00,2.1685
2006-07-04 00:00:00,2.17
2006-07-05 00:00:00,2.208
2006-07-06 00:00:00,2.177
2006-07-07 00:00:00,2.182
2006-07-10 00:00:00,2.1789
2006-07-11 00:00:00,2.183
2006-07-12 00:00:00,2.2025
2006-07-13 00:00:00,2.2244
2006-07-14 00:00:00,2.212
2006-07-17 00:00:00,2.2016
2006-07-18 00:00:00,2.191
2006-07-19 00:00:00,2.1765
2006-07-20 00:00:00,2.1911
2006-07-21 00:00:00,2.1988
2006-07-24 00:00:00,2.1896
2006-07-25 00:00:00,2.2005
2006-07-26 00:00:00,2.195
2006-07-27 00:00:00,2.1922
2006-07-28 00:00:00,2.1754
2006-07-31 00:00:00,2.177
2006-08-01 00:00:00,2.191
2006-08-02 00:00:00,2.1821
2006-08-03 00:00:00,2.176
2006-08-04 00:00:00,2.1814
2006-08-07 00:00:00,2.1851
2006-08-08 00:00:00,2.1714
2006-08-09 00:00:00,2.1663
2006-08-10 00:00:00,2.1565
2006-08-11 00:00:00,2.166
2006-08-14 00:00:00,2.1635
2006-08-15 00:00:00,2.1434
2006-08-16 00:00:00,2.1409
2006-08-17 00:00:00,2.1415
2006-08-18 00:00:00,2.1469
2006-08-21 00:00:00,2.1286
2006-08-22 00:00:00,2.1341
2006-08-23 00:00:00,2.1515
2006-08-24 00:00:00,2.1526
2006-08-25 00:00:00,2.156
2006-08-28 00:00:00,2.1404
2006-08-29 00:00:00,2.1369
2006-08-30 00:00:00,2.1365
2006-08-31 00:00:00,2.145
2006-09-01 00:00:00,2.139
2006-09-04 00:00:00,2.123
2006-09-05 00:00:00,2.1386
2006-09-06 00:00:00,2.15
2006-09-07 00:00:00,2.1524
2006-09-08 00:00:00,2.158
2006-09-11 00:00:00,2.1854
2006-09-12 00:00:00,2.1683
2006-09-13 00:00:00,2.1602
2006-09-14 00:00:00,2.16
2006-09-15 00:00:00,2.151
2006-09-18 00:00:00,2.1467
2006-09-19 00:00:00,2.1591
2006-09-20 00:00:00,2.1759
2006-09-21 00:00:00,2.212
2006-09-22 00:00:00,2.2075
2006-09-25 00:00:00,2.2203
2006-09-26 00:00:00,2.1871
2006-09-27 00:00:00,2.1862
2006-09-28 00:00:00,2.17
2006-09-29 00:00:00,2.169
2006-10-02 00:00:00,2.1565
2006-10-03 00:00:00,2.1754
2006-10-04 00:00:00,2.1639
2006-10-05 00:00:00,2.1635
2006-10-06 00:00:00,2.162
2006-10-09 00:00:00,2.1552
2006-10-10 00:00:00,2.1553
2006-10-11 00:00:00,2.159
2006-10-12 00:00:00,2.1581
2006-10-13 00:00:00,2.1371
2006-10-16 00:00:00,2.1294
2006-10-17 00:00:00,2.1315
2006-10-18 00:00:00,2.1371
2006-10-19 00:00:00,2.1409
2006-10-20 00:00:00,2.1402
2006-10-23 00:00:00,2.1392
2006-10-24 00:00:00,2.1502
2006-10-25 00:00:00,2.1442
2006-10-26 00:00:00,2.1402
2006-10-27 00:00:00,2.1336
2006-10-30 00:00:00,2.1494
2006-10-31 00:00:00,2.1418
2006-11-01 00:00:00,2.1443
2006-11-02 00:00:00,2.1443
2006-11-03 00:00:00,2.139
2006-11-06 00:00:00,2.1372
2006-11-07 00:00:00,2.1379
2006-11-08 00:00:00,2.1445
2006-11-09 00:00:00,2.1415
2006-11-10 00:00:00,2.1514
2006-11-13 00:00:00,2.1688
2006-11-14 00:00:00,2.148
2006-11-15 00:00:00,2.147
2006-11-16 00:00:00,2.1528
2006-11-17 00:00:00,2.1605
2006-11-20 00:00:00,2.16
2006-11-21 00:00:00,2.1632
2006-11-22 00:00:00,2.166
2006-11-23 00:00:00,2.1685
2006-11-24 00:00:00,2.1691
2006-11-27 00:00:00,2.1912
2006-11-28 00:00:00,2.1868
2006-11-29 00:00:00,2.1686
2006-11-30 00:00:00,2.1649
2006-12-01 00:00:00,2.1668
2006-12-04 00:00:00,2.1637
2006-12-05 00:00:00,2.1505
2006-12-06 00:00:00,2.1462
2006-12-07 00:00:00,2.1432
2006-12-08 00:00:00,2.1395
2006-12-11 00:00:00,2.1372
2006-12-12 00:00:00,2.1517
2006-12-13 00:00:00,2.147
2006-12-14 00:00:00,2.1476
2006-12-15 00:00:00,2.1458
2006-12-18 00:00:00,2.1488
2006-12-19 00:00:00,2.1612
2006-12-20 00:00:00,2.1572
2006-12-21 00:00:00,2.1571
2006-12-22 00:00:00,2.1478
2006-12-25 00:00:00,2.1478
2006-12-26 00:00:00,2.143
2006-12-27 00:00:00,2.1432
2006-12-28 00:00:00,2.1363
2006-12-29 00:00:00,2.1364
2007-01-01 00:00:00,2.1364
2007-01-02 00:00:00,2.1311
2007-01-03 00:00:00,2.1394
2007-01-04 00:00:00,2.1441
2007-01-05 00:00:00,2.1523
2007-01-08 00:00:00,2.1512
2007-01-09 00:00:00,2.149
2007-01-10 00:00:00,2.1485
2007-01-11 00:00:00,2.1445
2007-01-12 00:00:00,2.1414
2007-01-15 00:00:00,2.142
2007-01-16 00:00:00,2.1401
2007-01-17 00:00:00,2.1342
2007-01-18 00:00:00,2.1352
2007-01-19 00:00:00,2.1304
2007-01-22 00:00:00,2.136
2007-01-23 00:00:00,2.1323
2007-01-24 00:00:00,2.1278
2007-01-25 00:00:00,2.133
2007-01-26 00:00:00,2.1381
2007-01-29 00:00:00,2.1345
2007-01-30 00:00:00,2.1311
2007-01-31 00:00:00,2.1229
2007-02-01 00:00:00,2.1004
2007-02-02 00:00:00,2.1043
2007-02-05 00:00:00,2.0933
2007-02-06 00:00:00,2.0859
2007-02-07 00:00:00,2.0925
2007-02-08 00:00:00,2.0929
2007-02-09 00:00:00,2.108
2007-02-12 00:00:00,2.1135
2007-02-13 00:00:00,2.1076
2007-02-14 00:00:00,2.0915
2007-02-15 00:00:00,2.0934
2007-02-16 00:00:00,2.092
2007-02-19 00:00:00,2.092
2007-02-20 00:00:00,2.084
2007-02-21 00:00:00,2.0765
2007-02-22 00:00:00,2.0815
2007-02-23 00:00:00,2.0877
2007-02-26 00:00:00,2.0825
2007-02-27 00:00:00,2.1197
2007-02-28 00:00:00,2.1205
2007-03-01 00:00:00,2.1188
2007-03-02 00:00:00,2.1318
2007-03-05 00:00:00,2.134
2007-03-06 00:00:00,2.1168
2007-03-07 00:00:00,2.1123
2007-03-08 00:00:00,2.1065
2007-03-09 00:00:00,2.0983
2007-03-12 00:00:00,2.0876
2007-03-13 00:00:00,2.1035
2007-03-14 00:00:00,2.0972
2007-03-15 00:00:00,2.0888
2007-03-16 00:00:00,2.0922
2007-03-19 00:00:00,2.0785
2007-03-20 00:00:00,2.0762
2007-03-21 00:00:00,2.059
2007-03-22 00:00:00,2.0583
2007-03-23 00:00:00,2.0612
2007-03-26 00:00:00,2.0603
2007-03-27 00:00:00,2.062
2007-03-28 00:00:00,2.0685
2007-03-29 00:00:00,2.0444
2007-03-30 00:00:00,2.0594
2007-04-02 00:00:00,2.0478
2007-04-03 00:00:00,2.0362
2007-04-04 00:00:00,2.0332
2007-04-05 00:00:00,2.0315
2007-04-06 00:00:00,2.0315
2007-04-09 00:00:00,2.0242
2007-04-10 00:00:00,2.0273
2007-04-11 00:00:00,2.0378
2007-04-12 00:00:00,2.0343
2007-04-13 00:00:00,2.0215
2007-04-16 00:00:00,2.0354
2007-04-17 00:00:00,2.0351
2007-04-18 00:00:00,2.0327
2007-04-19 00:00:00,2.0292
2007-04-20 00:00:00,2.026
2007-04-23 00:00:00,2.0355
2007-04-24 00:00:00,2.0344
2007-04-25 00:00:00,2.0206
2007-04-26 00:00:00,2.0274
2007-04-27 00:00:00,2.0313
2007-04-30 00:00:00,2.0345
2007-05-01 00:00:00,2.0345
2007-05-02 00:00:00,2.0225
2007-05-03 00:00:00,2.027
2007-05-04 00:00:00,2.0335
2007-05-07 00:00:00,2.0203
2007-05-08 00:00:00,2.0221
2007-05-09 00:00:00,2.0178
2007-05-10 00:00:00,2.0222
2007-05-11 00:00:00,2.0183
2007-05-14 00:00:00,2.0075
2007-05-15 00:00:00,1.9815
2007-05-16 00:00:00,1.9527
2007-05-17 00:00:00,1.952
2007-05-18 00:00:00,1.9607
2007-05-21 00:00:00,1.938
2007-05-22 00:00:00,1.9432
2007-05-23 00:00:00,1.9508
2007-05-24 00:00:00,1.9692
2007-05-25 00:00:00,1.951
2007-05-28 00:00:00,1.9422
2007-05-29 00:00:00,1.949
2007-05-30 00:00:00,1.94
2007-05-31 00:00:00,1.9246
2007-06-01 00:00:00,1.9049
2007-06-04 00:00:00,1.927
2007-06-05 00:00:00,1.9457
