date,USDZMW_Zambia
2005-01-03 00:00:00,4.652
2005-01-04 00:00:00,4.71
2005-01-05 00:00:00,4.672
2005-01-06 00:00:00,4.7
2005-01-07 00:00:00,4.71
2005-01-10 00:00:00,4.702
2005-01-11 00:00:00,4.702
2005-01-12 00:00:00,4.75
2005-01-13 00:00:00,4.75
2005-01-14 00:00:00,4.725
2005-01-17 00:00:00,4.702
2005-01-18 00:00:00,4.702
2005-01-19 00:00:00,4.677
2005-01-20 00:00:00,4.7375
2005-01-21 00:00:00,4.702
2005-01-24 00:00:00,4.725
2005-01-25 00:00:00,4.667
2005-01-26 00:00:00,4.702
2005-01-27 00:00:00,4.708
2005-01-28 00:00:00,4.652
2005-01-31 00:00:00,4.652
2005-02-01 00:00:00,4.77
2005-02-02 00:00:00,4.652
2005-02-03 00:00:00,4.672
2005-02-04 00:00:00,4.675
2005-02-07 00:00:00,4.702
2005-02-08 00:00:00,4.683
2005-02-09 00:00:00,4.6875
2005-02-10 00:00:00,4.7
2005-02-11 00:00:00,4.725
2005-02-14 00:00:00,4.677
2005-02-15 00:00:00,4.7
2005-02-16 00:00:00,4.7
2005-02-17 00:00:00,4.741
2005-02-18 00:00:00,4.677
2005-02-21 00:00:00,4.7
2005-02-22 00:00:00,4.7
2005-02-23 00:00:00,4.675
2005-02-24 00:00:00,4.702
2005-02-25 00:00:00,4.652
2005-02-28 00:00:00,4.652
2005-03-01 00:00:00,4.677
2005-03-02 00:00:00,4.677
2005-03-03 00:00:00,4.687
2005-03-04 00:00:00,4.735
2005-03-07 00:00:00,4.675
2005-03-08 00:00:00,4.672
2005-03-09 00:00:00,4.672
2005-03-10 00:00:00,4.7
2005-03-11 00:00:00,4.727
2005-03-14 00:00:00,4.702
2005-03-15 00:00:00,4.712
2005-03-16 00:00:00,4.687
2005-03-17 00:00:00,4.677
2005-03-18 00:00:00,4.677
2005-03-21 00:00:00,4.687
2005-03-22 00:00:00,4.662
2005-03-23 00:00:00,4.602
2005-03-24 00:00:00,4.602
2005-03-25 00:00:00,4.602
2005-03-28 00:00:00,4.602
2005-03-29 00:00:00,4.552
2005-03-30 00:00:00,4.627
2005-03-31 00:00:00,4.637
2005-04-01 00:00:00,4.637
2005-04-04 00:00:00,4.625
2005-04-05 00:00:00,4.7
2005-04-06 00:00:00,4.65
2005-04-07 00:00:00,4.65
2005-04-08 00:00:00,4.627
2005-04-11 00:00:00,4.695
2005-04-12 00:00:00,4.65
2005-04-13 00:00:00,4.625
2005-04-14 00:00:00,4.602
2005-04-15 00:00:00,4.577
2005-04-18 00:00:00,4.575
2005-04-19 00:00:00,4.577
