date,USD_Index_DXY
2005-01-03 00:00:00,81.3
2005-01-04 00:00:00,82.52
2005-01-05 00:00:00,82.54
2005-01-06 00:00:00,83.15
2005-01-07 00:00:00,83.6
2005-01-10 00:00:00,83.35
2005-01-11 00:00:00,83.07
2005-01-12 00:00:00,82.17
2005-01-13 00:00:00,82.51
2005-01-14 00:00:00,82.97
2005-01-17 00:00:00,83.24
2005-01-18 00:00:00,83.36
2005-01-19 00:00:00,83.6
2005-01-20 00:00:00,83.84
2005-01-21 00:00:00,83.26
2005-01-24 00:00:00,83.24
2005-01-25 00:00:00,83.99
2005-01-26 00:00:00,83.3
2005-01-27 00:00:00,83.43
2005-01-28 00:00:00,83.48
2005-01-31 00:00:00,83.57
2005-02-01 00:00:00,83.45
2005-02-02 00:00:00,83.54
2005-02-03 00:00:00,83.93
2005-02-04 00:00:00,84.39
2005-02-07 00:00:00,85.12
2005-02-08 00:00:00,85.1
2005-02-09 00:00:00,84.91
2005-02-10 00:00:00,84.54
2005-02-11 00:00:00,84.57
2005-02-14 00:00:00,83.96
2005-02-15 00:00:00,83.59
2005-02-16 00:00:00,83.67
2005-02-17 00:00:00,83.48
2005-02-18 00:00:00,83.49
2005-02-21 00:00:00,83.52
2005-02-22 00:00:00,82.41
2005-02-23 00:00:00,82.68
2005-02-24 00:00:00,82.9
2005-02-25 00:00:00,82.66
2005-02-28 00:00:00,82.51
2005-03-01 00:00:00,82.78
2005-03-02 00:00:00,83.08
2005-03-03 00:00:00,83.31
2005-03-04 00:00:00,82.52
2005-03-07 00:00:00,82.79
2005-03-08 00:00:00,81.98
2005-03-09 00:00:00,81.63
2005-03-10 00:00:00,81.59
2005-03-11 00:00:00,81.42
2005-03-14 00:00:00,81.97
2005-03-15 00:00:00,82.12
2005-03-16 00:00:00,81.59
2005-03-17 00:00:00,81.84
2005-03-18 00:00:00,82.05
2005-03-21 00:00:00,82.97
2005-03-22 00:00:00,83.36
2005-03-23 00:00:00,83.94
2005-03-24 00:00:00,84.13
2005-03-25 00:00:00,84.15
