date,China_7D_SHIBOR
2006-10-31 00:00:00,2.1885
2006-11-30 00:00:00,2.4161
2006-12-31 00:00:00,1.5675
2007-01-31 00:00:00,1.778
2007-02-28 00:00:00,1.6526
2007-03-31 00:00:00,1.8057
2007-04-30 00:00:00,1.6303
2007-05-31 00:00:00,1.7986
2007-06-30 00:00:00,1.7784
2007-07-31 00:00:00,2.0376
2007-08-31 00:00:00,1.8626
2007-09-30 00:00:00,1.9925
2007-10-31 00:00:00,2.8928
2007-11-30 00:00:00,1.8635
2007-12-31 00:00:00,2.2894
2008-01-31 00:00:00,1.9881
2008-02-29 00:00:00,2.4847
2008-03-31 00:00:00,2.2848
2008-04-30 00:00:00,2.166
2008-05-31 00:00:00,2.8565
2008-06-30 00:00:00,2.7949
2008-07-31 00:00:00,2.5276
2008-08-31 00:00:00,2.6359
2008-09-30 00:00:00,3.2209
2008-10-31 00:00:00,2.2921
2008-11-30 00:00:00,1.5492
2008-12-31 00:00:00,0.9471
2009-01-31 00:00:00,0.9283
2009-02-28 00:00:00,0.8067
2009-03-31 00:00:00,0.8025
2009-04-30 00:00:00,0.8067
2009-05-31 00:00:00,0.8117
2009-06-30 00:00:00,1.09
2009-07-31 00:00:00,1.2992
2009-08-31 00:00:00,0.9975
2009-09-30 00:00:00,1.7742
2009-10-31 00:00:00,1.1379
2009-11-30 00:00:00,1.1892
2009-12-31 00:00:00,1.1467
2010-01-31 00:00:00,1.3592
2010-02-28 00:00:00,1.4315
2010-03-31 00:00:00,1.3388
2010-04-30 00:00:00,1.3973
2010-05-31 00:00:00,2.3725
2010-06-30 00:00:00,2.2683
2010-07-31 00:00:00,1.4696
2010-08-31 00:00:00,2.32
2010-09-30 00:00:00,2.5975
2010-10-31 00:00:00,1.5842
2010-11-30 00:00:00,2.13
2010-12-31 00:00:00,4.5217
2011-01-31 00:00:00,5.0142
2011-02-28 00:00:00,2.3783
2011-03-31 00:00:00,1.7992
2011-04-30 00:00:00,2.4992
2011-05-31 00:00:00,3.8433
2011-06-30 00:00:00,4.9983
2011-07-31 00:00:00,3.4817
2011-08-31 00:00:00,3.3538
2011-09-30 00:00:00,4.8925
2011-10-31 00:00:00,4.695
2011-11-30 00:00:00,3.425
2011-12-31 00:00:00,4.9992
2012-01-31 00:00:00,2.9675
2012-02-29 00:00:00,2.5933
2012-03-31 00:00:00,2.6733
2012-04-30 00:00:00,2.7967
2012-05-31 00:00:00,1.8788
2012-06-30 00:00:00,3.6008
2012-07-31 00:00:00,2.5983
2012-08-31 00:00:00,2.0657
2012-09-30 00:00:00,3.28
2012-10-31 00:00:00,2.955
2012-11-30 00:00:00,2.2533
2012-12-31 00:00:00,3.866
2013-01-31 00:00:00,2.31
2013-02-28 00:00:00,4.011
2013-03-31 00:00:00,2.684
2013-04-30 00:00:00,2.83
2013-05-31 00:00:00,4.501
2013-06-30 00:00:00,4.941
2013-07-31 00:00:00,3.699
2013-08-31 00:00:00,3.034
2013-09-30 00:00:00,3.126
2013-10-31 00:00:00,4.59
2013-11-30 00:00:00,3.726
2013-12-31 00:00:00,3.148
2014-01-31 00:00:00,4.435
2014-02-28 00:00:00,1.8458
2014-03-31 00:00:00,2.8
2014-04-30 00:00:00,2.5
2014-05-31 00:00:00,2.57
2014-06-30 00:00:00,2.913
2014-07-31 00:00:00,3.204
2014-08-31 00:00:00,2.908
2014-09-30 00:00:00,2.5325
2014-10-31 00:00:00,2.559
2014-11-30 00:00:00,2.608
2014-12-31 00:00:00,3.528
2015-01-31 00:00:00,2.813
2015-02-28 00:00:00,3.441
2015-03-31 00:00:00,3.183
2015-04-30 00:00:00,1.69
2015-05-31 00:00:00,1.039
2015-06-30 00:00:00,1.257
2015-07-31 00:00:00,1.47
2015-08-31 00:00:00,1.801
2015-09-30 00:00:00,1.989
2015-10-31 00:00:00,1.798
2015-11-30 00:00:00,1.788
2015-12-31 00:00:00,1.991
2016-01-31 00:00:00,1.989
2016-02-29 00:00:00,2.007
2016-03-31 00:00:00,2.017
2016-04-30 00:00:00,2.049
2016-05-31 00:00:00,2.01
2016-06-30 00:00:00,2.037
2016-07-31 00:00:00,2.017
2016-08-31 00:00:00,2.065
2016-09-30 00:00:00,2.327
2016-10-31 00:00:00,2.253
2016-11-30 00:00:00,2.316
2016-12-31 00:00:00,2.23
2017-01-31 00:00:00,2.5293
2017-02-28 00:00:00,2.493
2017-03-31 00:00:00,2.5384
2017-04-30 00:00:00,2.819
2017-05-31 00:00:00,2.6365
2017-06-30 00:00:00,2.618
2017-07-31 00:00:00,2.806
2017-08-31 00:00:00,2.831
2017-09-30 00:00:00,2.938
2017-10-31 00:00:00,2.736
2017-11-30 00:00:00,2.788
2017-12-31 00:00:00,2.84
2018-01-31 00:00:00,2.594
2018-02-28 00:00:00,2.708
2018-03-31 00:00:00,2.69
2018-04-30 00:00:00,2.824
2018-05-31 00:00:00,2.831
2018-06-30 00:00:00,2.628
2018-07-31 00:00:00,2.066
2018-08-31 00:00:00,2.309
2018-09-30 00:00:00,2.653
2018-10-31 00:00:00,2.37
2018-11-30 00:00:00,2.642
2018-12-31 00:00:00,2.554
2019-01-31 00:00:00,2.238
2019-02-28 00:00:00,2.584
2019-03-31 00:00:00,2.486
2019-04-30 00:00:00,2.086
2019-05-31 00:00:00,2.194
2019-06-30 00:00:00,1.3705
2019-07-31 00:00:00,2.642
2019-08-31 00:00:00,2.572
2019-09-30 00:00:00,2.635
2019-10-31 00:00:00,2.59
2019-11-30 00:00:00,2.356
2019-12-31 00:00:00,1.694
2020-01-31 00:00:00,2.444
2020-02-29 00:00:00,1.628
2020-03-31 00:00:00,1.614
2020-04-30 00:00:00,1.888
2020-05-31 00:00:00,2.097
2020-06-30 00:00:00,1.785
2020-07-31 00:00:00,1.788
2020-08-31 00:00:00,1.766
2020-09-30 00:00:00,2.361
2020-10-31 00:00:00,2.236
2020-11-30 00:00:00,1.115
2020-12-31 00:00:00,1.093
2021-01-31 00:00:00,3.282
2021-02-28 00:00:00,2.092
2021-03-31 00:00:00,2.124
2021-04-30 00:00:00,2.285
2021-05-31 00:00:00,2.227
2021-06-30 00:00:00,2.177
2021-07-31 00:00:00,2.178
2021-08-31 00:00:00,2.195
2021-09-30 00:00:00,2.22
2021-10-31 00:00:00,2.142
2021-11-30 00:00:00,2.173
2021-12-31 00:00:00,2.129
2022-01-31 00:00:00,2.155
2022-02-28 00:00:00,2.234
2022-03-31 00:00:00,2.011
2022-04-30 00:00:00,1.838
2022-05-31 00:00:00,1.588
2022-06-30 00:00:00,1.901
2022-07-31 00:00:00,1.254
2022-08-31 00:00:00,1.401
2022-09-30 00:00:00,2.081
2022-10-31 00:00:00,1.739
2022-11-30 00:00:00,1.515
2022-12-31 00:00:00,1.957
2023-01-31 00:00:00,1.988
2023-02-28 00:00:00,2.083
2023-03-31 00:00:00,1.838
2023-04-30 00:00:00,2.134
2023-05-31 00:00:00,1.716
2023-06-30 00:00:00,1.484
2023-07-31 00:00:00,1.847
2023-08-31 00:00:00,1.865
2023-09-30 00:00:00,2.155
2023-10-31 00:00:00,1.75
2023-11-30 00:00:00,1.858
2023-12-31 00:00:00,1.746
2024-01-31 00:00:00,1.708
2024-02-29 00:00:00,1.639
2024-03-31 00:00:00,1.718
2024-04-30 00:00:00,1.921
2024-05-31 00:00:00,1.805
2024-06-30 00:00:00,1.889
2024-07-31 00:00:00,1.782
2024-08-31 00:00:00,1.529
2024-09-30 00:00:00,1.514
2024-10-31 00:00:00,1.364
2024-11-30 00:00:00,1.319
2024-12-31 00:00:00,1.454
2025-01-31 00:00:00,1.708
2025-02-28 00:00:00,1.865
2025-03-31 00:00:00,1.739
2025-04-30 00:00:00,1.76
2025-05-31 00:00:00,1.471
2025-06-30 00:00:00,1.422
2025-07-31 00:00:00,1.392
2025-08-31 00:00:00,1.331
2025-09-30 00:00:00,1.379
2025-10-31 00:00:00,1.321
2025-11-30 00:00:00,1.301
2025-12-31 00:00:00,1.327
2026-01-31 00:00:00,1.328
2026-02-28 00:00:00,1.318
2026-03-31 00:00:00,1.277
2026-04-30 00:00:00,1.327
2026-05-31 00:00:00,1.324
