date,China_M2_YoY
2005-01-31 00:00:00,14.13
2005-02-28 00:00:00,13.91
2005-03-31 00:00:00,14.03
2005-04-30 00:00:00,14.1
2005-05-31 00:00:00,14.65
2005-06-30 00:00:00,15.67
2005-07-31 00:00:00,16.3
2005-08-31 00:00:00,17.34
2005-09-30 00:00:00,17.92
2005-10-31 00:00:00,17.99
2005-11-30 00:00:00,18.3
2005-12-31 00:00:00,17.57
2006-01-31 00:00:00,19.21
2006-02-28 00:00:00,18.82
2006-03-31 00:00:00,18.76
2006-04-30 00:00:00,18.92
2006-05-31 00:00:00,19.05
2006-06-30 00:00:00,18.43
2006-07-31 00:00:00,18.4
2006-08-31 00:00:00,17.94
2006-09-30 00:00:00,16.83
2006-10-31 00:00:00,17.08
2006-11-30 00:00:00,16.8
2006-12-31 00:00:00,16.94
2007-01-31 00:00:00,15.79
2007-02-28 00:00:00,17.78
2007-03-31 00:00:00,17.27
2007-04-30 00:00:00,17.13
2007-05-31 00:00:00,16.74
2007-06-30 00:00:00,17.06
2007-07-31 00:00:00,18.5
2007-08-31 00:00:00,18.1
2007-09-30 00:00:00,18.5
2007-10-31 00:00:00,18.5
2007-11-30 00:00:00,18.5
2007-12-31 00:00:00,16.7
2008-01-31 00:00:00,18.9
2008-02-29 00:00:00,17.5
2008-03-31 00:00:00,16.3
2008-04-30 00:00:00,16.9
2008-05-31 00:00:00,18.07
2008-06-30 00:00:00,17.37
2008-07-31 00:00:00,16.35
2008-08-31 00:00:00,16.0
2008-09-30 00:00:00,15.29
2008-10-31 00:00:00,15.02
2008-11-30 00:00:00,14.8
2008-12-31 00:00:00,17.82
2009-01-31 00:00:00,18.79
2009-02-28 00:00:00,20.48
2009-03-31 00:00:00,25.51
2009-04-30 00:00:00,25.95
2009-05-31 00:00:00,25.74
2009-06-30 00:00:00,28.45
2009-07-31 00:00:00,28.42
2009-08-31 00:00:00,28.53
2009-09-30 00:00:00,29.31
2009-10-31 00:00:00,29.51
2009-11-30 00:00:00,29.74
2009-12-31 00:00:00,27.68
2010-01-31 00:00:00,26.1
2010-02-28 00:00:00,25.53
2010-03-31 00:00:00,22.49
2010-04-30 00:00:00,21.47
2010-05-31 00:00:00,20.99
2010-06-30 00:00:00,18.46
2010-07-31 00:00:00,17.61
2010-08-31 00:00:00,19.21
2010-09-30 00:00:00,18.96
2010-10-31 00:00:00,19.3
2010-11-30 00:00:00,19.45
2010-12-31 00:00:00,19.72
2011-01-31 00:00:00,17.2
2011-02-28 00:00:00,15.71
2011-03-31 00:00:00,16.63
2011-04-30 00:00:00,15.34
2011-05-31 00:00:00,15.07
2011-06-30 00:00:00,15.85
2011-07-31 00:00:00,14.65
2011-08-31 00:00:00,13.56
2011-09-30 00:00:00,13.04
2011-10-31 00:00:00,12.88
2011-11-30 00:00:00,12.72
2011-12-31 00:00:00,13.61
2012-01-31 00:00:00,12.4
2012-02-29 00:00:00,13.03
2012-03-31 00:00:00,13.43
2012-04-30 00:00:00,12.78
2012-05-31 00:00:00,13.18
2012-06-30 00:00:00,13.64
2012-07-31 00:00:00,13.94
2012-08-31 00:00:00,13.46
2012-09-30 00:00:00,14.8
2012-10-31 00:00:00,14.13
2012-11-30 00:00:00,13.89
2012-12-31 00:00:00,13.83
2013-01-31 00:00:00,15.92
2013-02-28 00:00:00,15.16
2013-03-31 00:00:00,15.67
2013-04-30 00:00:00,16.07
2013-05-31 00:00:00,15.79
2013-06-30 00:00:00,13.99
2013-07-31 00:00:00,14.49
2013-08-31 00:00:00,14.74
2013-09-30 00:00:00,14.17
2013-10-31 00:00:00,14.29
2013-11-30 00:00:00,14.23
2013-12-31 00:00:00,13.59
2014-01-31 00:00:00,13.24
2014-02-28 00:00:00,13.33
2014-03-31 00:00:00,12.1
2014-04-30 00:00:00,13.2
2014-05-31 00:00:00,13.45
2014-06-30 00:00:00,14.72
2014-07-31 00:00:00,13.5
2014-08-31 00:00:00,12.84
2014-09-30 00:00:00,12.9
2014-10-31 00:00:00,12.6
2014-11-30 00:00:00,12.3
2014-12-31 00:00:00,12.2
2015-01-31 00:00:00,10.8
2015-02-28 00:00:00,12.5
2015-03-31 00:00:00,11.6
2015-04-30 00:00:00,10.1
2015-05-31 00:00:00,10.8
2015-06-30 00:00:00,11.8
2015-07-31 00:00:00,13.3
2015-08-31 00:00:00,13.3
2015-09-30 00:00:00,13.1
2015-10-31 00:00:00,13.5
2015-11-30 00:00:00,13.7
2015-12-31 00:00:00,13.3
2016-01-31 00:00:00,14.0
2016-02-29 00:00:00,13.3
2016-03-31 00:00:00,13.4
2016-04-30 00:00:00,12.8
2016-05-31 00:00:00,11.8
2016-06-30 00:00:00,11.8
