date,US_M2_Level
2005-01-31 00:00:00,6430.8
2005-02-28 00:00:00,6438.9
2005-03-31 00:00:00,6448.3
2005-04-30 00:00:00,6461.8
2005-05-31 00:00:00,6479.0
2005-06-30 00:00:00,6511.7
2005-07-31 00:00:00,6543.5
2005-08-31 00:00:00,6576.3
2005-09-30 00:00:00,6610.1
2005-10-31 00:00:00,6643.9
2005-11-30 00:00:00,6660.7
2005-12-31 00:00:00,6687.8
2006-01-31 00:00:00,6730.1
2006-02-28 00:00:00,6754.7
2006-03-31 00:00:00,6769.3
2006-04-30 00:00:00,6806.9
2006-05-31 00:00:00,6813.7
2006-06-30 00:00:00,6851.8
2006-07-31 00:00:00,6893.6
2006-08-31 00:00:00,6925.1
2006-09-30 00:00:00,6952.4
2006-10-31 00:00:00,7001.7
2006-11-30 00:00:00,7037.2
2006-12-31 00:00:00,7080.1
2007-01-31 00:00:00,7118.3
2007-02-28 00:00:00,7134.3
2007-03-31 00:00:00,7168.2
2007-04-30 00:00:00,7240.7
2007-05-31 00:00:00,7254.6
2007-06-30 00:00:00,7287.8
2007-07-31 00:00:00,7318.7
2007-08-31 00:00:00,7394.8
2007-09-30 00:00:00,7413.0
2007-10-31 00:00:00,7428.1
2007-11-30 00:00:00,7453.6
2007-12-31 00:00:00,7483.9
2008-01-31 00:00:00,7517.5
2008-02-29 00:00:00,7604.0
2008-03-31 00:00:00,7670.0
2008-04-30 00:00:00,7712.5
2008-05-31 00:00:00,7725.2
2008-06-30 00:00:00,7743.9
2008-07-31 00:00:00,7791.2
2008-08-31 00:00:00,7805.8
2008-09-30 00:00:00,7872.4
2008-10-31 00:00:00,7974.9
2008-11-30 00:00:00,8027.0
2008-12-31 00:00:00,8204.7
2009-01-31 00:00:00,8289.0
2009-02-28 00:00:00,8319.3
2009-03-31 00:00:00,8386.4
2009-04-30 00:00:00,8391.1
2009-05-31 00:00:00,8449.2
2009-06-30 00:00:00,8459.3
2009-07-31 00:00:00,8463.5
2009-08-31 00:00:00,8463.0
2009-09-30 00:00:00,8461.6
2009-10-31 00:00:00,8487.9
2009-11-30 00:00:00,8517.0
2009-12-31 00:00:00,8512.2
2010-01-31 00:00:00,8477.7
2010-02-28 00:00:00,8527.3
2010-03-31 00:00:00,8523.5
2010-04-30 00:00:00,8554.8
2010-05-31 00:00:00,8609.0
2010-06-30 00:00:00,8628.1
2010-07-31 00:00:00,8639.5
2010-08-31 00:00:00,8687.9
2010-09-30 00:00:00,8718.7
2010-10-31 00:00:00,8768.4
2010-11-30 00:00:00,8789.0
2010-12-31 00:00:00,8823.2
2011-01-31 00:00:00,8849.0
2011-02-28 00:00:00,8913.3
2011-03-31 00:00:00,8971.5
2011-04-30 00:00:00,9035.1
2011-05-31 00:00:00,9107.8
2011-06-30 00:00:00,9182.1
2011-07-31 00:00:00,9344.2
2011-08-31 00:00:00,9531.0
2011-09-30 00:00:00,9551.5
2011-10-31 00:00:00,9584.4
2011-11-30 00:00:00,9636.5
2011-12-31 00:00:00,9683.9
2012-01-31 00:00:00,9757.6
2012-02-29 00:00:00,9809.8
2012-03-31 00:00:00,9853.9
2012-04-30 00:00:00,9907.7
2012-05-31 00:00:00,9951.4
2012-06-30 00:00:00,10021.6
2012-07-31 00:00:00,10074.5
2012-08-31 00:00:00,10145.6
2012-09-30 00:00:00,10226.1
2012-10-31 00:00:00,10292.4
2012-11-30 00:00:00,10361.9
2012-12-31 00:00:00,10484.1
2013-01-31 00:00:00,10508.1
2013-02-28 00:00:00,10527.5
2013-03-31 00:00:00,10583.8
2013-04-30 00:00:00,10611.3
2013-05-31 00:00:00,10646.1
2013-06-30 00:00:00,10703.3
2013-07-31 00:00:00,10742.8
2013-08-31 00:00:00,10801.2
2013-09-30 00:00:00,10862.0
2013-10-31 00:00:00,10986.3
2013-11-30 00:00:00,10995.6
2013-12-31 00:00:00,11060.1
2014-01-31 00:00:00,11130.8
2014-02-28 00:00:00,11196.8
2014-03-31 00:00:00,11232.6
2014-04-30 00:00:00,11277.7
2014-05-31 00:00:00,11342.8
2014-06-30 00:00:00,11398.1
2014-07-31 00:00:00,11453.0
2014-08-31 00:00:00,11477.3
2014-09-30 00:00:00,11519.1
2014-10-31 00:00:00,11593.1
2014-11-30 00:00:00,11634.2
2014-12-31 00:00:00,11717.6
2015-01-31 00:00:00,11805.2
2015-02-28 00:00:00,11922.8
2015-03-31 00:00:00,11920.5
2015-04-30 00:00:00,11954.6
2015-05-31 00:00:00,11982.6
2015-06-30 00:00:00,12023.2
2015-07-31 00:00:00,12067.0
2015-08-31 00:00:00,12112.0
2015-09-30 00:00:00,12173.9
2015-10-31 00:00:00,12225.2
2015-11-30 00:00:00,12317.0
2015-12-31 00:00:00,12387.9
2016-01-31 00:00:00,12518.5
2016-02-29 00:00:00,12603.9
2016-03-31 00:00:00,12661.8
2016-04-30 00:00:00,12743.2
2016-05-31 00:00:00,12802.0
2016-06-30 00:00:00,12852.5
2016-07-31 00:00:00,12911.9
2016-08-31 00:00:00,12989.7
2016-09-30 00:00:00,13054.9
2016-10-31 00:00:00,13122.8
2016-11-30 00:00:00,13208.7
2016-12-31 00:00:00,13234.9
2017-01-31 00:00:00,13315.7
2017-02-28 00:00:00,13394.8
2017-03-31 00:00:00,13463.6
2017-04-30 00:00:00,13521.7
2017-05-31 00:00:00,13568.9
2017-06-30 00:00:00,13580.5
2017-07-31 00:00:00,13643.1
2017-08-31 00:00:00,13697.7
2017-09-30 00:00:00,13745.1
2017-10-31 00:00:00,13800.1
2017-11-30 00:00:00,13843.5
2017-12-31 00:00:00,13881.7
2018-01-31 00:00:00,13900.3
2018-02-28 00:00:00,13949.3
2018-03-31 00:00:00,14012.7
2018-04-30 00:00:00,14035.9
2018-05-31 00:00:00,14092.4
2018-06-30 00:00:00,14137.2
2018-07-31 00:00:00,14174.6
