date,Coal_Newcastle_Front
2008-12-05 00:00:00,72.3
2008-12-08 00:00:00,73.6
2008-12-09 00:00:00,74.15
2008-12-10 00:00:00,73.75
2008-12-11 00:00:00,76.9
2008-12-12 00:00:00,76.0
2008-12-15 00:00:00,77.4
2008-12-16 00:00:00,77.4
2008-12-17 00:00:00,78.0
2008-12-18 00:00:00,77.5
2008-12-19 00:00:00,77.45
2008-12-22 00:00:00,77.85
2008-12-23 00:00:00,77.9
2008-12-24 00:00:00,77.95
2008-12-25 00:00:00,77.95
2008-12-26 00:00:00,77.95
2008-12-29 00:00:00,75.2
2008-12-30 00:00:00,75.1
2008-12-31 00:00:00,75.65
2009-01-01 00:00:00,75.65
2009-01-02 00:00:00,74.35
2009-01-05 00:00:00,77.65
2009-01-06 00:00:00,81.25
2009-01-07 00:00:00,78.65
2009-01-08 00:00:00,79.15
2009-01-09 00:00:00,76.9
2009-01-12 00:00:00,78.8
2009-01-13 00:00:00,80.1
2009-01-14 00:00:00,80.15
2009-01-15 00:00:00,80.9
2009-01-16 00:00:00,83.5
2009-01-19 00:00:00,81.05
2009-01-20 00:00:00,81.25
2009-01-21 00:00:00,81.35
2009-01-22 00:00:00,81.75
2009-01-23 00:00:00,82.0
2009-01-26 00:00:00,82.25
2009-01-27 00:00:00,83.05
2009-01-28 00:00:00,82.65
2009-01-29 00:00:00,82.9
2009-01-30 00:00:00,82.6
2009-02-02 00:00:00,77.25
2009-02-03 00:00:00,76.0
2009-02-04 00:00:00,76.75
2009-02-05 00:00:00,77.65
2009-02-06 00:00:00,77.9
2009-02-09 00:00:00,80.0
2009-02-10 00:00:00,78.6
2009-02-11 00:00:00,78.0
2009-02-12 00:00:00,77.0
2009-02-13 00:00:00,77.75
2009-02-16 00:00:00,77.35
2009-02-17 00:00:00,77.35
2009-02-18 00:00:00,77.0
2009-02-19 00:00:00,77.6
2009-02-20 00:00:00,77.6
2009-02-23 00:00:00,76.7
2009-02-24 00:00:00,76.0
2009-02-25 00:00:00,75.85
2009-02-26 00:00:00,75.85
2009-02-27 00:00:00,72.35
2009-03-02 00:00:00,62.65
2009-03-03 00:00:00,61.35
2009-03-04 00:00:00,62.4
2009-03-05 00:00:00,61.6
2009-03-06 00:00:00,61.35
2009-03-09 00:00:00,61.75
2009-03-10 00:00:00,62.1
2009-03-11 00:00:00,62.75
2009-03-12 00:00:00,61.85
2009-03-13 00:00:00,62.05
2009-03-16 00:00:00,61.6
2009-03-17 00:00:00,61.85
2009-03-18 00:00:00,61.75
2009-03-19 00:00:00,62.9
2009-03-20 00:00:00,62.25
2009-03-23 00:00:00,62.15
2009-03-24 00:00:00,62.25
2009-03-25 00:00:00,61.85
2009-03-26 00:00:00,62.0
2009-03-27 00:00:00,61.5
2009-03-30 00:00:00,60.0
2009-03-31 00:00:00,61.1
2009-04-01 00:00:00,62.0
2009-04-02 00:00:00,64.15
2009-04-03 00:00:00,63.75
2009-04-06 00:00:00,62.35
2009-04-07 00:00:00,62.65
2009-04-08 00:00:00,62.1
2009-04-09 00:00:00,62.9
2009-04-10 00:00:00,62.9
2009-04-13 00:00:00,62.9
2009-04-14 00:00:00,62.6
2009-04-15 00:00:00,62.85
2009-04-16 00:00:00,62.9
2009-04-17 00:00:00,62.9
2009-04-20 00:00:00,62.9
2009-04-21 00:00:00,62.75
2009-04-22 00:00:00,62.75
2009-04-23 00:00:00,62.25
2009-04-24 00:00:00,62.35
2009-04-27 00:00:00,62.25
2009-04-28 00:00:00,61.95
2009-04-29 00:00:00,61.75
2009-04-30 00:00:00,62.45
2009-05-01 00:00:00,62.4
2009-05-04 00:00:00,62.4
2009-05-05 00:00:00,63.5
2009-05-06 00:00:00,62.13
2009-05-07 00:00:00,63.42
2009-05-08 00:00:00,63.42
2009-05-11 00:00:00,62.63
2009-05-12 00:00:00,63.5
2009-05-13 00:00:00,63.0
2009-05-14 00:00:00,63.5
2009-05-15 00:00:00,63.35
2009-05-18 00:00:00,63.75
2009-05-19 00:00:00,64.25
2009-05-20 00:00:00,65.5
2009-05-21 00:00:00,65.3
2009-05-22 00:00:00,65.55
2009-05-25 00:00:00,65.55
2009-05-26 00:00:00,64.83
2009-05-27 00:00:00,64.63
2009-05-28 00:00:00,64.13
2009-05-29 00:00:00,64.12
2009-06-01 00:00:00,71.4
2009-06-02 00:00:00,72.1
2009-06-03 00:00:00,70.25
2009-06-04 00:00:00,72.75
2009-06-05 00:00:00,73.6
2009-06-08 00:00:00,73.6
2009-06-09 00:00:00,74.1
2009-06-10 00:00:00,74.1
2009-06-11 00:00:00,74.75
2009-06-12 00:00:00,74.9
2009-06-15 00:00:00,73.0
2009-06-16 00:00:00,73.25
2009-06-17 00:00:00,71.65
2009-06-18 00:00:00,72.35
2009-06-19 00:00:00,73.5
2009-06-22 00:00:00,71.15
2009-06-23 00:00:00,72.2
2009-06-24 00:00:00,72.35
2009-06-25 00:00:00,72.5
2009-06-26 00:00:00,71.95
2009-06-29 00:00:00,69.9
2009-06-30 00:00:00,69.3
2009-07-01 00:00:00,69.4
2009-07-02 00:00:00,68.8
2009-07-03 00:00:00,69.15
2009-07-06 00:00:00,70.95
2009-07-07 00:00:00,70.75
2009-07-08 00:00:00,71.0
2009-07-09 00:00:00,71.6
2009-07-10 00:00:00,72.5
2009-07-13 00:00:00,72.15
2009-07-14 00:00:00,72.7
2009-07-15 00:00:00,73.0
2009-07-16 00:00:00,74.0
2009-07-17 00:00:00,74.5
2009-07-20 00:00:00,73.6
2009-07-21 00:00:00,74.6
2009-07-22 00:00:00,73.75
2009-07-23 00:00:00,74.25
2009-07-24 00:00:00,74.4
2009-07-27 00:00:00,74.4
2009-07-28 00:00:00,73.85
2009-07-29 00:00:00,73.5
2009-07-30 00:00:00,73.3
2009-07-31 00:00:00,73.7
2009-08-03 00:00:00,70.63
2009-08-04 00:00:00,73.75
2009-08-05 00:00:00,73.65
2009-08-06 00:00:00,74.25
2009-08-07 00:00:00,74.05
2009-08-10 00:00:00,73.85
2009-08-11 00:00:00,73.95
2009-08-12 00:00:00,73.95
2009-08-13 00:00:00,74.35
2009-08-14 00:00:00,73.65
2009-08-17 00:00:00,73.5
2009-08-18 00:00:00,73.3
2009-08-19 00:00:00,73.2
2009-08-20 00:00:00,73.4
2009-08-21 00:00:00,72.9
2009-08-24 00:00:00,72.7
2009-08-25 00:00:00,72.7
2009-08-26 00:00:00,72.75
2009-08-27 00:00:00,72.7
2009-08-28 00:00:00,72.35
2009-08-31 00:00:00,68.6
2009-09-01 00:00:00,67.75
2009-09-02 00:00:00,66.7
2009-09-03 00:00:00,66.9
2009-09-04 00:00:00,66.35
2009-09-07 00:00:00,66.2
2009-09-08 00:00:00,66.5
2009-09-09 00:00:00,66.9
2009-09-10 00:00:00,67.5
2009-09-11 00:00:00,67.0
2009-09-14 00:00:00,67.1
2009-09-15 00:00:00,67.7
2009-09-16 00:00:00,68.4
2009-09-17 00:00:00,68.85
2009-09-18 00:00:00,68.4
