date,COMEX_Copper_Net_NonCommercial_Longs
2005-01-04 00:00:00,20264.0
2005-01-11 00:00:00,18072.0
2005-01-18 00:00:00,17581.0
2005-01-25 00:00:00,19880.0
2005-02-01 00:00:00,17315.0
2005-02-08 00:00:00,14818.0
2005-02-15 00:00:00,20627.0
2005-02-22 00:00:00,27718.0
2005-03-01 00:00:00,33226.0
2005-03-08 00:00:00,36089.0
2005-03-15 00:00:00,30788.0
2005-03-22 00:00:00,30231.0
2005-03-29 00:00:00,25605.0
2005-04-05 00:00:00,27527.0
2005-04-12 00:00:00,28146.0
2005-04-19 00:00:00,18640.0
2005-04-26 00:00:00,22360.0
2005-05-03 00:00:00,19380.0
2005-05-10 00:00:00,16884.0
2005-05-17 00:00:00,3321.0
2005-05-24 00:00:00,3553.0
2005-05-31 00:00:00,9492.0
2005-06-07 00:00:00,18012.0
2005-06-14 00:00:00,20812.0
2005-06-21 00:00:00,22783.0
2005-06-28 00:00:00,20711.0
2005-07-05 00:00:00,13357.0
2005-07-12 00:00:00,15081.0
2005-07-19 00:00:00,16877.0
2005-07-26 00:00:00,16819.0
2005-08-02 00:00:00,18194.0
2005-08-09 00:00:00,16364.0
2005-08-16 00:00:00,14763.0
2005-08-23 00:00:00,10862.0
2005-08-30 00:00:00,9355.0
2005-09-06 00:00:00,9767.0
2005-09-13 00:00:00,6251.0
2005-09-20 00:00:00,6895.0
2005-09-27 00:00:00,9217.0
2005-10-04 00:00:00,9521.0
2005-10-11 00:00:00,11111.0
2005-10-18 00:00:00,7326.0
2005-10-25 00:00:00,1231.0
2005-11-01 00:00:00,3227.0
2005-11-08 00:00:00,5739.0
2005-11-15 00:00:00,7527.0
2005-11-22 00:00:00,6453.0
2005-11-29 00:00:00,5212.0
2005-12-06 00:00:00,5359.0
2005-12-13 00:00:00,4659.0
2005-12-20 00:00:00,2221.0
2005-12-27 00:00:00,2761.0
2006-01-03 00:00:00,2704.0
2006-01-10 00:00:00,1110.0
2006-01-17 00:00:00,2256.0
2006-01-24 00:00:00,2746.0
