date,China_Copper_Imports_OreConcentrate
2005-01-31 00:00:00,300.0
2005-02-28 00:00:00,310.0
2005-03-31 00:00:00,300.0
2005-04-30 00:00:00,360.0
2005-05-31 00:00:00,290.0
2005-06-30 00:00:00,260.0
2005-07-31 00:00:00,360.0
2005-08-31 00:00:00,410.0
2005-09-30 00:00:00,320.0
2005-10-31 00:00:00,330.0
2005-11-30 00:00:00,420.0
2005-12-31 00:00:00,370.0
2006-01-31 00:00:00,300.0
2006-02-28 00:00:00,290.0
2006-03-31 00:00:00,310.0
2006-04-30 00:00:00,330.0
2006-05-31 00:00:00,270.0
2006-06-30 00:00:00,310.0
2006-07-31 00:00:00,380.0
2006-08-31 00:00:00,280.0
2006-09-30 00:00:00,380.0
2006-10-31 00:00:00,180.0
2006-11-30 00:00:00,340.0
2006-12-31 00:00:00,370.0
2007-01-31 00:00:00,330.0
2007-02-28 00:00:00,390.0
2007-03-31 00:00:00,310.0
2007-04-30 00:00:00,480.0
2007-05-31 00:00:00,370.0
2007-06-30 00:00:00,380.0
2007-07-31 00:00:00,370.0
2007-08-31 00:00:00,560.0
2007-09-30 00:00:00,270.0
2007-10-31 00:00:00,290.0
2007-11-30 00:00:00,390.0
2007-12-31 00:00:00,380.0
2008-01-31 00:00:00,510.0
2008-02-29 00:00:00,440.0
2008-03-31 00:00:00,420.0
2008-04-30 00:00:00,500.0
2008-05-31 00:00:00,420.0
2008-06-30 00:00:00,390.0
2008-07-31 00:00:00,460.0
2008-08-31 00:00:00,320.0
2008-09-30 00:00:00,460.0
2008-10-31 00:00:00,410.0
2008-11-30 00:00:00,410.0
2008-12-31 00:00:00,460.0
2009-01-31 00:00:00,510.0
2009-02-28 00:00:00,440.0
2009-03-31 00:00:00,460.0
2009-04-30 00:00:00,520.0
2009-05-31 00:00:00,510.0
2009-06-30 00:00:00,660.0
2009-07-31 00:00:00,510.0
2009-08-31 00:00:00,530.0
2009-09-30 00:00:00,560.0
2009-10-31 00:00:00,450.0
2009-11-30 00:00:00,500.0
2009-12-31 00:00:00,500.0
2010-01-31 00:00:00,590.0
2010-02-28 00:00:00,570.0
2010-03-31 00:00:00,540.0
2010-04-30 00:00:00,610.0
2010-05-31 00:00:00,480.0
2010-06-30 00:00:00,550.0
2010-07-31 00:00:00,470.0
2010-08-31 00:00:00,470.0
2010-09-30 00:00:00,680.0
2010-10-31 00:00:00,470.0
2010-11-30 00:00:00,550.0
2010-12-31 00:00:00,490.0
2011-01-31 00:00:00,570.0
2011-02-28 00:00:00,400.0
2011-03-31 00:00:00,450.0
2011-04-30 00:00:00,470.0
2011-05-31 00:00:00,470.0
2011-06-30 00:00:00,600.0
2011-07-31 00:00:00,450.0
2011-08-31 00:00:00,680.0
2011-09-30 00:00:00,560.0
2011-10-31 00:00:00,520.0
2011-11-30 00:00:00,670.0
2011-12-31 00:00:00,560.0
2012-01-31 00:00:00,600.0
2012-02-29 00:00:00,630.0
2012-03-31 00:00:00,530.0
2012-04-30 00:00:00,470.0
2012-05-31 00:00:00,670.0
2012-06-30 00:00:00,480.0
2012-07-31 00:00:00,570.0
2012-08-31 00:00:00,690.0
2012-09-30 00:00:00,700.0
2012-10-31 00:00:00,720.0
2012-11-30 00:00:00,830.0
2012-12-31 00:00:00,940.0
2013-01-31 00:00:00,760.0
2013-02-28 00:00:00,680.0
2013-03-31 00:00:00,780.0
2013-04-30 00:00:00,840.0
2013-05-31 00:00:00,730.0
2013-06-30 00:00:00,670.0
2013-07-31 00:00:00,940.0
2013-08-31 00:00:00,750.0
2013-09-30 00:00:00,1020.0
2013-10-31 00:00:00,940.0
2013-11-30 00:00:00,920.0
2013-12-31 00:00:00,1040.0
2014-01-31 00:00:00,1039.641
2014-02-28 00:00:00,763.763
2014-03-31 00:00:00,935.357
2014-04-30 00:00:00,999.123
2014-05-31 00:00:00,705.613
2014-06-30 00:00:00,990.409
2014-07-31 00:00:00,901.144
2014-08-31 00:00:00,960.138
2014-09-30 00:00:00,1289.584
2014-10-31 00:00:00,956.312
2014-11-30 00:00:00,1153.726
2014-12-31 00:00:00,1166.995
2015-01-31 00:00:00,927.917
2015-02-28 00:00:00,757.661
2015-03-31 00:00:00,1322.56
2015-04-30 00:00:00,1039.346
2015-05-31 00:00:00,984.325
2015-06-30 00:00:00,988.337
2015-07-31 00:00:00,966.054
2015-08-31 00:00:00,1151.901
2015-09-30 00:00:00,1213.418
2015-10-31 00:00:00,1052.671
2015-11-30 00:00:00,1437.317
2015-12-31 00:00:00,1477.333
2016-01-31 00:00:00,1170.0
2016-02-29 00:00:00,1460.0
2016-03-31 00:00:00,1370.0
2016-04-30 00:00:00,1260.0
2016-05-31 00:00:00,1430.0
2016-06-30 00:00:00,1350.0
2016-07-31 00:00:00,1380.0
2016-08-31 00:00:00,1450.0
2016-09-30 00:00:00,1390.0
2016-10-31 00:00:00,1360.0
2016-11-30 00:00:00,1760.0
2016-12-31 00:00:00,1670.0
2017-01-31 00:00:00,1250.0
2017-02-28 00:00:00,1430.0
2017-03-31 00:00:00,1630.0
2017-04-30 00:00:00,1360.0
2017-05-31 00:00:00,1150.0
2017-06-30 00:00:00,1410.0
2017-07-31 00:00:00,1400.0
2017-08-31 00:00:00,1440.0
2017-09-30 00:00:00,1470.0
2017-10-31 00:00:00,1370.0
2017-11-30 00:00:00,1780.0
2017-12-31 00:00:00,1650.0
2018-01-31 00:00:00,1620.0
2018-02-28 00:00:00,1450.0
2018-03-31 00:00:00,1600.0
2018-04-30 00:00:00,1550.0
2018-05-31 00:00:00,1580.0
2018-06-30 00:00:00,1760.0
2018-07-31 00:00:00,1845.0
2018-08-31 00:00:00,1660.0
2018-09-30 00:00:00,1930.0
2018-10-31 00:00:00,1570.0
2018-11-30 00:00:00,1700.0
2018-12-31 00:00:00,1460.0
2019-01-31 00:00:00,1900.0
2019-02-28 00:00:00,1930.0
2019-03-31 00:00:00,1770.0
2019-04-30 00:00:00,1660.0
2019-05-31 00:00:00,1843.0
2019-06-30 00:00:00,1470.0
2019-07-31 00:00:00,2070.0
2019-08-31 00:00:00,1815.0
2019-09-30 00:00:00,1581.0
2019-10-31 00:00:00,1914.0
2019-11-30 00:00:00,2160.0
2019-12-31 00:00:00,1930.0
2020-01-31 00:00:00,1820.0
2020-02-29 00:00:00,1930.0
2020-03-31 00:00:00,1780.0
2020-04-30 00:00:00,1780.0
2020-05-31 00:00:00,1690.0
2020-06-30 00:00:00,1590.0
2020-07-31 00:00:00,1790.0
2020-08-31 00:00:00,1590.0
2020-09-30 00:00:00,2140.0
2020-10-31 00:00:00,1690.0
2020-11-30 00:00:00,1830.0
2020-12-31 00:00:00,1880.0
2021-01-31 00:00:00,2000.0
2021-02-28 00:00:00,1800.0
2021-03-31 00:00:00,2170.0
2021-04-30 00:00:00,1920.0
2021-05-31 00:00:00,1940.0
2021-06-30 00:00:00,1670.0
2021-07-31 00:00:00,1890.0
2021-08-31 00:00:00,1890.0
2021-09-30 00:00:00,2110.0
2021-10-31 00:00:00,1800.0
2021-11-30 00:00:00,2190.0
2021-12-31 00:00:00,2060.0
2022-01-31 00:00:00,2090.0
2022-02-28 00:00:00,2080.0
2022-03-31 00:00:00,2180.0
2022-04-30 00:00:00,1880.0
2022-05-31 00:00:00,2190.0
2022-06-30 00:00:00,2060.0
2022-07-31 00:00:00,1900.0
2022-08-31 00:00:00,2270.0
2022-09-30 00:00:00,2270.0
2022-10-31 00:00:00,1870.0
2022-11-30 00:00:00,2410.0
2022-12-31 00:00:00,2100.0
2023-01-31 00:00:00,2360.0
2023-02-28 00:00:00,2280.0
2023-03-31 00:00:00,2020.0
2023-04-30 00:00:00,2100.0
2023-05-31 00:00:00,2560.0
2023-06-30 00:00:00,2130.0
2023-07-31 00:00:00,1970.0
2023-08-31 00:00:00,2700.0
2023-09-30 00:00:00,2240.0
2023-10-31 00:00:00,2310.0
2023-11-30 00:00:00,2440.0
2023-12-31 00:00:00,2480.0
2024-01-31 00:00:00,2460.0
2024-02-29 00:00:00,2200.0
2024-03-31 00:00:00,2330.0
2024-04-30 00:00:00,2350.0
2024-05-31 00:00:00,2260.0
2024-06-30 00:00:00,2310.0
2024-07-31 00:00:00,2170.0
2024-08-31 00:00:00,2570.0
2024-09-30 00:00:00,2440.0
2024-10-31 00:00:00,2310.0
2024-11-30 00:00:00,2240.0
2024-12-31 00:00:00,2520.0
2025-01-31 00:00:00,2530.0
2025-02-28 00:00:00,2180.0
2025-03-31 00:00:00,2390.0
2025-04-30 00:00:00,2920.0
2025-05-31 00:00:00,2400.0
2025-06-30 00:00:00,2350.0
2025-07-31 00:00:00,2560.0
2025-08-31 00:00:00,2760.0
2025-09-30 00:00:00,2590.0
2025-10-31 00:00:00,2450.0
2025-11-30 00:00:00,2530.0
2025-12-31 00:00:00,2700.0
2026-01-31 00:00:00,2620.0
2026-02-28 00:00:00,2310.0
2026-03-31 00:00:00,2630.0
2026-04-30 00:00:00,2350.0
2026-05-31 00:00:00,2360.0
