date,China_Copper_Imports_Total
2005-01-31 00:00:00,1160.42
2005-02-28 00:00:00,1303.77
2005-03-31 00:00:00,1561.55
2005-04-30 00:00:00,1384.62
2005-05-31 00:00:00,1412.46
2005-06-30 00:00:00,1689.9
2005-07-31 00:00:00,1608.26
2005-08-31 00:00:00,1563.65
2005-09-30 00:00:00,1848.86
2005-10-31 00:00:00,1633.3
2005-11-30 00:00:00,2231.8
2005-12-31 00:00:00,2513.09
2006-01-31 00:00:00,2095.28
2006-02-28 00:00:00,2533.81
2006-03-31 00:00:00,3259.37
2006-04-30 00:00:00,3176.26
2006-05-31 00:00:00,2368.2
2006-06-30 00:00:00,3986.51
2006-07-31 00:00:00,2772.76
2006-08-31 00:00:00,2960.55
2006-09-30 00:00:00,2946.08
2006-10-31 00:00:00,2367.6
2006-11-30 00:00:00,1947.94
2006-12-31 00:00:00,3575.81
2007-01-31 00:00:00,2841.4
2007-02-28 00:00:00,2981.04
2007-03-31 00:00:00,3291.04
2007-04-30 00:00:00,3633.48
2007-05-31 00:00:00,3751.89
2007-06-30 00:00:00,3553.43
2007-07-31 00:00:00,2945.91
2007-08-31 00:00:00,3088.07
2007-09-30 00:00:00,3247.5
2007-10-31 00:00:00,3337.98
2007-11-30 00:00:00,2985.83
2007-12-31 00:00:00,3488.33
2008-01-31 00:00:00,3391.92
2008-02-29 00:00:00,3519.29
2008-03-31 00:00:00,4023.14
2008-04-30 00:00:00,3179.42
2008-05-31 00:00:00,3125.02
2008-06-30 00:00:00,3181.54
2008-07-31 00:00:00,2663.25
2008-08-31 00:00:00,2218.99
2008-09-30 00:00:00,1791.98
2008-10-31 00:00:00,1477.1
2008-11-30 00:00:00,1162.27
2008-12-31 00:00:00,1954.14
2009-01-31 00:00:00,1406.1
2009-02-28 00:00:00,1474.01
2009-03-31 00:00:00,1858.4
2009-04-30 00:00:00,2082.48
2009-05-31 00:00:00,2317.27
2009-06-30 00:00:00,2354.52
2009-07-31 00:00:00,2649.26
2009-08-31 00:00:00,2656.71
2009-09-30 00:00:00,2277.82
2009-10-31 00:00:00,3544.8
2009-11-30 00:00:00,3264.95
2009-12-31 00:00:00,3750.99
2010-01-31 00:00:00,2575.04
2010-02-28 00:00:00,2845.02
2010-03-31 00:00:00,3232.95
2010-04-30 00:00:00,2900.02
2010-05-31 00:00:00,3115.12
2010-06-30 00:00:00,2887.85
2010-07-31 00:00:00,3432.9
2010-08-31 00:00:00,3737.2
2010-09-30 00:00:00,3725.65
2010-10-31 00:00:00,3892.33
2010-11-30 00:00:00,3964.59
2010-12-31 00:00:00,4977.27
2011-01-31 00:00:00,3507.85
2011-02-28 00:00:00,3397.59
2011-03-31 00:00:00,4324.73
2011-04-30 00:00:00,3898.89
2011-05-31 00:00:00,3932.75
2011-06-30 00:00:00,3920.83
2011-07-31 00:00:00,3423.39
2011-08-31 00:00:00,3111.96
2011-09-30 00:00:00,3361.59
2011-10-31 00:00:00,3832.13
2011-11-30 00:00:00,3766.29
2011-12-31 00:00:00,4146.65
2012-01-31 00:00:00,3224.66
2012-02-29 00:00:00,3470.04
2012-03-31 00:00:00,3394.64
2012-04-30 00:00:00,3225.59
2012-05-31 00:00:00,3192.16
2012-06-30 00:00:00,3692.4
2012-07-31 00:00:00,3163.47
2012-08-31 00:00:00,2888.88
2012-09-30 00:00:00,3293.54
2012-10-31 00:00:00,4422.1
2012-11-30 00:00:00,3729.41
2012-12-31 00:00:00,4209.17
2013-01-31 00:00:00,3345.94
2013-02-28 00:00:00,2969.84
2013-03-31 00:00:00,2710.81
2013-04-30 00:00:00,3448.76
2013-05-31 00:00:00,3498.32
2013-06-30 00:00:00,3318.69
2013-07-31 00:00:00,3324.83
2013-08-31 00:00:00,3419.48
2013-09-30 00:00:00,3321.75
2013-10-31 00:00:00,3836.55
2013-11-30 00:00:00,3299.16
2013-12-31 00:00:00,3397.34
2014-01-31 00:00:00,2169.09
2014-02-28 00:00:00,3601.82
2014-03-31 00:00:00,3581.1
2014-04-30 00:00:00,3092.18
2014-05-31 00:00:00,3406.7
2014-06-30 00:00:00,3089.94
2014-07-31 00:00:00,3089.86
2014-08-31 00:00:00,2893.48
2014-09-30 00:00:00,2977.73
2014-10-31 00:00:00,2998.66
2014-11-30 00:00:00,2859.91
2014-12-31 00:00:00,3496.23
2015-01-31 00:00:00,2754.81
2015-02-28 00:00:00,2512.27
2015-03-31 00:00:00,2840.06
2015-04-30 00:00:00,2775.82
2015-05-31 00:00:00,2516.98
2015-06-30 00:00:00,2783.37
2015-07-31 00:00:00,2124.84
2015-08-31 00:00:00,2231.29
2015-09-30 00:00:00,2214.3
2015-10-31 00:00:00,2218.64
2015-11-30 00:00:00,2447.65
2015-12-31 00:00:00,2515.45
2016-01-31 00:00:00,2013.07
2016-02-29 00:00:00,2305.98
2016-03-31 00:00:00,2342.41
2016-04-30 00:00:00,2093.89
2016-05-31 00:00:00,2263.55
2016-06-30 00:00:00,2089.13
2016-07-31 00:00:00,2159.53
2016-08-31 00:00:00,2200.66
2016-09-30 00:00:00,2462.07
2016-10-31 00:00:00,2431.96
2016-11-30 00:00:00,2580.21
2016-12-31 00:00:00,2984.51
2017-01-31 00:00:00,2372.18
2017-02-28 00:00:00,1985.69
2017-03-31 00:00:00,2288.25
2017-04-30 00:00:00,2220.52
2017-05-31 00:00:00,2671.71
2017-06-30 00:00:00,2900.21
2017-07-31 00:00:00,2645.5
2017-08-31 00:00:00,3082.54
2017-09-30 00:00:00,3275.46
2017-10-31 00:00:00,3292.56
2017-11-30 00:00:00,3306.34
2017-12-31 00:00:00,3959.95
2018-01-31 00:00:00,2521.26
2018-02-28 00:00:00,3126.16
2018-03-31 00:00:00,3172.81
2018-04-30 00:00:00,2903.47
2018-05-31 00:00:00,3130.59
2018-06-30 00:00:00,2964.02
2018-07-31 00:00:00,2836.78
2018-08-31 00:00:00,2702.52
2018-09-30 00:00:00,2785.62
2018-10-31 00:00:00,3091.84
2018-11-30 00:00:00,2941.8
2018-12-31 00:00:00,3428.32
