date,China_Copper_Imports_Unwrought
2005-01-31 00:00:00,207.034
2005-02-28 00:00:00,188.587
2005-03-31 00:00:00,217.46
2005-04-30 00:00:00,228.021
2005-05-31 00:00:00,226.469
2005-06-30 00:00:00,250.402
2005-07-31 00:00:00,203.366
2005-08-31 00:00:00,237.104
2005-09-30 00:00:00,226.426
2005-10-31 00:00:00,180.261
2005-11-30 00:00:00,182.628
2005-12-31 00:00:00,186.017
2006-01-31 00:00:00,159.122
2006-02-28 00:00:00,141.074
2006-03-31 00:00:00,191.351
2006-04-30 00:00:00,180.984
2006-05-31 00:00:00,148.929
2006-06-30 00:00:00,172.794
2006-07-31 00:00:00,174.931
2006-08-31 00:00:00,184.555
2006-09-30 00:00:00,174.931
2006-10-31 00:00:00,165.001
2006-11-30 00:00:00,174.51
2006-12-31 00:00:00,206.808
2007-01-31 00:00:00,229.077
2007-02-28 00:00:00,239.772
2007-03-31 00:00:00,307.723
2007-04-30 00:00:00,304.672
2007-05-31 00:00:00,220.561
2007-06-30 00:00:00,212.471
2007-07-31 00:00:00,206.83
2007-08-31 00:00:00,191.876
2007-09-30 00:00:00,216.643
2007-10-31 00:00:00,204.424
2007-11-30 00:00:00,223.777
2007-12-31 00:00:00,224.553
2008-01-31 00:00:00,239.498
2008-02-29 00:00:00,226.98
2008-03-31 00:00:00,240.634
2008-04-30 00:00:00,246.119
2008-05-31 00:00:00,198.894
2008-06-30 00:00:00,173.851
2008-07-31 00:00:00,186.136
2008-08-31 00:00:00,178.047
2008-09-30 00:00:00,213.782
2008-10-31 00:00:00,231.212
2008-11-30 00:00:00,217.214
2008-12-31 00:00:00,286.576
2009-01-31 00:00:00,232.701
2009-02-28 00:00:00,329.311
2009-03-31 00:00:00,374.957
2009-04-30 00:00:00,399.833
2009-05-31 00:00:00,422.666
2009-06-30 00:00:00,477.217
2009-07-31 00:00:00,406.612
2009-08-31 00:00:00,325.098
2009-09-30 00:00:00,399.052
2009-10-31 00:00:00,263.109
2009-11-30 00:00:00,290.158
2009-12-31 00:00:00,369.368
2010-01-31 00:00:00,292.095
2010-02-28 00:00:00,322.282
2010-03-31 00:00:00,456.24
2010-04-30 00:00:00,436.345
2010-05-31 00:00:00,396.712
2010-06-30 00:00:00,328.231
2010-07-31 00:00:00,342.901
2010-08-31 00:00:00,379.527
2010-09-30 00:00:00,368.41
2010-10-31 00:00:00,273.511
2010-11-30 00:00:00,351.597
2010-12-31 00:00:00,344.558
2011-01-31 00:00:00,364.24
2011-02-28 00:00:00,235.469
2011-03-31 00:00:00,304.299
2011-04-30 00:00:00,262.676
2011-05-31 00:00:00,254.678
2011-06-30 00:00:00,280.009
2011-07-31 00:00:00,306.626
2011-08-31 00:00:00,340.398
2011-09-30 00:00:00,380.526
2011-10-31 00:00:00,383.507
2011-11-30 00:00:00,452.022
2011-12-31 00:00:00,508.942
2012-01-31 00:00:00,413.964
2012-02-29 00:00:00,484.569
2012-03-31 00:00:00,462.182
2012-04-30 00:00:00,375.258
2012-05-31 00:00:00,419.741
2012-06-30 00:00:00,346.223
2012-07-31 00:00:00,366.548
2012-08-31 00:00:00,355.856
2012-09-30 00:00:00,394.837
2012-10-31 00:00:00,321.879
2012-11-30 00:00:00,365.331
2012-12-31 00:00:00,341.211
2013-01-31 00:00:00,350.958
2013-02-28 00:00:00,298.102
2013-03-31 00:00:00,319.603
2013-04-30 00:00:00,295.799
2013-05-31 00:00:00,358.672
2013-06-30 00:00:00,379.951
2013-07-31 00:00:00,410.68
2013-08-31 00:00:00,387.564
2013-09-30 00:00:00,457.847
2013-10-31 00:00:00,406.708
2013-11-30 00:00:00,435.613
2013-12-31 00:00:00,441.291
2014-01-31 00:00:00,536.483
2014-02-28 00:00:00,378.852
2014-03-31 00:00:00,418.228
2014-04-30 00:00:00,448.952
2014-05-31 00:00:00,384.697
2014-06-30 00:00:00,354.343
2014-07-31 00:00:00,343.001
2014-08-31 00:00:00,336.037
2014-09-30 00:00:00,390.201
2014-10-31 00:00:00,396.875
2014-11-30 00:00:00,416.54
2014-12-31 00:00:00,421.231
2015-01-31 00:00:00,414.765
2015-02-28 00:00:00,282.524
2015-03-31 00:00:00,407.647
2015-04-30 00:00:00,428.502
2015-05-31 00:00:00,362.564
2015-06-30 00:00:00,349.153
2015-07-31 00:00:00,348.27
2015-08-31 00:00:00,346.752
2015-09-30 00:00:00,455.258
2015-10-31 00:00:00,423.38
2015-11-30 00:00:00,462.195
2015-12-31 00:00:00,531.042
2016-01-31 00:00:00,440.0
2016-02-29 00:00:00,420.0
2016-03-31 00:00:00,570.0
2016-04-30 00:00:00,450.0
2016-05-31 00:00:00,430.0
2016-06-30 00:00:00,420.0
2016-07-31 00:00:00,360.0
2016-08-31 00:00:00,350.0
2016-09-30 00:00:00,340.0
2016-10-31 00:00:00,290.0
2016-11-30 00:00:00,380.0
2016-12-31 00:00:00,490.0
2017-01-31 00:00:00,380.0
2017-02-28 00:00:00,340.0
2017-03-31 00:00:00,430.0
2017-04-30 00:00:00,300.0
2017-05-31 00:00:00,390.0
2017-06-30 00:00:00,390.0
2017-07-31 00:00:00,390.0
2017-08-31 00:00:00,390.0
2017-09-30 00:00:00,430.0
2017-10-31 00:00:00,330.0
2017-11-30 00:00:00,470.0
2017-12-31 00:00:00,450.0
2018-01-31 00:00:00,440.0
2018-02-28 00:00:00,350.0
2018-03-31 00:00:00,440.0
2018-04-30 00:00:00,440.0
2018-05-31 00:00:00,470.0
2018-06-30 00:00:00,450.0
2018-07-31 00:00:00,452.0
2018-08-31 00:00:00,420.0
2018-09-30 00:00:00,521.0
2018-10-31 00:00:00,420.0
2018-11-30 00:00:00,460.0
2018-12-31 00:00:00,430.0
2019-01-31 00:00:00,480.0
2019-02-28 00:00:00,310.0
2019-03-31 00:00:00,390.0
2019-04-30 00:00:00,410.0
2019-05-31 00:00:00,361.0
2019-06-30 00:00:00,330.0
2019-07-31 00:00:00,420.0
2019-08-31 00:00:00,404.0
2019-09-30 00:00:00,445.0
2019-10-31 00:00:00,431.0
2019-11-30 00:00:00,480.0
2019-12-31 00:00:00,530.0
2020-01-31 00:00:00,407.453
2020-02-29 00:00:00,437.253
2020-03-31 00:00:00,441.926
2020-04-30 00:00:00,461.458
2020-05-31 00:00:00,436.031
2020-06-30 00:00:00,656.483
2020-07-31 00:00:00,762.211
2020-08-31 00:00:00,668.486
2020-09-30 00:00:00,722.45
2020-10-31 00:00:00,618.108
2020-11-30 00:00:00,561.311
2020-12-31 00:00:00,512.332
2021-01-31 00:00:00,473.97
2021-02-28 00:00:00,410.04
2021-03-31 00:00:00,552.317
2021-04-30 00:00:00,484.89
2021-05-31 00:00:00,445.725
2021-06-30 00:00:00,428.437
2021-07-31 00:00:00,424.28
2021-08-31 00:00:00,394.017
2021-09-30 00:00:00,406.016
2021-10-31 00:00:00,410.541
2021-11-30 00:00:00,510.402
2021-12-31 00:00:00,589.165
2022-01-31 00:00:00,509.828
2022-02-28 00:00:00,459.461
2022-03-31 00:00:00,504.009
2022-04-30 00:00:00,465.33
2022-05-31 00:00:00,465.495
2022-06-30 00:00:00,537.698
2022-07-31 00:00:00,463.694
2022-08-31 00:00:00,498.189
2022-09-30 00:00:00,509.954
2022-10-31 00:00:00,404.414
2022-11-30 00:00:00,539.902
2022-12-31 00:00:00,514.049
2023-01-31 00:00:00,469.928
2023-02-28 00:00:00,409.514
2023-03-31 00:00:00,408.174
2023-04-30 00:00:00,407.293
2023-05-31 00:00:00,444.01
2023-06-30 00:00:00,449.648
2023-07-31 00:00:00,451.159
2023-08-31 00:00:00,473.33
2023-09-30 00:00:00,480.426
2023-10-31 00:00:00,500.168
2023-11-30 00:00:00,550.566
2023-12-31 00:00:00,459.338
2024-01-31 00:00:00,520.0
2024-02-29 00:00:00,380.0
2024-03-31 00:00:00,470.0
2024-04-30 00:00:00,440.0
2024-05-31 00:00:00,510.0
2024-06-30 00:00:00,440.0
2024-07-31 00:00:00,440.0
2024-08-31 00:00:00,420.0
2024-09-30 00:00:00,480.0
2024-10-31 00:00:00,510.0
2024-11-30 00:00:00,530.0
2024-12-31 00:00:00,560.0
2025-01-31 00:00:00,420.0
2025-02-28 00:00:00,420.0
2025-03-31 00:00:00,470.0
2025-04-30 00:00:00,440.0
2025-05-31 00:00:00,430.0
2025-06-30 00:00:00,460.0
2025-07-31 00:00:00,480.0
2025-08-31 00:00:00,430.0
2025-09-30 00:00:00,490.0
2025-10-31 00:00:00,440.0
2025-11-30 00:00:00,430.0
2025-12-31 00:00:00,440.0
2026-01-31 00:00:00,380.0
2026-02-28 00:00:00,320.0
2026-03-31 00:00:00,420.0
2026-04-30 00:00:00,450.0
2026-05-31 00:00:00,450.0
