date,China_Yangshan Copper Cathodes premium BL against LME spot
2017-04-30 00:00:00,52.5
2017-05-31 00:00:00,61.5
2017-06-30 00:00:00,61.5
2017-07-31 00:00:00,67.0
2017-08-31 00:00:00,57.0
2017-09-30 00:00:00,57.5
2017-10-31 00:00:00,69.0
2017-11-30 00:00:00,73.0
2017-12-31 00:00:00,71.5
2018-01-31 00:00:00,67.5
2018-02-28 00:00:00,74.0
2018-03-31 00:00:00,75.0
2018-04-30 00:00:00,76.0
2018-05-31 00:00:00,77.5
2018-06-30 00:00:00,71.0
2018-07-31 00:00:00,73.0
2018-08-31 00:00:00,83.0
2018-09-30 00:00:00,115.0
2018-10-31 00:00:00,97.5
2018-11-30 00:00:00,70.0
2018-12-31 00:00:00,62.5
2019-01-31 00:00:00,67.5
2019-02-28 00:00:00,56.5
2019-03-31 00:00:00,54.0
2019-04-30 00:00:00,49.5
2019-05-31 00:00:00,56.0
2019-06-30 00:00:00,59.5
2019-07-31 00:00:00,61.0
2019-08-31 00:00:00,71.5
2019-09-30 00:00:00,77.0
2019-10-31 00:00:00,73.0
2019-11-30 00:00:00,64.0
2019-12-31 00:00:00,43.0
2020-01-31 00:00:00,47.0
2020-02-29 00:00:00,54.5
2020-03-31 00:00:00,62.0
2020-04-30 00:00:00,85.0
2020-05-31 00:00:00,83.0
2020-06-30 00:00:00,87.5
2020-07-31 00:00:00,73.0
2020-08-31 00:00:00,57.0
2020-09-30 00:00:00,37.0
2020-10-31 00:00:00,42.0
2020-11-30 00:00:00,52.0
2020-12-31 00:00:00,52.5
2021-01-31 00:00:00,66.5
2021-02-28 00:00:00,72.0
2021-03-31 00:00:00,57.0
2021-04-30 00:00:00,37.5
2021-05-31 00:00:00,23.5
2021-06-30 00:00:00,21.5
2021-07-31 00:00:00,37.5
2021-08-31 00:00:00,86.5
2021-09-30 00:00:00,95.5
2021-10-31 00:00:00,91.0
2021-11-30 00:00:00,83.5
2021-12-31 00:00:00,75.0
2022-01-31 00:00:00,59.0
2022-02-28 00:00:00,30.0
2022-03-31 00:00:00,22.0
2022-04-30 00:00:00,27.0
2022-05-31 00:00:00,71.0
2022-06-30 00:00:00,71.5
2022-07-31 00:00:00,85.5
2022-08-31 00:00:00,87.5
2022-09-30 00:00:00,96.5
2022-10-31 00:00:00,124.5
2022-11-30 00:00:00,75.0
2022-12-31 00:00:00,27.5
2023-01-31 00:00:00,20.0
2023-02-28 00:00:00,26.5
2023-03-31 00:00:00,37.5
2023-04-30 00:00:00,43.0
2023-05-31 00:00:00,59.5
2023-06-30 00:00:00,51.0
2023-07-31 00:00:00,29.5
2023-08-31 00:00:00,62.0
2023-09-30 00:00:00,65.0
2023-10-31 00:00:00,92.0
2023-11-30 00:00:00,103.5
2023-12-31 00:00:00,65.0
2024-01-31 00:00:00,52.5
2024-02-29 00:00:00,52.5
2024-03-31 00:00:00,50.0
2024-04-30 00:00:00,-2.5
2024-05-31 00:00:00,-8.0
2024-06-30 00:00:00,-7.0
2024-07-31 00:00:00,35.0
2024-08-31 00:00:00,61.0
2024-09-30 00:00:00,63.0
2024-10-31 00:00:00,38.0
2024-11-30 00:00:00,49.0
2024-12-31 00:00:00,65.0
2025-01-31 00:00:00,61.0
2025-02-28 00:00:00,57.0
2025-03-31 00:00:00,96.0
2025-04-30 00:00:00,115.0
2025-05-31 00:00:00,100.0
2025-06-30 00:00:00,50.0
2025-07-31 00:00:00,60.0
2025-08-31 00:00:00,59.0
2025-09-30 00:00:00,54.0
2025-10-31 00:00:00,52.0
2025-11-30 00:00:00,48.0
2025-12-31 00:00:00,49.0
2026-01-31 00:00:00,28.0
2026-02-28 00:00:00,47.0
2026-03-31 00:00:00,65.0
2026-04-30 00:00:00,62.0
2026-05-31 00:00:00,71.0
