date,FirstTrust_CleanEdge_ETF
2007-02-14 00:00:00,19.94
2007-02-15 00:00:00,19.94
2007-02-16 00:00:00,20.03
2007-02-19 00:00:00,20.03
2007-02-20 00:00:00,20.27
2007-02-21 00:00:00,20.428
2007-02-22 00:00:00,20.94
2007-02-23 00:00:00,21.06
2007-02-26 00:00:00,21.152
2007-02-27 00:00:00,20.03
2007-02-28 00:00:00,20.03
2007-03-01 00:00:00,19.91
2007-03-02 00:00:00,19.41
2007-03-05 00:00:00,18.88
2007-03-06 00:00:00,19.54
2007-03-07 00:00:00,19.72
2007-03-08 00:00:00,19.97
2007-03-09 00:00:00,20.2
2007-03-12 00:00:00,20.37
2007-03-13 00:00:00,19.83
2007-03-14 00:00:00,19.75
2007-03-15 00:00:00,19.94
2007-03-16 00:00:00,19.76
2007-03-19 00:00:00,19.79
2007-03-20 00:00:00,20.08
2007-03-21 00:00:00,20.5001
2007-03-22 00:00:00,20.71
2007-03-23 00:00:00,20.7505
2007-03-26 00:00:00,20.65
2007-03-27 00:00:00,20.64
2007-03-28 00:00:00,20.6
2007-03-29 00:00:00,20.6
2007-03-30 00:00:00,20.48
2007-04-02 00:00:00,20.59
2007-04-03 00:00:00,20.76
2007-04-04 00:00:00,21.08
2007-04-05 00:00:00,21.06
2007-04-06 00:00:00,21.06
2007-04-09 00:00:00,21.1
2007-04-10 00:00:00,21.17
2007-04-11 00:00:00,21.1
2007-04-12 00:00:00,21.36
2007-04-13 00:00:00,21.48
2007-04-16 00:00:00,21.8701
2007-04-17 00:00:00,21.71
2007-04-18 00:00:00,21.85
2007-04-19 00:00:00,21.681
2007-04-20 00:00:00,21.79
2007-04-23 00:00:00,22.1
2007-04-24 00:00:00,22.27
2007-04-25 00:00:00,22.56
2007-04-26 00:00:00,22.54
2007-04-27 00:00:00,22.19
2007-04-30 00:00:00,21.74
2007-05-01 00:00:00,21.2842
2007-05-02 00:00:00,21.81
2007-05-03 00:00:00,21.99
2007-05-04 00:00:00,22.44
2007-05-07 00:00:00,22.31
2007-05-08 00:00:00,22.25
2007-05-09 00:00:00,22.43
2007-05-10 00:00:00,22.04
2007-05-11 00:00:00,22.34
2007-05-14 00:00:00,22.21
2007-05-15 00:00:00,21.7201
2007-05-16 00:00:00,21.89
2007-05-17 00:00:00,21.84
2007-05-18 00:00:00,21.78
2007-05-21 00:00:00,22.02
2007-05-22 00:00:00,22.39
2007-05-23 00:00:00,22.17
2007-05-24 00:00:00,21.636
2007-05-25 00:00:00,21.95
2007-05-28 00:00:00,21.95
2007-05-29 00:00:00,22.09
2007-05-30 00:00:00,22.24
2007-05-31 00:00:00,22.28
2007-06-01 00:00:00,22.51
2007-06-04 00:00:00,22.68
2007-06-05 00:00:00,22.65
2007-06-06 00:00:00,22.33
2007-06-07 00:00:00,21.6901
2007-06-08 00:00:00,22.0
2007-06-11 00:00:00,22.01
2007-06-12 00:00:00,21.76
2007-06-13 00:00:00,22.2
2007-06-14 00:00:00,22.55
2007-06-15 00:00:00,22.8
2007-06-18 00:00:00,22.82
2007-06-19 00:00:00,22.87
2007-06-20 00:00:00,22.65
2007-06-21 00:00:00,22.85
2007-06-22 00:00:00,22.88
2007-06-25 00:00:00,22.72
2007-06-26 00:00:00,22.88
2007-06-27 00:00:00,23.35
2007-06-28 00:00:00,23.56
2007-06-29 00:00:00,23.43
2007-07-02 00:00:00,24.39
2007-07-03 00:00:00,24.44
2007-07-04 00:00:00,24.44
2007-07-05 00:00:00,24.38
2007-07-06 00:00:00,24.59
2007-07-09 00:00:00,25.57
2007-07-10 00:00:00,25.23
2007-07-11 00:00:00,25.099
2007-07-12 00:00:00,25.621
2007-07-13 00:00:00,25.855
2007-07-16 00:00:00,25.64
2007-07-17 00:00:00,25.5
2007-07-18 00:00:00,25.16
2007-07-19 00:00:00,25.4
2007-07-20 00:00:00,25.0
2007-07-23 00:00:00,25.06
2007-07-24 00:00:00,24.45
2007-07-25 00:00:00,24.449
2007-07-26 00:00:00,23.99
2007-07-27 00:00:00,23.92
2007-07-30 00:00:00,24.6
2007-07-31 00:00:00,24.16
2007-08-01 00:00:00,24.11
2007-08-02 00:00:00,24.07
2007-08-03 00:00:00,23.35
2007-08-06 00:00:00,23.33
2007-08-07 00:00:00,24.28
2007-08-08 00:00:00,25.15
2007-08-09 00:00:00,24.93
2007-08-10 00:00:00,24.1
2007-08-13 00:00:00,23.81
2007-08-14 00:00:00,23.16
2007-08-15 00:00:00,22.45
2007-08-16 00:00:00,22.1
2007-08-17 00:00:00,22.66
2007-08-20 00:00:00,23.08
2007-08-21 00:00:00,23.25
2007-08-22 00:00:00,23.5725
2007-08-23 00:00:00,23.2
2007-08-24 00:00:00,23.6
2007-08-27 00:00:00,23.26
2007-08-28 00:00:00,22.49
2007-08-29 00:00:00,23.2
2007-08-30 00:00:00,23.41
2007-08-31 00:00:00,23.96
2007-09-03 00:00:00,23.96
2007-09-04 00:00:00,24.32
2007-09-05 00:00:00,24.1
2007-09-06 00:00:00,24.1
2007-09-07 00:00:00,23.446
2007-09-10 00:00:00,23.6299
2007-09-11 00:00:00,23.85
2007-09-12 00:00:00,23.56
2007-09-13 00:00:00,23.53
2007-09-14 00:00:00,23.56
2007-09-17 00:00:00,23.31
2007-09-18 00:00:00,24.15
2007-09-19 00:00:00,24.37
2007-09-20 00:00:00,24.5
2007-09-21 00:00:00,24.87
2007-09-24 00:00:00,24.85
2007-09-25 00:00:00,25.12
2007-09-26 00:00:00,25.31
2007-09-27 00:00:00,25.1785
2007-09-28 00:00:00,25.03
2007-10-01 00:00:00,25.7
2007-10-02 00:00:00,26.01
2007-10-03 00:00:00,25.52
2007-10-04 00:00:00,25.5
2007-10-05 00:00:00,26.35
2007-10-08 00:00:00,26.03
2007-10-09 00:00:00,26.3
2007-10-10 00:00:00,26.43
2007-10-11 00:00:00,25.93
2007-10-12 00:00:00,26.23
2007-10-15 00:00:00,25.89
2007-10-16 00:00:00,25.959
2007-10-17 00:00:00,26.15
2007-10-18 00:00:00,26.56
2007-10-19 00:00:00,25.69
2007-10-22 00:00:00,26.08
2007-10-23 00:00:00,26.82
2007-10-24 00:00:00,26.5202
2007-10-25 00:00:00,26.35
2007-10-26 00:00:00,27.18
2007-10-29 00:00:00,27.88
2007-10-30 00:00:00,27.32
2007-10-31 00:00:00,27.87
2007-11-01 00:00:00,27.09
2007-11-02 00:00:00,26.8
2007-11-05 00:00:00,26.73
2007-11-06 00:00:00,28.08
2007-11-07 00:00:00,27.56
2007-11-08 00:00:00,28.88
2007-11-09 00:00:00,28.49
2007-11-12 00:00:00,25.61
2007-11-13 00:00:00,26.56
2007-11-14 00:00:00,26.51
2007-11-15 00:00:00,26.5199
2007-11-16 00:00:00,27.04
2007-11-19 00:00:00,26.27
2007-11-20 00:00:00,25.59
2007-11-21 00:00:00,25.32
2007-11-22 00:00:00,25.32
2007-11-23 00:00:00,25.76
2007-11-26 00:00:00,25.71
2007-11-27 00:00:00,25.59
2007-11-28 00:00:00,27.0284
2007-11-29 00:00:00,27.97
2007-11-30 00:00:00,27.8401
2007-12-03 00:00:00,27.68
2007-12-04 00:00:00,27.41
2007-12-05 00:00:00,28.1
2007-12-06 00:00:00,28.36
2007-12-07 00:00:00,29.18
2007-12-10 00:00:00,29.89
2007-12-11 00:00:00,28.73
2007-12-12 00:00:00,29.2799
2007-12-13 00:00:00,29.3
2007-12-14 00:00:00,29.65
2007-12-17 00:00:00,28.4501
2007-12-18 00:00:00,29.2599
2007-12-19 00:00:00,29.63
2007-12-20 00:00:00,29.87
2007-12-21 00:00:00,30.84
2007-12-24 00:00:00,31.43
2007-12-25 00:00:00,31.43
2007-12-26 00:00:00,32.03
2007-12-27 00:00:00,31.41
2007-12-28 00:00:00,31.18
2007-12-31 00:00:00,33.0
2008-01-01 00:00:00,33.0
2008-01-02 00:00:00,30.66
2008-01-03 00:00:00,30.81
2008-01-04 00:00:00,29.25
2008-01-07 00:00:00,28.07
2008-01-08 00:00:00,27.77
2008-01-09 00:00:00,27.4408
2008-01-10 00:00:00,27.16
2008-01-11 00:00:00,26.46
2008-01-14 00:00:00,26.81
2008-01-15 00:00:00,24.9648
2008-01-16 00:00:00,24.43
2008-01-17 00:00:00,23.2801
2008-01-18 00:00:00,23.228
2008-01-21 00:00:00,23.228
2008-01-22 00:00:00,23.31
2008-01-23 00:00:00,23.0501
2008-01-24 00:00:00,23.59
2008-01-25 00:00:00,23.5044
2008-01-28 00:00:00,23.67
2008-01-29 00:00:00,24.21
2008-01-30 00:00:00,23.82
2008-01-31 00:00:00,23.77
2008-02-01 00:00:00,24.64
2008-02-04 00:00:00,24.7
2008-02-05 00:00:00,23.315
2008-02-06 00:00:00,22.41
2008-02-07 00:00:00,22.8099
2008-02-08 00:00:00,22.92
2008-02-11 00:00:00,23.71
2008-02-12 00:00:00,23.17
2008-02-13 00:00:00,24.96
2008-02-14 00:00:00,24.34
2008-02-15 00:00:00,23.83
2008-02-18 00:00:00,23.83
2008-02-19 00:00:00,23.56
2008-02-20 00:00:00,23.51
2008-02-21 00:00:00,23.26
2008-02-22 00:00:00,23.22
2008-02-25 00:00:00,23.6199
2008-02-26 00:00:00,23.99
2008-02-27 00:00:00,23.77
2008-02-28 00:00:00,23.3301
2008-02-29 00:00:00,22.61
2008-03-03 00:00:00,22.57
2008-03-04 00:00:00,22.3
2008-03-05 00:00:00,22.85
2008-03-06 00:00:00,22.01
2008-03-07 00:00:00,21.5799
2008-03-10 00:00:00,20.56
2008-03-11 00:00:00,21.54
2008-03-12 00:00:00,21.9
2008-03-13 00:00:00,22.28
2008-03-14 00:00:00,21.68
2008-03-17 00:00:00,21.134
2008-03-18 00:00:00,21.95
2008-03-19 00:00:00,21.25
2008-03-20 00:00:00,21.6428
2008-03-21 00:00:00,21.6428
2008-03-24 00:00:00,22.71
2008-03-25 00:00:00,23.246
2008-03-26 00:00:00,23.0899
2008-03-27 00:00:00,22.933
2008-03-28 00:00:00,22.91
2008-03-31 00:00:00,22.95
2008-04-01 00:00:00,23.6
2008-04-02 00:00:00,24.5399
2008-04-03 00:00:00,24.5621
2008-04-04 00:00:00,25.49
2008-04-07 00:00:00,24.956
2008-04-08 00:00:00,24.99
2008-04-09 00:00:00,24.95
2008-04-10 00:00:00,25.0
2008-04-11 00:00:00,24.22
2008-04-14 00:00:00,24.27
2008-04-15 00:00:00,24.69
2008-04-16 00:00:00,25.72
2008-04-17 00:00:00,25.09
2008-04-18 00:00:00,25.5
2008-04-21 00:00:00,25.914
2008-04-22 00:00:00,25.5401
2008-04-23 00:00:00,25.401
2008-04-24 00:00:00,25.476
2008-04-25 00:00:00,25.456
2008-04-28 00:00:00,25.56
2008-04-29 00:00:00,25.23
2008-04-30 00:00:00,25.08
2008-05-01 00:00:00,25.16
2008-05-02 00:00:00,25.29
2008-05-05 00:00:00,24.9679
2008-05-06 00:00:00,25.56
2008-05-07 00:00:00,25.4
2008-05-08 00:00:00,25.8
2008-05-09 00:00:00,25.75
2008-05-12 00:00:00,26.072
2008-05-13 00:00:00,26.69
2008-05-14 00:00:00,27.1
2008-05-15 00:00:00,27.45
2008-05-16 00:00:00,27.7828
2008-05-19 00:00:00,27.79
2008-05-20 00:00:00,27.49
2008-05-21 00:00:00,26.98
2008-05-22 00:00:00,26.65
2008-05-23 00:00:00,26.88
2008-05-26 00:00:00,26.88
2008-05-27 00:00:00,26.82
2008-05-28 00:00:00,27.1465
2008-05-29 00:00:00,26.49
2008-05-30 00:00:00,27.31
2008-06-02 00:00:00,26.86
2008-06-03 00:00:00,26.66
2008-06-04 00:00:00,26.43
2008-06-05 00:00:00,27.17
2008-06-06 00:00:00,26.4
2008-06-09 00:00:00,26.11
2008-06-10 00:00:00,25.54
2008-06-11 00:00:00,25.305
2008-06-12 00:00:00,25.208
2008-06-13 00:00:00,25.8521
2008-06-16 00:00:00,26.8299
2008-06-17 00:00:00,26.76
2008-06-18 00:00:00,26.594
2008-06-19 00:00:00,27.0501
2008-06-20 00:00:00,26.2585
2008-06-23 00:00:00,26.4398
2008-06-24 00:00:00,26.06
2008-06-25 00:00:00,26.17
2008-06-26 00:00:00,25.2
2008-06-27 00:00:00,24.89
2008-06-30 00:00:00,24.724
2008-07-01 00:00:00,24.19
2008-07-02 00:00:00,23.13
2008-07-03 00:00:00,22.87
2008-07-04 00:00:00,22.87
2008-07-07 00:00:00,22.8801
2008-07-08 00:00:00,23.04
2008-07-09 00:00:00,22.5
2008-07-10 00:00:00,22.82
2008-07-11 00:00:00,23.25
2008-07-14 00:00:00,23.19
