date,iShares_Global_CleanEnergy_ETF
2008-06-25 00:00:00,52.77
2008-06-26 00:00:00,51.06
2008-06-27 00:00:00,50.157
2008-06-30 00:00:00,50.25
2008-07-01 00:00:00,48.797
2008-07-02 00:00:00,47.51
2008-07-03 00:00:00,47.507
2008-07-04 00:00:00,47.507
2008-07-07 00:00:00,47.92
2008-07-08 00:00:00,47.952
2008-07-09 00:00:00,47.6
2008-07-10 00:00:00,48.022
2008-07-11 00:00:00,48.256
2008-07-14 00:00:00,49.232
2008-07-15 00:00:00,48.384
2008-07-16 00:00:00,49.498
2008-07-17 00:00:00,49.6
2008-07-18 00:00:00,49.18
2008-07-21 00:00:00,50.127
2008-07-22 00:00:00,49.2
2008-07-23 00:00:00,49.162
2008-07-24 00:00:00,46.96
2008-07-25 00:00:00,47.51
2008-07-28 00:00:00,47.21
2008-07-29 00:00:00,48.32
2008-07-30 00:00:00,49.44
2008-07-31 00:00:00,48.94
2008-08-01 00:00:00,48.07
2008-08-04 00:00:00,47.1
2008-08-05 00:00:00,46.865
2008-08-06 00:00:00,47.38
2008-08-07 00:00:00,47.36
2008-08-08 00:00:00,46.537
2008-08-11 00:00:00,45.836
2008-08-12 00:00:00,46.12
2008-08-13 00:00:00,46.35
2008-08-14 00:00:00,46.24
2008-08-15 00:00:00,47.46
2008-08-18 00:00:00,46.85
2008-08-19 00:00:00,47.2
2008-08-20 00:00:00,48.46
2008-08-21 00:00:00,49.7
2008-08-22 00:00:00,50.186
2008-08-25 00:00:00,49.342
2008-08-26 00:00:00,48.935
2008-08-27 00:00:00,49.99
2008-08-28 00:00:00,50.48
2008-08-29 00:00:00,50.1399
2008-09-01 00:00:00,50.1399
2008-09-02 00:00:00,48.02
2008-09-03 00:00:00,46.37
2008-09-04 00:00:00,44.52
2008-09-05 00:00:00,44.1399
2008-09-08 00:00:00,43.66
2008-09-09 00:00:00,39.66
2008-09-10 00:00:00,39.919
2008-09-11 00:00:00,39.48
2008-09-12 00:00:00,41.34
2008-09-15 00:00:00,39.214
2008-09-16 00:00:00,38.5
2008-09-17 00:00:00,38.5
2008-09-18 00:00:00,39.31
2008-09-19 00:00:00,43.1
2008-09-22 00:00:00,41.88
2008-09-23 00:00:00,40.53
2008-09-24 00:00:00,41.551
2008-09-25 00:00:00,42.331
2008-09-26 00:00:00,40.39
2008-09-29 00:00:00,35.82
2008-09-30 00:00:00,36.483
2008-10-01 00:00:00,37.1501
2008-10-02 00:00:00,33.912
2008-10-03 00:00:00,33.41
