date,Australia_GDP_YoY
2005-03-31 00:00:00,3.0
2005-06-30 00:00:00,2.7
2005-09-30 00:00:00,3.2
2005-12-31 00:00:00,3.2
2006-03-31 00:00:00,2.5
2006-06-30 00:00:00,2.2
2006-09-30 00:00:00,2.7
2006-12-31 00:00:00,3.1
2007-03-31 00:00:00,4.5
2007-06-30 00:00:00,4.9
2007-09-30 00:00:00,4.5
2007-12-31 00:00:00,3.6
2008-03-31 00:00:00,3.3
2008-06-30 00:00:00,3.1
2008-09-30 00:00:00,2.5
2008-12-31 00:00:00,1.7
2009-03-31 00:00:00,1.6
2009-06-30 00:00:00,1.9
2009-09-30 00:00:00,1.6
2009-12-31 00:00:00,2.8
2010-03-31 00:00:00,2.2
2010-06-30 00:00:00,2.2
2010-09-30 00:00:00,2.6
2010-12-31 00:00:00,2.6
2011-03-31 00:00:00,1.9
2011-06-30 00:00:00,2.5
2011-09-30 00:00:00,3.2
2011-12-31 00:00:00,3.5
2012-03-31 00:00:00,4.8
2012-06-30 00:00:00,4.3
2012-09-30 00:00:00,3.5
2012-12-31 00:00:00,2.8
2013-03-31 00:00:00,2.3
2013-06-30 00:00:00,2.0
2013-09-30 00:00:00,2.2
2013-12-31 00:00:00,2.5
2014-03-31 00:00:00,2.8
2014-06-30 00:00:00,2.9
2014-09-30 00:00:00,2.5
2014-12-31 00:00:00,2.1
2015-03-31 00:00:00,2.3
2015-06-30 00:00:00,1.9
2015-09-30 00:00:00,2.4
2015-12-31 00:00:00,2.7
2016-03-31 00:00:00,2.7
2016-06-30 00:00:00,3.2
2016-09-30 00:00:00,2.2
2016-12-31 00:00:00,2.8
2017-03-31 00:00:00,2.1
2017-06-30 00:00:00,2.1
2017-09-30 00:00:00,3.1
2017-12-31 00:00:00,2.3
2018-03-31 00:00:00,3.0
2018-06-30 00:00:00,3.2
2018-09-30 00:00:00,2.6
2018-12-31 00:00:00,2.4
2019-03-31 00:00:00,2.1
2019-06-30 00:00:00,1.7
2019-09-30 00:00:00,1.9
2019-12-31 00:00:00,2.2
2020-03-31 00:00:00,1.3
2020-06-30 00:00:00,-5.9
2020-09-30 00:00:00,-3.1
2020-12-31 00:00:00,-0.4
2021-03-31 00:00:00,1.9
2021-06-30 00:00:00,10.2
2021-09-30 00:00:00,4.7
2021-12-31 00:00:00,4.9
2022-03-31 00:00:00,3.6
2022-06-30 00:00:00,3.8
2022-09-30 00:00:00,6.1
2022-12-31 00:00:00,3.3
2023-03-31 00:00:00,2.8
2023-06-30 00:00:00,2.3
2023-09-30 00:00:00,2.2
2023-12-31 00:00:00,1.3
2024-03-31 00:00:00,1.1
2024-06-30 00:00:00,0.9
2024-09-30 00:00:00,0.8
2024-12-31 00:00:00,1.2
2025-03-31 00:00:00,1.3
2025-06-30 00:00:00,2.0
2025-09-30 00:00:00,2.1
2025-12-31 00:00:00,2.5
2026-03-31 00:00:00,2.5
