date,Chile_GDP_QoQ_SA
2005-03-31 00:00:00,0.11
2005-06-30 00:00:00,1.66
2005-09-30 00:00:00,2.43
2005-12-31 00:00:00,1.2
2006-03-31 00:00:00,0.9
2006-06-30 00:00:00,2.08
2006-09-30 00:00:00,1.36
2006-12-31 00:00:00,2.13
2007-03-31 00:00:00,1.03
2007-06-30 00:00:00,1.02
2007-09-30 00:00:00,0.27
2007-12-31 00:00:00,1.88
2008-03-31 00:00:00,2.11
2008-06-30 00:00:00,0.1
2008-09-30 00:00:00,-0.81
2008-12-31 00:00:00,-0.8
2009-03-31 00:00:00,-0.49
2009-06-30 00:00:00,-0.58
2009-09-30 00:00:00,1.2
2009-12-31 00:00:00,1.23
2010-03-31 00:00:00,0.32
2010-06-30 00:00:00,3.39
2010-09-30 00:00:00,2.35
2010-12-31 00:00:00,1.19
2011-03-31 00:00:00,1.17
2011-06-30 00:00:00,1.44
2011-09-30 00:00:00,0.64
2011-12-31 00:00:00,2.17
2012-03-31 00:00:00,2.06
2012-06-30 00:00:00,1.85
2012-09-30 00:00:00,0.78
2012-12-31 00:00:00,0.59
2013-03-31 00:00:00,0.82
2013-06-30 00:00:00,0.85
2013-09-30 00:00:00,0.67
2013-12-31 00:00:00,0.27
2014-03-31 00:00:00,0.3
2014-06-30 00:00:00,0.81
2014-09-30 00:00:00,-0.42
2014-12-31 00:00:00,1.07
2015-03-31 00:00:00,0.65
2015-06-30 00:00:00,0.93
2015-09-30 00:00:00,-0.32
2015-12-31 00:00:00,0.63
2016-03-31 00:00:00,1.17
2016-06-30 00:00:00,-0.47
2016-09-30 00:00:00,0.68
2016-12-31 00:00:00,-0.18
2017-03-31 00:00:00,-0.63
2017-06-30 00:00:00,1.32
2017-09-30 00:00:00,1.93
2017-12-31 00:00:00,0.67
2018-03-31 00:00:00,0.97
2018-06-30 00:00:00,1.44
2018-09-30 00:00:00,-0.35
2018-12-31 00:00:00,1.2
2019-03-31 00:00:00,-0.46
2019-06-30 00:00:00,1.34
2019-09-30 00:00:00,0.14
2019-12-31 00:00:00,-4.04
2020-03-31 00:00:00,2.58
2020-06-30 00:00:00,-13.06
2020-09-30 00:00:00,4.7
2020-12-31 00:00:00,6.67
2021-03-31 00:00:00,3.99
2021-06-30 00:00:00,0.9
2021-09-30 00:00:00,4.28
2021-12-31 00:00:00,2.4
2022-03-31 00:00:00,-1.74
2022-06-30 00:00:00,0.16
2022-09-30 00:00:00,-0.33
2022-12-31 00:00:00,-0.27
2023-03-31 00:00:00,0.23
2023-06-30 00:00:00,0.41
2023-09-30 00:00:00,0.87
2023-12-31 00:00:00,0.25
2024-03-31 00:00:00,1.34
2024-06-30 00:00:00,-0.71
2024-09-30 00:00:00,1.64
2024-12-31 00:00:00,0.94
2025-03-31 00:00:00,1.05
2025-06-30 00:00:00,0.29
2025-09-30 00:00:00,-0.33
2025-12-31 00:00:00,0.52
2026-03-31 00:00:00,-0.26
