date,China_GDP_YoY
2005-03-31 00:00:00,11.2
2005-06-30 00:00:00,11.1
2005-09-30 00:00:00,10.9
2005-12-31 00:00:00,12.4
2006-03-31 00:00:00,12.4
2006-06-30 00:00:00,13.6
2006-09-30 00:00:00,12.2
2006-12-31 00:00:00,12.5
2007-03-31 00:00:00,13.6
2007-06-30 00:00:00,14.9
2007-09-30 00:00:00,14.2
2007-12-31 00:00:00,13.9
2008-03-31 00:00:00,11.6
2008-06-30 00:00:00,11.0
2008-09-30 00:00:00,9.5
2008-12-31 00:00:00,7.1
2009-03-31 00:00:00,6.4
2009-06-30 00:00:00,8.2
2009-09-30 00:00:00,10.6
2009-12-31 00:00:00,11.9
2010-03-31 00:00:00,12.2
2010-06-30 00:00:00,10.7
2010-09-30 00:00:00,9.9
2010-12-31 00:00:00,9.9
2011-03-31 00:00:00,10.1
2011-06-30 00:00:00,9.9
2011-09-30 00:00:00,9.3
2011-12-31 00:00:00,8.7
2012-03-31 00:00:00,8.1
2012-06-30 00:00:00,7.7
2012-09-30 00:00:00,7.5
2012-12-31 00:00:00,8.1
2013-03-31 00:00:00,7.9
2013-06-30 00:00:00,7.6
2013-09-30 00:00:00,7.9
2013-12-31 00:00:00,7.7
2014-03-31 00:00:00,7.6
2014-06-30 00:00:00,7.7
2014-09-30 00:00:00,7.3
2014-12-31 00:00:00,7.4
2015-03-31 00:00:00,7.1
2015-06-30 00:00:00,7.1
2015-09-30 00:00:00,7.0
2015-12-31 00:00:00,6.9
2016-03-31 00:00:00,6.8
2016-06-30 00:00:00,6.7
2016-09-30 00:00:00,6.7
2016-12-31 00:00:00,6.8
2017-03-31 00:00:00,7.0
2017-06-30 00:00:00,7.0
2017-09-30 00:00:00,6.9
2017-12-31 00:00:00,6.8
2018-03-31 00:00:00,6.9
2018-06-30 00:00:00,6.9
2018-09-30 00:00:00,6.7
2018-12-31 00:00:00,6.5
2019-03-31 00:00:00,6.4
2019-06-30 00:00:00,6.1
2019-09-30 00:00:00,6.0
2019-12-31 00:00:00,5.9
2020-03-31 00:00:00,-6.8
2020-06-30 00:00:00,3.2
2020-09-30 00:00:00,4.9
2020-12-31 00:00:00,6.5
2021-03-31 00:00:00,18.9
2021-06-30 00:00:00,8.1
2021-09-30 00:00:00,5.5
2021-12-31 00:00:00,4.5
2022-03-31 00:00:00,4.8
2022-06-30 00:00:00,0.8
2022-09-30 00:00:00,4.0
2022-12-31 00:00:00,3.0
2023-03-31 00:00:00,4.7
2023-06-30 00:00:00,6.5
2023-09-30 00:00:00,5.0
2023-12-31 00:00:00,5.3
2024-03-31 00:00:00,5.3
2024-06-30 00:00:00,4.7
2024-09-30 00:00:00,4.6
2024-12-31 00:00:00,5.4
2025-03-31 00:00:00,5.4
2025-06-30 00:00:00,5.2
2025-09-30 00:00:00,4.8
2025-12-31 00:00:00,4.5
2026-03-31 00:00:00,5.0
