date,Kazakhstan_USDKZT
2005-01-03 00:00:00,129.96
2005-01-04 00:00:00,129.96
2005-01-05 00:00:00,129.98
2005-01-06 00:00:00,129.98
2005-01-07 00:00:00,129.97
2005-01-10 00:00:00,130.02
2005-01-11 00:00:00,129.99
2005-01-12 00:00:00,130.01
2005-01-13 00:00:00,130.0
2005-01-14 00:00:00,129.96
2005-01-17 00:00:00,130.03
2005-01-18 00:00:00,130.03
2005-01-19 00:00:00,130.03
2005-01-20 00:00:00,130.04
2005-01-21 00:00:00,130.08
2005-01-24 00:00:00,130.22
2005-01-25 00:00:00,130.36
2005-01-26 00:00:00,130.58
2005-01-27 00:00:00,130.52
2005-01-28 00:00:00,130.26
2005-01-31 00:00:00,130.04
2005-02-01 00:00:00,130.06
2005-02-02 00:00:00,130.12
2005-02-03 00:00:00,130.02
2005-02-04 00:00:00,129.94
2005-02-07 00:00:00,129.98
2005-02-08 00:00:00,130.18
2005-02-09 00:00:00,130.07
2005-02-10 00:00:00,130.02
2005-02-11 00:00:00,130.1
2005-02-14 00:00:00,130.48
2005-02-15 00:00:00,130.7
2005-02-16 00:00:00,130.67
2005-02-17 00:00:00,130.18
2005-02-18 00:00:00,130.1
2005-02-21 00:00:00,130.07
2005-02-22 00:00:00,130.13
2005-02-23 00:00:00,130.13
2005-02-24 00:00:00,130.1
2005-02-25 00:00:00,130.19
2005-02-28 00:00:00,130.12
2005-03-01 00:00:00,130.29
2005-03-02 00:00:00,130.53
2005-03-03 00:00:00,130.4
2005-03-04 00:00:00,130.12
2005-03-07 00:00:00,130.12
2005-03-08 00:00:00,130.12
2005-03-09 00:00:00,130.03
2005-03-10 00:00:00,129.92
2005-03-11 00:00:00,129.95
2005-03-14 00:00:00,129.96
2005-03-15 00:00:00,130.1
2005-03-16 00:00:00,130.26
2005-03-17 00:00:00,130.41
2005-03-18 00:00:00,130.51
2005-03-21 00:00:00,130.51
2005-03-22 00:00:00,130.51
2005-03-23 00:00:00,130.57
2005-03-24 00:00:00,131.0
2005-03-25 00:00:00,131.0
2005-03-28 00:00:00,132.13
2005-03-29 00:00:00,132.61
2005-03-30 00:00:00,132.37
2005-03-31 00:00:00,132.58
2005-04-01 00:00:00,132.1
2005-04-04 00:00:00,131.83
2005-04-05 00:00:00,131.39
2005-04-06 00:00:00,131.41
2005-04-07 00:00:00,131.2
2005-04-08 00:00:00,131.07
2005-04-11 00:00:00,130.83
2005-04-12 00:00:00,130.74
2005-04-13 00:00:00,130.6
2005-04-14 00:00:00,130.59
2005-04-15 00:00:00,130.43
2005-04-18 00:00:00,130.91
2005-04-19 00:00:00,131.22
2005-04-20 00:00:00,131.16
2005-04-21 00:00:00,131.28
2005-04-22 00:00:00,131.7
2005-04-25 00:00:00,132.21
2005-04-26 00:00:00,131.8
2005-04-27 00:00:00,131.69
2005-04-28 00:00:00,131.61
2005-04-29 00:00:00,131.52
2005-05-02 00:00:00,131.52
2005-05-03 00:00:00,131.45
2005-05-04 00:00:00,131.14
2005-05-05 00:00:00,130.89
2005-05-06 00:00:00,130.49
2005-05-09 00:00:00,130.49
2005-05-10 00:00:00,130.56
2005-05-11 00:00:00,130.96
2005-05-12 00:00:00,131.39
2005-05-13 00:00:00,131.62
2005-05-16 00:00:00,131.64
2005-05-17 00:00:00,130.78
2005-05-18 00:00:00,130.66
2005-05-19 00:00:00,130.72
2005-05-20 00:00:00,131.05
2005-05-23 00:00:00,131.92
2005-05-24 00:00:00,131.81
2005-05-25 00:00:00,132.04
2005-05-26 00:00:00,132.29
2005-05-27 00:00:00,132.29
2005-05-30 00:00:00,132.57
2005-05-31 00:00:00,131.89
2005-06-01 00:00:00,131.77
2005-06-02 00:00:00,132.39
2005-06-03 00:00:00,132.02
2005-06-06 00:00:00,131.98
2005-06-07 00:00:00,132.27
2005-06-08 00:00:00,132.58
2005-06-09 00:00:00,132.79
2005-06-10 00:00:00,134.02
2005-06-13 00:00:00,134.02
2005-06-14 00:00:00,133.96
2005-06-15 00:00:00,133.36
2005-06-16 00:00:00,133.72
2005-06-17 00:00:00,134.21
2005-06-20 00:00:00,134.71
2005-06-21 00:00:00,135.19
2005-06-22 00:00:00,135.95
2005-06-23 00:00:00,135.86
2005-06-24 00:00:00,135.57
2005-06-27 00:00:00,135.46
2005-06-28 00:00:00,135.24
2005-06-29 00:00:00,135.29
2005-06-30 00:00:00,135.04
2005-07-01 00:00:00,135.24
2005-07-04 00:00:00,135.68
2005-07-05 00:00:00,135.72
2005-07-06 00:00:00,135.83
2005-07-07 00:00:00,135.47
2005-07-08 00:00:00,135.23
2005-07-11 00:00:00,135.66
2005-07-12 00:00:00,135.8
2005-07-13 00:00:00,135.81
2005-07-14 00:00:00,135.47
2005-07-15 00:00:00,135.64
2005-07-18 00:00:00,136.01
2005-07-19 00:00:00,136.23
2005-07-20 00:00:00,135.86
2005-07-21 00:00:00,135.8
2005-07-22 00:00:00,135.77
2005-07-25 00:00:00,135.85
2005-07-26 00:00:00,135.63
2005-07-27 00:00:00,135.94
2005-07-28 00:00:00,135.76
2005-07-29 00:00:00,135.94
2005-08-01 00:00:00,135.84
2005-08-02 00:00:00,135.9
2005-08-03 00:00:00,135.69
2005-08-04 00:00:00,135.39
2005-08-05 00:00:00,135.61
2005-08-08 00:00:00,135.83
2005-08-09 00:00:00,135.51
2005-08-10 00:00:00,135.5
2005-08-11 00:00:00,135.29
2005-08-12 00:00:00,135.21
2005-08-15 00:00:00,135.19
2005-08-16 00:00:00,135.36
2005-08-17 00:00:00,135.47
2005-08-18 00:00:00,135.64
2005-08-19 00:00:00,135.27
2005-08-22 00:00:00,135.44
2005-08-23 00:00:00,135.45
2005-08-24 00:00:00,135.5
2005-08-25 00:00:00,135.19
2005-08-26 00:00:00,135.27
2005-08-29 00:00:00,135.27
2005-08-30 00:00:00,135.27
2005-08-31 00:00:00,135.29
2005-09-01 00:00:00,135.31
2005-09-02 00:00:00,135.13
2005-09-05 00:00:00,134.77
2005-09-06 00:00:00,134.24
2005-09-07 00:00:00,134.27
2005-09-08 00:00:00,134.31
2005-09-09 00:00:00,134.06
2005-09-12 00:00:00,133.98
2005-09-13 00:00:00,134.11
2005-09-14 00:00:00,134.11
2005-09-15 00:00:00,133.99
2005-09-16 00:00:00,134.05
2005-09-19 00:00:00,134.28
2005-09-20 00:00:00,133.99
2005-09-21 00:00:00,134.02
2005-09-22 00:00:00,133.95
2005-09-23 00:00:00,134.18
2005-09-26 00:00:00,134.18
2005-09-27 00:00:00,133.97
2005-09-28 00:00:00,133.9
2005-09-29 00:00:00,133.84
2005-09-30 00:00:00,133.69
2005-10-03 00:00:00,133.67
2005-10-04 00:00:00,133.65
2005-10-05 00:00:00,133.6
2005-10-06 00:00:00,133.6
2005-10-07 00:00:00,133.59
2005-10-10 00:00:00,133.64
2005-10-11 00:00:00,133.77
2005-10-12 00:00:00,133.75
2005-10-13 00:00:00,134.07
2005-10-14 00:00:00,133.89
2005-10-17 00:00:00,134.09
2005-10-18 00:00:00,134.25
2005-10-19 00:00:00,134.06
2005-10-20 00:00:00,133.8
2005-10-21 00:00:00,133.73
2005-10-24 00:00:00,133.71
2005-10-25 00:00:00,133.71
2005-10-26 00:00:00,133.86
2005-10-27 00:00:00,133.99
2005-10-28 00:00:00,134.01
2005-10-31 00:00:00,133.99
2005-11-01 00:00:00,133.72
2005-11-02 00:00:00,133.86
2005-11-03 00:00:00,133.87
2005-11-04 00:00:00,133.92
2005-11-07 00:00:00,134.1
2005-11-08 00:00:00,134.44
2005-11-09 00:00:00,134.4
2005-11-10 00:00:00,134.25
2005-11-11 00:00:00,134.21
2005-11-14 00:00:00,134.32
2005-11-15 00:00:00,134.28
2005-11-16 00:00:00,134.22
2005-11-17 00:00:00,134.27
2005-11-18 00:00:00,133.95
2005-11-21 00:00:00,133.85
2005-11-22 00:00:00,133.87
2005-11-23 00:00:00,133.92
2005-11-24 00:00:00,133.94
2005-11-25 00:00:00,134.15
2005-11-28 00:00:00,134.17
2005-11-29 00:00:00,134.14
2005-11-30 00:00:00,134.09
2005-12-01 00:00:00,134.0
2005-12-02 00:00:00,133.87
2005-12-05 00:00:00,134.05
2005-12-06 00:00:00,134.06
2005-12-07 00:00:00,134.08
