date,Mexico_GDP_Quarterly
2005-03-31 00:00:00,0.22
2005-06-30 00:00:00,0.02
2005-09-30 00:00:00,1.01
2005-12-31 00:00:00,1.85
2006-03-31 00:00:00,1.98
2006-06-30 00:00:00,0.84
2006-09-30 00:00:00,0.25
2006-12-31 00:00:00,0.36
2007-03-31 00:00:00,0.72
2007-06-30 00:00:00,0.63
2007-09-30 00:00:00,0.36
2007-12-31 00:00:00,0.26
2008-03-31 00:00:00,-0.03
2008-06-30 00:00:00,0.74
2008-09-30 00:00:00,0.08
2008-12-31 00:00:00,-1.58
2009-03-31 00:00:00,-6.17
2009-06-30 00:00:00,-1.68
2009-09-30 00:00:00,3.63
2009-12-31 00:00:00,2.18
2010-03-31 00:00:00,0.42
2010-06-30 00:00:00,1.09
2010-09-30 00:00:00,0.95
2010-12-31 00:00:00,0.82
2011-03-31 00:00:00,0.7
2011-06-30 00:00:00,0.3
2011-09-30 00:00:00,1.87
2011-12-31 00:00:00,0.72
2012-03-31 00:00:00,0.95
2012-06-30 00:00:00,0.62
2012-09-30 00:00:00,0.26
2012-12-31 00:00:00,0.78
2013-03-31 00:00:00,0.09
2013-06-30 00:00:00,-0.41
2013-09-30 00:00:00,0.63
2013-12-31 00:00:00,0.49
2014-03-31 00:00:00,0.66
2014-06-30 00:00:00,1.27
2014-09-30 00:00:00,0.17
2014-12-31 00:00:00,0.85
2015-03-31 00:00:00,0.49
2015-06-30 00:00:00,0.88
2015-09-30 00:00:00,1.18
2015-12-31 00:00:00,-0.29
2016-03-31 00:00:00,-0.11
2016-06-30 00:00:00,0.45
2016-09-30 00:00:00,0.87
2016-12-31 00:00:00,1.12
2017-03-31 00:00:00,0.58
2017-06-30 00:00:00,0.11
2017-09-30 00:00:00,-0.6
2017-12-31 00:00:00,1.4
2018-03-31 00:00:00,1.26
2018-06-30 00:00:00,-0.31
2018-09-30 00:00:00,0.4
2018-12-31 00:00:00,-0.18
2019-03-31 00:00:00,0.02
2019-06-30 00:00:00,-0.28
2019-09-30 00:00:00,-0.01
2019-12-31 00:00:00,-0.72
2020-03-31 00:00:00,-1.2
2020-06-30 00:00:00,-18.91
2020-09-30 00:00:00,15.52
2020-12-31 00:00:00,4.33
2021-03-31 00:00:00,0.72
2021-06-30 00:00:00,0.94
2021-09-30 00:00:00,-0.88
2021-12-31 00:00:00,1.17
2022-03-31 00:00:00,1.39
2022-06-30 00:00:00,1.18
2022-09-30 00:00:00,0.84
2022-12-31 00:00:00,1.17
2023-03-31 00:00:00,0.51
2023-06-30 00:00:00,0.75
2023-09-30 00:00:00,0.79
2023-12-31 00:00:00,0.09
2024-03-31 00:00:00,0.21
2024-06-30 00:00:00,-0.11
2024-09-30 00:00:00,1.18
2024-12-31 00:00:00,-0.98
2025-03-31 00:00:00,0.34
2025-06-30 00:00:00,0.51
2025-09-30 00:00:00,0.07
2025-12-31 00:00:00,0.86
2026-03-31 00:00:00,-0.62
