date,Peru_GDP_YoY
2008-03-31 00:00:00,7.62
2008-06-30 00:00:00,10.79
2008-09-30 00:00:00,10.48
2008-12-31 00:00:00,5.02
2009-03-31 00:00:00,2.94
2009-06-30 00:00:00,-2.86
2009-09-30 00:00:00,0.24
2009-12-31 00:00:00,4.18
2010-03-31 00:00:00,8.14
2010-06-30 00:00:00,12.83
2010-09-30 00:00:00,10.07
2010-12-31 00:00:00,7.81
2011-03-31 00:00:00,7.69
2011-06-30 00:00:00,2.98
2011-09-30 00:00:00,4.9
2011-12-30 00:00:00,8.67
2012-03-30 00:00:00,5.86
2012-06-29 00:00:00,7.54
2012-09-28 00:00:00,6.75
2012-12-31 00:00:00,3.43
2013-03-29 00:00:00,3.51
2013-06-28 00:00:00,5.85
2013-09-30 00:00:00,4.86
2013-12-31 00:00:00,7.03
2014-03-31 00:00:00,5.41
2014-06-30 00:00:00,0.38
2014-09-30 00:00:00,2.67
2014-12-31 00:00:00,0.79
2015-03-31 00:00:00,2.94
2015-06-30 00:00:00,4.09
2015-09-30 00:00:00,3.19
2015-12-31 00:00:00,6.51
2016-03-31 00:00:00,3.55
2016-06-30 00:00:00,3.58
2016-09-30 00:00:00,4.51
2016-12-30 00:00:00,3.48
2017-03-31 00:00:00,1.16
2017-06-30 00:00:00,3.97
2017-09-29 00:00:00,3.35
2017-12-29 00:00:00,1.42
2018-03-30 00:00:00,3.88
2018-06-29 00:00:00,2.07
2018-09-28 00:00:00,2.39
2018-12-31 00:00:00,4.71
2019-03-29 00:00:00,3.39
2019-06-28 00:00:00,2.82
2019-09-30 00:00:00,2.53
2019-12-31 00:00:00,1.24
2020-03-31 00:00:00,-17.61
2020-06-30 00:00:00,-18.1
2020-09-30 00:00:00,-5.87
2020-12-31 00:00:00,1.03
2021-03-31 00:00:00,19.87
2021-06-30 00:00:00,23.41
2021-09-30 00:00:00,10.03
2021-12-31 00:00:00,2.04
2022-03-31 00:00:00,3.91
2022-06-30 00:00:00,3.73
2022-09-30 00:00:00,2.16
2022-12-30 00:00:00,1.28
2023-03-31 00:00:00,0.83
2023-06-30 00:00:00,-0.7
2023-09-29 00:00:00,-0.91
2023-12-29 00:00:00,-0.94
2024-03-29 00:00:00,-0.4
2024-06-28 00:00:00,0.38
2024-09-30 00:00:00,3.49
2024-12-31 00:00:00,5.05
2025-03-31 00:00:00,4.77
2025-06-30 00:00:00,4.84
2025-09-30 00:00:00,4.39
2025-12-31 00:00:00,4.13
2026-03-31 00:00:00,3.21
