date,Russia_GDP_QoQ
2011-03-31 00:00:00,-15.9
2011-06-30 00:00:00,7.7
2011-09-30 00:00:00,5.2
2011-12-31 00:00:00,7.1
2012-03-31 00:00:00,-13.0
2012-06-30 00:00:00,6.9
2012-09-30 00:00:00,3.8
2012-12-31 00:00:00,6.0
2013-03-31 00:00:00,-14.0
2013-06-30 00:00:00,7.5
2013-09-30 00:00:00,3.6
2013-12-31 00:00:00,7.1
2014-03-31 00:00:00,-16.2
2014-06-30 00:00:00,8.1
2014-09-30 00:00:00,4.5
2014-12-31 00:00:00,6.6
2015-03-31 00:00:00,-18.3
2015-06-30 00:00:00,6.4
2015-09-30 00:00:00,6.0
2015-12-31 00:00:00,6.7
2016-03-31 00:00:00,-17.1
2016-06-30 00:00:00,7.0
2016-09-30 00:00:00,5.7
2016-12-31 00:00:00,7.2
2017-03-31 00:00:00,-16.5
2017-06-30 00:00:00,8.1
2017-09-30 00:00:00,6.0
2017-12-31 00:00:00,5.6
2018-03-31 00:00:00,-15.2
2018-06-30 00:00:00,8.3
2018-09-30 00:00:00,5.9
2018-12-31 00:00:00,6.2
2019-03-31 00:00:00,-16.7
2019-06-30 00:00:00,8.2
2019-09-30 00:00:00,7.4
2019-12-31 00:00:00,6.5
2020-03-31 00:00:00,-18.0
2020-06-30 00:00:00,-1.2
2020-09-30 00:00:00,12.0
2020-12-31 00:00:00,8.7
2021-03-31 00:00:00,-16.1
2021-06-30 00:00:00,9.0
2021-09-30 00:00:00,5.8
2021-12-31 00:00:00,9.5
2022-03-31 00:00:00,-18.1
2022-06-30 00:00:00,1.5
2022-09-30 00:00:00,6.6
2022-12-31 00:00:00,10.7
2023-03-31 00:00:00,-17.2
2023-06-30 00:00:00,7.9
2023-09-30 00:00:00,7.4
2023-12-31 00:00:00,9.7
2024-03-31 00:00:00,-16.7
2024-06-30 00:00:00,6.8
2024-09-30 00:00:00,6.3
2024-12-31 00:00:00,11.2
2025-03-31 00:00:00,-19.8
2025-06-30 00:00:00,6.6
2025-09-30 00:00:00,6.0
2025-12-31 00:00:00,11.4
2026-03-31 00:00:00,-20.6
