domain,ticker,filename,status,note
01_copper_physical,LMEXCA Index,LME_Copper_Stocks_Total_kt,OK,
01_copper_physical,LFCA Index,LME_Copper_CancelledWarrants_kt,OK,
01_copper_physical,LICA Index,LME_Copper_OnWarrant_kt,OK,
01_copper_physical,SFCTCOPW Index,SHFE_Copper_Stocks_kt,OK,
02_demand_growth,BDIY Index,Baltic_Dry_Index,OK,
02_demand_growth,SPX Index,SP500,OK,
02_demand_growth,MXEF Index,MSCI_EM_Equity_Index,OK,
02_demand_growth,SHSZ300 Index,China_CSI300_Equity,OK,
02_demand_growth,CHVAIOY Index,China_IndProd_YoY,OK,
02_demand_growth,CPMINDX Index,China_PMI_Mfg_Caixin,OK,
02_demand_growth,CNFAYOY Index,China_FixedAssetInvest_YoY,OK,
02_demand_growth,NAPMPMI Index,US_ISM_Manufacturing_PMI,OK,
02_demand_growth,NHSPSTOT Index,US_Housing_Starts_Total,OK,
02_demand_growth,MPMIGLMA Index,JPM_Global_PMI_Manufacturing,OK,
02_demand_growth,EUIPFRYY Index,Eurozone_IndProd_YoY,OK,
03_currencies,DXY Curncy,USD_Index_DXY,OK,
03_currencies,USDCNY Curncy,USDCNY_China,OK,
03_currencies,EURUSD Curncy,EURUSD,OK,
03_currencies,USDJPY Curncy,USDJPY_Japan,OK,
03_currencies,USDCLP Curncy,USDCLP_Chile,OK,
03_currencies,USDPEN Curncy,USDPEN_Peru,OK,
03_currencies,AUDUSD Curncy,AUDUSD_Australia,OK,
03_currencies,USDZAR Curncy,USDZAR_SouthAfrica,OK,
03_currencies,USDBRL Curncy,USDBRL_Brazil,OK,
03_currencies,USDMXN Curncy,USDMXN_Mexico,OK,
03_currencies,USDRUB Curncy,USDRUB_Russia,OK,
03_currencies,USDIDR Curncy,USDIDR_Indonesia,OK,
03_currencies,USDKZT Curncy,USDKZT_Kazakhstan,OK,
03_currencies,USDZMW Curncy,USDZMW_Zambia,OK,
03_currencies,USDCDF Curncy,USDCDF_DRC,OK,
