Label,IR,AnnReturn,AnnVol,MaxDD,Calmar,N
Momentum EW  – Full sample 2015-2025 [2015-2025],0.3527,0.085733,0.243067,0.578634,0.1482,2822
Momentum DRP – Full sample 2015-2025 [2015-2025],0.4443,0.101598,0.22869,0.645914,0.1573,2822
Momentum EW  – Pre-2022 (2015-2021) [2015-2021],0.5002,0.125431,0.250783,0.378774,0.3312,1809
Momentum DRP – Pre-2022 (2015-2021) [2015-2021],0.6653,0.155902,0.234338,0.396843,0.3929,1809
Momentum EW  – Post-2022 (2022-2025) [2022-2025],0.0649,0.01484,0.228694,0.578634,0.0256,1013
Momentum DRP – Post-2022 (2022-2025) [2022-2025],0.0212,0.004622,0.218222,0.645914,0.0072,1013
Carry EW  – Full sample 2015-2025 [2015-2025],-0.0027,-0.000658,0.244271,1.089766,-0.0006,2822
Carry DRP – Full sample 2015-2025 [2015-2025],0.153,0.035461,0.2317,1.060114,0.0335,2822
Carry EW  – Pre-2022 (2015-2021) [2015-2021],0.338,0.082039,0.242719,0.794881,0.1032,1809
Carry DRP – Pre-2022 (2015-2021) [2015-2021],0.5954,0.136205,0.228775,0.540796,0.2519,1809
Carry EW  – Post-2022 (2022-2025) [2022-2025],-0.6009,-0.148337,0.246864,1.089766,-0.1361,1013
Carry DRP – Post-2022 (2022-2025) [2022-2025],-0.6107,-0.144446,0.236523,1.060114,-0.1363,1013
Value EW  – Full sample 2015-2025 [2015-2025],0.4386,0.11712,0.26703,0.957917,0.1223,2822
Value DRP – Full sample 2015-2025 [2015-2025],0.4223,0.105562,0.249964,0.825382,0.1279,2822
Value EW  – Pre-2022 (2015-2021) [2015-2021],0.2315,0.066896,0.288919,0.957917,0.0698,1809
Value DRP – Pre-2022 (2015-2021) [2015-2021],0.2152,0.057928,0.269171,0.825382,0.0702,1809
Value EW  – Post-2022 (2022-2025) [2022-2025],0.9287,0.20681,0.222677,0.444286,0.4655,1013
Value DRP – Post-2022 (2022-2025) [2022-2025],0.9018,0.190626,0.211389,0.42776,0.4456,1013
