Tab,Version,Variant,Timing,Sharpe,Net5_Sharpe,AnnRet_pct,MaxDD_USD
Momentum,MA Crossover,"MA(35,43)",Same-Day,0.717,0.702,18.35,-4757.0
Momentum,MA Crossover,"MA(35,43)",Lag-1,0.628,0.613,16.07,-4584.0
Momentum,MA Crossover,"MA(10,25)",Same-Day,0.372,0.35,9.57,-5121.5
Momentum,MA Crossover,"MA(10,25)",Lag-1,0.445,0.424,11.45,-3453.0
Momentum,MA Crossover,"MA(63,100)",Same-Day,-0.089,-0.095,-2.21,-13521.8
Momentum,MA Crossover,"MA(63,100)",Lag-1,-0.056,-0.063,-1.4,-12596.5
Momentum,CTA,Baz-Granger 3-timescale,Same-Day,0.109,0.101,2.52,-7611.1
Momentum,CTA,Baz-Granger 3-timescale,Lag-1,0.084,0.076,1.94,-8461.9
Momentum,Anchors,Anchors EW (10/25+35/43+63/100),Same-Day,0.457,0.437,8.57,-3813.6
Momentum,Anchors,Anchors EW (10/25+35/43+63/100),Lag-1,0.466,0.446,8.71,-3334.3
Carry,V1 Roll Yield,(F1-F2)/F1,Same-Day,0.102,0.079,2.61,-7320.0
Carry,V1 Roll Yield,(F1-F2)/F1,Lag-1,0.03,0.007,0.76,-9273.8
Carry,V1 Roll Yield,(F1-F3)/F1,Same-Day,0.029,0.006,0.75,-8472.8
Carry,V1 Roll Yield,(F1-F3)/F1,Lag-1,-0.038,-0.062,-0.98,-10685.7
Carry,V1 Roll Yield,(Cash-3M)/Cash,Same-Day,0.121,0.1,3.11,-7620.8
Carry,V1 Roll Yield,(Cash-3M)/Cash,Lag-1,0.001,-0.019,0.03,-8842.4
Carry,V2 Long Slope,F3-F15,Same-Day,0.137,0.118,3.54,-5927.9
Carry,V2 Long Slope,F3-F15,Lag-1,-0.019,-0.039,-0.5,-7019.0
Carry,V2 Long Slope,F4-F16,Same-Day,0.179,0.162,4.6,-4386.8
Carry,V2 Long Slope,F4-F16,Lag-1,-0.081,-0.098,-2.09,-10226.7
Carry,V2 Long Slope,F5-F17,Same-Day,0.018,0.0,0.46,-6369.7
Carry,V2 Long Slope,F5-F17,Lag-1,-0.031,-0.049,-0.79,-9906.3
Carry,V2 Long Slope,F6-F18,Same-Day,0.03,0.013,0.77,-5984.3
